time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	1.201799e-02
1.062303370001510e-07	1.334931e-04	1.201537e-02
2.124606740003019e-07	2.669860e-04	1.194749e-02
3.186910110004529e-07	4.004786e-04	1.181435e-02
4.249213480006038e-07	5.339711e-04	1.161596e-02
5.311516850007548e-07	6.674634e-04	1.135230e-02
6.373820220009057e-07	8.009555e-04	1.102339e-02
7.436123590010565e-07	9.344475e-04	1.062923e-02
1.296750324596135e-06	1.629526e-03	7.871637e-03
2.139765498979956e-06	2.688828e-03	2.028299e-03
3.039582717183123e-06	3.819420e-03	-5.860937e-03
4.099236913478077e-06	5.150684e-03	-1.675705e-02
5.665906931759370e-06	7.118485e-03	-3.454939e-02
7.699283617928895e-06	9.671432e-03	-5.905601e-02
1.029931017441205e-05	1.293346e-02	-9.140670e-02
1.866828103190330e-05	2.340550e-02	-1.968560e-01
3.628029790271920e-05	4.519734e-02	-4.160121e-01
5.581154790271921e-05	6.870623e-02	-6.521482e-01
7.534279790271920e-05	9.118171e-02	-8.780134e-01
9.487404790271919e-05	1.122857e-01	-1.090384e+00
1.144052979027192e-04	1.317009e-01	-1.286118e+00
1.339365479027192e-04	1.491351e-01	-1.462295e+00
1.534677979027192e-04	1.643262e-01	-1.616278e+00
1.729990479027192e-04	1.770457e-01	-1.745756e+00
1.925302979027192e-04	1.871023e-01	-1.848786e+00
2.120615479027192e-04	1.943446e-01	-1.923822e+00
2.315927979027193e-04	1.986639e-01	-1.969737e+00
2.511240479027193e-04	1.999950e-01	-1.985842e+00
2.706552979027193e-04	1.983180e-01	-1.971898e+00
2.901865479027193e-04	1.936582e-01	-1.928115e+00
3.097177979027193e-04	1.860856e-01	-1.855154e+00
3.292490479027193e-04	1.757140e-01	-1.754114e+00
3.487802979027193e-04	1.626996e-01	-1.626519e+00
3.683115479027194e-04	1.472379e-01	-1.474290e+00
3.878427979027194e-04	1.295618e-01	-1.299724e+00
4.073740479027194e-04	1.099368e-01	-1.105456e+00
4.269052979027194e-04	8.865833e-02	-8.944269e-01
4.464365479027194e-04	6.604635e-02	-6.698537e-01
4.659677979027194e-04	4.244097e-02	-4.352354e-01
4.854990479027195e-04	1.819723e-02	-1.945425e-01
4.952646729027195e-04	5.949710e-03	-7.315778e-02
5.050302979027195e-04	-6.320206e-03	4.906613e-02
5.147959229027195e-04	-1.856633e-02	1.721300e-01
5.337318342124481e-04	-4.207204e-02	4.087480e-01
5.532630842124481e-04	-6.568996e-02	6.459206e-01
5.727943342124481e-04	-8.831984e-02	8.732920e-01
5.923255842124482e-04	-1.096213e-01	1.087599e+00
6.118568342124482e-04	-1.292740e-01	1.285671e+00
6.313880842124482e-04	-1.469822e-01	1.464554e+00
6.509193342124482e-04	-1.624797e-01	1.621569e+00
6.704505842124482e-04	-1.755334e-01	1.754362e+00
6.899818342124482e-04	-1.859469e-01	1.860939e+00
7.095130842124483e-04	-1.935636e-01	1.939700e+00
7.290443342124483e-04	-1.982688e-01	1.989463e+00
7.485755842124483e-04	-1.999920e-01	2.009481e+00
7.681068342124483e-04	-1.987071e-01	1.999455e+00
7.876380842124483e-04	-1.944334e-01	1.959537e+00
8.071693342124483e-04	-1.872353e-01	1.890329e+00
8.267005842124484e-04	-1.772210e-01	1.792875e+00
8.462318342124484e-04	-1.645411e-01	1.668643e+00
8.657630842124484e-04	-1.493863e-01	1.519506e+00
8.852943342124484e-04	-1.319847e-01	1.347710e+00
9.048255842124484e-04	-1.125979e-01	1.155849e+00
9.243568342124485e-04	-9.151749e-02	9.468254e-01
9.438880842124485e-04	-6.906059e-02	7.238169e-01
9.634193342124485e-04	-4.556495e-02	4.902737e-01
9.829505842124484e-04	-2.138397e-02	2.500351e-01
9.927162092124484e-04	-9.149887e-03	1.287597e-01
1.002481834212448e-03	3.118638e-03	6.925831e-03
1.012247459212448e-03	1.537543e-02	-1.157993e-01
1.022013084212448e-03	2.757434e-02	-2.387037e-01
1.041544334212448e-03	5.161531e-02	-4.804866e-01
1.061075584212448e-03	7.487992e-02	-7.141668e-01
1.080606834212448e-03	9.701828e-02	-9.367144e-01
1.100138084212449e-03	1.176974e-01	-1.144902e+00
1.119669334212449e-03	1.366062e-01	-1.335641e+00
1.139200584212449e-03	1.534604e-01	-1.506084e+00
1.158731834212449e-03	1.680063e-01	-1.653674e+00
1.178263084212449e-03	1.800253e-01	-1.776199e+00
1.197794334212449e-03	1.893366e-01	-1.871820e+00
1.217325584212449e-03	1.958000e-01	-1.939100e+00
1.236856834212449e-03	1.993184e-01	-1.977030e+00
1.256388084212449e-03	1.998389e-01	-1.985041e+00
1.275919334212449e-03	1.973536e-01	-1.963015e+00
1.295450584212449e-03	1.919000e-01	-1.911285e+00
1.314981834212449e-03	1.835600e-01	-1.830630e+00
1.334513084212449e-03	1.724591e-01	-1.722266e+00
1.354044334212449e-03	1.587642e-01	-1.587826e+00
1.373575584212449e-03	1.426814e-01	-1.429337e+00
1.393106834212449e-03	1.244525e-01	-1.249188e+00
1.412638084212449e-03	1.043517e-01	-1.050101e+00
1.432169334212449e-03	8.268141e-02	-8.350931e-01
1.451700584212449e-03	5.976748e-02	-6.074548e-01
1.471231834212449e-03	3.595461e-02	-3.707784e-01
1.480997459212449e-03	2.382260e-02	-2.503208e-01
1.490763084212449e-03	1.160094e-02	-1.291854e-01
1.500528709212449e-03	-6.643943e-04	-7.404977e-03
1.510294334212449e-03	-1.292722e-02	1.153559e-01
1.520059959212449e-03	-2.514140e-02	2.383941e-01
1.539591209212449e-03	-4.924025e-02	4.807252e-01
1.559122459212449e-03	-7.259849e-02	7.153090e-01
1.578653709212449e-03	-9.486477e-02	9.391038e-01
1.598184959212449e-03	-1.157042e-01	1.148864e+00
1.617716209212449e-03	-1.348033e-01	1.341478e+00
1.637247459212449e-03	-1.518749e-01	1.514068e+00
1.656778709212449e-03	-1.666621e-01	1.664049e+00
