time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	1.201263e-02
1.954521762465106e-07	2.456130e-04	1.200048e-02
3.909043524930212e-07	4.912247e-04	1.193669e-02
5.863565287395318e-07	7.368353e-04	1.182125e-02
7.818087049860424e-07	9.824448e-04	1.165416e-02
9.772608812325529e-07	1.228053e-03	1.143543e-02
1.172713057479064e-06	1.473660e-03	1.116505e-02
1.368165233725574e-06	1.719266e-03	1.084303e-02
2.555922986221964e-06	3.211729e-03	8.417423e-03
3.726542346643055e-06	4.682483e-03	5.470405e-03
4.665246275857369e-06	5.861682e-03	3.056299e-03
5.520256904023132e-06	6.935569e-03	1.126659e-03
6.337820829213985e-06	7.962236e-03	-5.693836e-04
6.883496037484999e-06	8.647360e-03	-1.966325e-03
7.447872038894083e-06	9.355856e-03	-4.142188e-03
8.089400662243852e-06	1.016106e-02	-7.940270e-03
9.088820809155668e-06	1.141514e-02	-1.639735e-02
1.070710122498300e-05	1.344479e-02	-3.364411e-02
1.238433185412997e-05	1.554691e-02	-5.399681e-02
1.883949151547409e-05	2.361915e-02	-1.371442e-01
2.311575933724786e-05	2.894610e-02	-1.833840e-01
2.670947419938156e-05	3.340679e-02	-2.067217e-01
3.033799734004986e-05	3.789340e-02	-2.174067e-01
3.558946854961861e-05	4.435126e-02	-2.258219e-01
4.110135736623408e-05	5.107730e-02	-2.316382e-01
5.086698236623409e-05	6.283864e-02	-2.386896e-01
6.063260736623409e-05	7.436346e-02	-2.438435e-01
7.039823236623408e-05	8.560840e-02	-2.476664e-01
8.016385736623408e-05	9.653112e-02	-2.501231e-01
8.785483910327734e-05	1.048796e-01	-2.507654e-01
1.039438088234999e-04	1.215300e-01	-2.507625e-01
1.234750588234999e-04	1.400599e-01	-2.507496e-01
1.430063088234999e-04	1.564831e-01	-2.507365e-01
1.625375588235000e-04	1.705527e-01	-2.507249e-01
1.820688088235000e-04	1.820570e-01	-2.507153e-01
2.016000588235000e-04	1.908230e-01	-2.507079e-01
2.211313088235000e-04	1.967189e-01	-2.507030e-01
2.406625588235000e-04	1.996559e-01	-2.507007e-01
2.601938088235000e-04	1.995899e-01	-2.507011e-01
2.797250588235000e-04	1.965219e-01	-2.507041e-01
2.992563088235001e-04	1.904980e-01	-2.507097e-01
3.187875588235001e-04	1.816089e-01	-2.507180e-01
3.383188088235001e-04	1.699882e-01	-2.507285e-01
3.578500588235001e-04	1.558107e-01	-2.507412e-01
3.773813088235001e-04	1.392896e-01	-2.507557e-01
3.969125588235001e-04	1.206736e-01	-2.507717e-01
4.164438088235002e-04	1.002424e-01	-2.507881e-01
4.359750588235002e-04	7.830358e-02	-2.508029e-01
4.457406838235002e-04	6.687111e-02	-2.508088e-01
4.555063088235002e-04	5.518696e-02	-2.508098e-01
4.652719338235002e-04	4.329509e-02	-2.508066e-01
4.750375588235002e-04	3.124028e-02	-2.507062e-01
4.945688088235002e-04	6.823712e-03	-2.494356e-01
5.043344338235002e-04	-5.446137e-03	-2.477733e-01
5.141000588235002e-04	-1.769549e-02	-2.448054e-01
5.238656838235002e-04	-2.987824e-02	-2.388015e-01
5.336313088235002e-04	-4.194853e-02	-2.247923e-01
5.369788079729055e-04	-4.605197e-02	-1.928015e-01
5.389158144958174e-04	-4.841721e-02	-1.266543e-01
5.408070536566172e-04	-5.071964e-02	-2.142766e-02
5.411440557212638e-04	-5.112918e-02	-6.104490e-03
5.413726394098432e-04	-5.140683e-02	-6.525631e-04
5.414659578299933e-04	-5.152014e-02	7.750015e-04
5.415475248622990e-04	-5.161918e-02	2.068084e-03
5.416308679015825e-04	-5.172035e-02	3.888610e-03
5.417563299367926e-04	-5.187264e-02	7.808292e-03
5.419844736590657e-04	-5.214947e-02	1.732809e-02
5.423038270299876e-04	-5.253679e-02	3.328973e-02
5.426361382915296e-04	-5.293960e-02	5.155442e-02
5.431808281666543e-04	-5.359935e-02	8.252792e-02
5.441085421070881e-04	-5.472159e-02	1.326001e-01
5.453904684627927e-04	-5.626925e-02	1.844487e-01
5.466929960656350e-04	-5.783803e-02	2.101634e-01
5.479978774713045e-04	-5.940577e-02	2.191640e-01
5.492816764879453e-04	-6.094428e-02	2.235307e-01
5.518492745212268e-04	-6.400931e-02	2.287650e-01
5.565531284442571e-04	-6.958067e-02	2.348875e-01
5.623709115861641e-04	-7.638679e-02	2.397378e-01
5.721365365861641e-04	-8.757744e-02	2.451194e-01
5.819021615861641e-04	-9.843846e-02	2.486770e-01
5.953298959611640e-04	-1.127593e-01	2.507791e-01
6.099783334611640e-04	-1.274638e-01	2.507666e-01
6.295095834611640e-04	-1.453712e-01	2.507511e-01
6.490408334611641e-04	-1.610920e-01	2.507372e-01
6.685720834611641e-04	-1.743899e-01	2.507253e-01
6.881033334611641e-04	-1.850647e-01	2.507157e-01
7.076345834611641e-04	-1.929560e-01	2.507086e-01
7.271658334611641e-04	-1.979451e-01	2.507042e-01
7.466970834611641e-04	-1.999569e-01	2.507024e-01
7.662283334611642e-04	-1.989612e-01	2.507032e-01
7.857595834611642e-04	-1.949729e-01	2.507068e-01
8.052908334611642e-04	-1.880520e-01	2.507131e-01
8.248220834611642e-04	-1.783027e-01	2.507218e-01
8.443533334611642e-04	-1.658715e-01	2.507329e-01
8.638845834611642e-04	-1.509455e-01	2.507462e-01
8.834158334611643e-04	-1.337491e-01	2.507612e-01
9.029470834611643e-04	-1.145409e-01	2.507775e-01
9.224783334611643e-04	-9.361003e-02	2.507940e-01
9.322439584611643e-04	-8.259601e-02	2.508017e-01
9.420095834611643e-04	-7.127112e-02	2.508085e-01
9.517752084611643e-04	-5.967799e-02	2.508135e-01
9.615408334611643e-04	-4.786024e-02	2.508146e-01
9.713064584611643e-04	-3.586235e-02	2.508014e-01
9.810720834611643e-04	-2.372949e-02	2.506828e-01
1.000603333461164e-03	7.581694e-04	2.491147e-01
1.010368958461164e-03	1.302080e-02	2.470464e-01
1.020134583461164e-03	2.523443e-02	2.433648e-01
1.029900208461164e-03	3.735308e-02	2.334466e-01
1.039665833461164e-03	4.933114e-02	1.648503e-01
1.042426838884984e-03	5.268593e-02	8.014212e-02
1.044034886315365e-03	5.463256e-02	1.206853e-03
1.046393043825894e-03	5.747711e-02	-1.082694e-01
1.048849795658221e-03	6.042715e-02	-1.920858e-01
1.050688074706423e-03	6.262516e-02	-2.190542e-01
1.052315712070650e-03	6.456434e-02	-2.249114e-01
1.054023081682973e-03	6.659126e-02	-2.284963e-01
1.057437820907617e-03	7.062187e-02	-2.331370e-01
1.064267299356907e-03	7.858372e-02	-2.391837e-01
1.074032924356907e-03	8.971363e-02	-2.448728e-01
1.083798549356907e-03	1.005059e-01	-2.485363e-01
1.094784877481907e-03	1.121930e-01	-2.507779e-01
1.097226283731907e-03	1.147195e-01	-2.507774e-01
1.111874721231907e-03	1.292911e-01	-2.507651e-01
1.131405971231907e-03	1.469975e-01	-2.507498e-01
1.150937221231907e-03	1.624929e-01	-2.507361e-01
1.170468471231907e-03	1.755442e-01	-2.507245e-01
1.189999721231907e-03	1.859552e-01	-2.507151e-01
1.209530971231907e-03	1.935692e-01	-2.507083e-01
1.229062221231907e-03	1.982718e-01	-2.507041e-01
1.248593471231907e-03	1.999922e-01	-2.507025e-01
1.268124721231907e-03	1.987045e-01	-2.507037e-01
1.287655971231907e-03	1.944281e-01	-2.507075e-01
1.307187221231907e-03	1.872274e-01	-2.507140e-01
1.326718471231907e-03	1.772105e-01	-2.507230e-01
1.346249721231907e-03	1.645283e-01	-2.507343e-01
1.365780971231907e-03	1.493714e-01	-2.507477e-01
1.385312221231907e-03	1.319678e-01	-2.507629e-01
1.404843471231907e-03	1.125793e-01	-2.507791e-01
1.424374721231907e-03	9.149750e-02	-2.507953e-01
1.434140346231907e-03	8.041984e-02	-2.508027e-01
1.443905971231907e-03	6.903949e-02	-2.508088e-01
1.453671596231907e-03	5.739930e-02	-2.508126e-01
1.463437221231907e-03	4.554306e-02	-2.508106e-01
1.473202846231907e-03	3.351542e-02	-2.507697e-01
1.482968471231907e-03	2.136162e-02	-2.505431e-01
1.502499721231907e-03	-3.141113e-03	-2.484292e-01
1.512265346231907e-03	-1.539784e-02	-2.458580e-01
1.522030971231907e-03	-2.759661e-02	-2.410370e-01
1.531796596231907e-03	-3.969151e-02	-2.314968e-01
1.535956743546564e-03	-4.480118e-02	-2.200111e-01
1.538237309378529e-03	-4.758950e-02	-1.864008e-01
1.539716237932341e-03	-4.939251e-02	-1.241738e-01
1.540898612167942e-03	-5.083093e-02	-5.120752e-02
1.541350345911951e-03	-5.137975e-02	-2.470621e-02
1.541682104137849e-03	-5.178255e-02	-9.327229e-03
1.541868793483216e-03	-5.200911e-02	-3.625473e-03
1.542095501676933e-03	-5.228415e-02	4.696610e-04
1.542194129090081e-03	-5.240377e-02	2.086470e-03
1.542283643286832e-03	-5.251231e-02	4.022485e-03
1.542389851067999e-03	-5.264109e-02	7.315668e-03
1.542602266630334e-03	-5.289856e-02	1.608564e-02
1.542886634127440e-03	-5.324309e-02	3.014440e-02
