time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	1.096894e+00
6.860692112677271e-07	8.621607e-04	1.095186e+00
1.372138422535454e-06	1.724271e-03	1.089216e+00
2.058207633803181e-06	2.586331e-03	1.078983e+00
2.744276845070908e-06	3.448340e-03	1.064487e+00
3.430346056338636e-06	4.310298e-03	1.045728e+00
4.116415267606363e-06	5.172207e-03	1.022707e+00
4.802484478874088e-06	6.034064e-03	9.954225e-01
9.424389682769163e-06	1.183612e-02	7.279086e-01
1.674939230309294e-05	2.100908e-02	5.141684e-02
2.573586629078303e-05	3.219989e-02	-1.160678e+00
3.550149129078303e-05	4.424345e-02	-2.916076e+00
4.526711629078303e-05	5.612048e-02	-5.036304e+00
5.503274129078303e-05	6.778629e-02	-7.422294e+00
6.479836629078304e-05	7.919697e-02	-9.551513e+00
7.314208132178109e-05	8.871170e-02	-1.059879e+01
7.423535734321440e-05	8.994091e-02	-1.063591e+01
7.642190938608098e-05	9.238653e-02	-1.063295e+01
9.930684664328055e-05	1.168512e-01	-1.063429e+01
1.188380966432805e-04	1.358414e-01	-1.063477e+01
1.383693466432805e-04	1.527884e-01	-1.063497e+01
1.579005966432806e-04	1.674373e-01	-1.063507e+01
1.774318466432806e-04	1.795678e-01	-1.063511e+01
1.969630966432806e-04	1.889974e-01	-1.063513e+01
2.164943466432806e-04	1.955844e-01	-1.063514e+01
2.360255966432806e-04	1.992295e-01	-1.063515e+01
2.555568466432806e-04	1.998781e-01	-1.063514e+01
2.750880966432807e-04	1.975203e-01	-1.063514e+01
2.946193466432807e-04	1.921916e-01	-1.063513e+01
3.141505966432807e-04	1.839722e-01	-1.063511e+01
3.336818466432807e-04	1.729857e-01	-1.063507e+01
3.532130966432807e-04	1.593973e-01	-1.063500e+01
3.727443466432808e-04	1.434114e-01	-1.063485e+01
3.922755966432808e-04	1.252685e-01	-1.063451e+01
4.118068466432808e-04	1.052414e-01	-1.063374e+01
4.313380966432808e-04	8.363140e-02	-1.063187e+01
4.411037216432808e-04	7.233357e-02	-1.063006e+01
4.508693466432808e-04	6.076350e-02	-1.062713e+01
4.606349716432808e-04	4.896472e-02	-1.062233e+01
4.704005966432808e-04	3.698166e-02	-1.061370e+01
4.801662216432808e-04	2.485940e-02	-1.059345e+01
4.899318466432809e-04	1.264358e-02	-1.047845e+01
4.996974716432809e-04	3.801681e-04	-1.005293e+01
