time	V(vin)	V(vo)
0.000000000000000e+00	-2.000000e-01	1.102715e+01
2.857142890531708e-08	-1.885714e-01	1.102892e+01
5.714285781063416e-08	-1.771429e-01	1.103067e+01
8.571428671595124e-08	-1.657143e-01	1.103239e+01
1.142857156212683e-07	-1.542857e-01	1.103409e+01
1.428571445265854e-07	-1.428571e-01	1.103577e+01
1.714285734319025e-07	-1.314286e-01	1.103743e+01
2.000000023372195e-07	-1.200000e-01	1.103906e+01
4.000000046744390e-07	-4.000000e-02	1.104975e+01
5.999999953255610e-07	4.000000e-02	1.105891e+01
9.999999766278050e-07	2.000000e-01	1.107472e+01
1.000000000000000e-06	2.000000e-01	1.107478e+01
1.000100000000000e-06	2.000000e-01	1.107466e+01
1.000112500000000e-06	2.000000e-01	1.107465e+01
6.121605357142859e-06	2.000000e-01	1.107319e+01
1.124309821428572e-05	2.000000e-01	1.107152e+01
1.636459107142858e-05	2.000000e-01	1.106963e+01
2.148608392857143e-05	2.000000e-01	1.106753e+01
2.660757678571429e-05	2.000000e-01	1.106521e+01
3.172906964285716e-05	2.000000e-01	1.106268e+01
3.685056250000000e-05	2.000000e-01	1.105993e+01
4.173337500000000e-05	2.000000e-01	1.105662e+01
4.661618750000000e-05	2.000000e-01	1.105280e+01
5.149900000000000e-05	2.000000e-01	1.104843e+01
5.638181249999999e-05	2.000000e-01	1.104351e+01
6.126462500000000e-05	2.000000e-01	1.103803e+01
6.614743750000000e-05	2.000000e-01	1.103201e+01
7.103025000000001e-05	2.000000e-01	1.102547e+01
7.591306250000001e-05	2.000000e-01	1.101842e+01
8.079587500000002e-05	2.000000e-01	1.101090e+01
8.567868750000002e-05	2.000000e-01	1.100295e+01
9.056150000000002e-05	2.000000e-01	1.099463e+01
9.544431250000003e-05	2.000000e-01	1.098597e+01
1.003271250000000e-04	2.000000e-01	1.097705e+01
1.052099375000000e-04	2.000000e-01	1.096794e+01
1.089122630369137e-04	2.000000e-01	1.096091e+01
1.130768112208168e-04	2.000000e-01	1.095291e+01
1.179448931478736e-04	2.000000e-01	1.094347e+01
1.228277056478735e-04	2.000000e-01	1.093394e+01
1.277105181478735e-04	2.000000e-01	1.092436e+01
1.325933306478736e-04	2.000000e-01	1.091474e+01
1.423589556478736e-04	2.000000e-01	1.089544e+01
1.570073931478736e-04	2.000000e-01	1.086640e+01
1.800263663621593e-04	2.000000e-01	1.082068e+01
2.030453395764450e-04	2.000000e-01	1.077497e+01
2.260643127907308e-04	2.000000e-01	1.072925e+01
2.490832860050165e-04	2.000000e-01	1.068353e+01
2.721022592193023e-04	2.000000e-01	1.063781e+01
2.951212324335880e-04	2.000000e-01	1.059209e+01
3.181402056478737e-04	2.000000e-01	1.054636e+01
5.010000000000000e-04	2.000000e-01	1.018314e+01
5.010097125041528e-04	1.961150e-01	1.018268e+01
5.010194250083054e-04	1.922300e-01	1.018223e+01
5.010291375124581e-04	1.883450e-01	1.018178e+01
5.010388500166108e-04	1.844600e-01	1.018133e+01
5.010485625207635e-04	1.805750e-01	1.018088e+01
5.010582750249161e-04	1.766900e-01	1.018044e+01
5.010679875290688e-04	1.728050e-01	1.018000e+01
5.010961342310073e-04	1.615463e-01	1.017882e+01
5.011310432711620e-04	1.475827e-01	1.017751e+01
5.011816721170177e-04	1.273312e-01	1.017593e+01
5.012461598509365e-04	1.015361e-01	1.017439e+01
5.013449961817169e-04	6.200153e-02	1.017279e+01
5.015017366780878e-04	-6.946712e-04	1.017131e+01
5.016600614672735e-04	-6.402459e-02	1.017079e+01
5.017609336767205e-04	-1.043735e-01	1.017101e+01
5.017982555811059e-04	-1.193022e-01	1.017125e+01
5.018728993898766e-04	-1.491598e-01	1.017193e+01
5.020000000000001e-04	-2.000000e-01	1.017322e+01
5.020248611702127e-04	-2.000000e-01	1.017460e+01
5.020580093971631e-04	-2.000000e-01	1.017629e+01
5.021113656992922e-04	-2.000000e-01	1.017862e+01
5.021707031837887e-04	-2.000000e-01	1.018062e+01
5.022335535064319e-04	-2.000000e-01	1.018208e+01
5.022771386022117e-04	-2.000000e-01	1.018273e+01
5.023250167868311e-04	-2.000000e-01	1.018315e+01
5.023748698018738e-04	-2.000000e-01	1.018341e+01
5.024213352533523e-04	-2.000000e-01	1.018354e+01
5.024936103948579e-04	-2.000000e-01	1.018364e+01
5.025430102676575e-04	-2.000000e-01	1.018368e+01
5.025924101404571e-04	-2.000000e-01	1.018373e+01
5.026418100132567e-04	-2.000000e-01	1.018379e+01
5.026912098860562e-04	-2.000000e-01	1.018385e+01
5.027406097588558e-04	-2.000000e-01	1.018393e+01
5.027900096316554e-04	-2.000000e-01	1.018401e+01
5.028394095044550e-04	-2.000000e-01	1.018410e+01
8.003460609321606e-04	-2.000000e-01	1.078126e+01
8.052288734321606e-04	-2.000000e-01	1.079106e+01
8.101116859321606e-04	-2.000000e-01	1.080086e+01
8.149944984321607e-04	-2.000000e-01	1.081064e+01
8.198773109321607e-04	-2.000000e-01	1.082041e+01
8.247601234321607e-04	-2.000000e-01	1.083018e+01
8.296429359321607e-04	-2.000000e-01	1.083993e+01
8.345257484321607e-04	-2.000000e-01	1.084967e+01
8.394085609321607e-04	-2.000000e-01	1.085938e+01
8.442913734321607e-04	-2.000000e-01	1.086904e+01
8.491741859321607e-04	-2.000000e-01	1.087864e+01
8.540569984321607e-04	-2.000000e-01	1.088815e+01
8.589398109321607e-04	-2.000000e-01	1.089754e+01
8.638226234321607e-04	-2.000000e-01	1.090677e+01
8.687054359321607e-04	-2.000000e-01	1.091578e+01
8.735882484321607e-04	-2.000000e-01	1.092450e+01
8.784710609321607e-04	-2.000000e-01	1.093287e+01
8.833538734321607e-04	-2.000000e-01	1.094081e+01
