time	V(vin)	V(vo)
0.000000000000000e+00	-2.000000e-01	2.011906e+00
1.464843801812776e-10	-1.994141e-01	2.011972e+00
5.859375207251105e-10	-1.976562e-01	2.012167e+00
4.687500165800884e-09	-1.812500e-01	2.014031e+00
9.375000331601768e-09	-1.625000e-01	2.016255e+00
1.875000066320354e-08	-1.250000e-01	2.020952e+00
3.210908312734510e-08	-7.156367e-02	2.028141e+00
5.202175102125687e-08	8.087005e-03	2.039401e+00
7.572597446256649e-08	1.029039e-01	2.052305e+00
1.000000000000000e-07	2.000000e-01	2.064247e+00
1.056408639090184e-07	2.000000e-01	2.063643e+00
1.282043195450919e-07	2.000000e-01	2.060689e+00
1.582889270598566e-07	2.000000e-01	2.055936e+00
2.617621083294592e-07	2.000000e-01	2.038182e+00
3.295990070558595e-07	2.000000e-01	2.027999e+00
3.957409072717215e-07	2.000000e-01	2.020382e+00
4.724469877961697e-07	2.000000e-01	2.014510e+00
5.416818387766753e-07	2.000000e-01	2.011312e+00
5.815667663677880e-07	2.000000e-01	2.010283e+00
6.175810005965855e-07	2.000000e-01	2.009774e+00
6.571995041815286e-07	2.000000e-01	2.009452e+00
6.953828175088149e-07	2.000000e-01	2.009280e+00
7.227273978141613e-07	2.000000e-01	2.009215e+00
7.477383221135171e-07	2.000000e-01	2.009194e+00
7.727492464128728e-07	2.000000e-01	2.009172e+00
7.977601707122286e-07	2.000000e-01	2.009148e+00
8.227710950115843e-07	2.000000e-01	2.009123e+00
8.477820193109400e-07	2.000000e-01	2.009096e+00
8.727929436102958e-07	2.000000e-01	2.009068e+00
8.978038679096514e-07	2.000000e-01	2.009037e+00
9.422311084199747e-07	2.000000e-01	2.008948e+00
1.004748598803444e-06	2.000000e-01	2.008780e+00
1.090775994565630e-06	2.000000e-01	2.008492e+00
1.252058688207593e-06	2.000000e-01	2.007874e+00
4.792797558863080e-06	2.000000e-01	1.993775e+00
8.333536429518567e-06	2.000000e-01	1.979732e+00
1.187427530017405e-05	2.000000e-01	1.965745e+00
1.541501417082954e-05	2.000000e-01	1.951815e+00
1.895575304148502e-05	2.000000e-01	1.937942e+00
2.249649191214051e-05	2.000000e-01	1.924124e+00
2.603723078279599e-05	2.000000e-01	1.910363e+00
8.672361471136748e-05	2.000000e-01	1.682990e+00
1.474099986399390e-04	2.000000e-01	1.467241e+00
2.080963825685105e-04	2.000000e-01	1.263116e+00
2.687827664970819e-04	2.000000e-01	1.070614e+00
3.294691504256534e-04	2.000000e-01	8.897362e-01
3.901555343542249e-04	2.000000e-01	7.204820e-01
4.508419182827963e-04	2.000000e-01	5.628515e-01
5.001000000000000e-04	2.000000e-01	4.403057e-01
5.001003084208906e-04	1.987663e-01	4.401666e-01
5.001009252626719e-04	1.962989e-01	4.398883e-01
5.001046263133598e-04	1.814947e-01	4.381848e-01
5.001095610476104e-04	1.617558e-01	4.358163e-01
5.001194305161114e-04	1.222779e-01	4.308026e-01
5.001333456693492e-04	6.661732e-02	4.232143e-01
5.001536672311409e-04	-1.466892e-02	4.116409e-01
5.001771504399352e-04	-1.086018e-01	3.988703e-01
5.002000000000000e-04	-2.000000e-01	3.877078e-01
5.002057285973825e-04	-2.000000e-01	3.883128e-01
5.002286429869125e-04	-2.000000e-01	3.912885e-01
5.002591955062859e-04	-2.000000e-01	3.960850e-01
5.003624225548307e-04	-2.000000e-01	4.136434e-01
5.004296755646690e-04	-2.000000e-01	4.235935e-01
5.004954483748560e-04	-2.000000e-01	4.310753e-01
5.005638164935142e-04	-2.000000e-01	4.363535e-01
5.006193644961506e-04	-2.000000e-01	4.390611e-01
5.006515025637694e-04	-2.000000e-01	4.400029e-01
5.006862425070591e-04	-2.000000e-01	4.406012e-01
5.007285171168747e-04	-2.000000e-01	4.410146e-01
5.007696698064568e-04	-2.000000e-01	4.412026e-01
5.008016645649790e-04	-2.000000e-01	4.412433e-01
5.008588323414811e-04	-2.000000e-01	4.411897e-01
