time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
5.485714232073797e-09	8.616976e-03	8.511004e-03
1.097142846414759e-08	1.723387e-02	1.684267e-02
1.645714269622139e-08	2.585068e-02	2.499499e-02
2.194285692829519e-08	3.446741e-02	3.296798e-02
2.742857116036899e-08	4.308406e-02	4.076162e-02
3.291428539244278e-08	5.170063e-02	4.837593e-02
3.839999962451657e-08	6.031711e-02	5.581090e-02
7.679999924903314e-08	1.206255e-01	1.043996e-01
1.344029094592228e-07	2.110569e-01	1.680187e-01
1.929966594592228e-07	3.029727e-01	2.230537e-01
2.515904094592228e-07	3.947859e-01	2.698209e-01
3.687779094592228e-07	5.779800e-01	3.523932e-01
4.273716594592228e-07	6.692988e-01	3.992728e-01
4.859654094592228e-07	7.603907e-01	4.561989e-01
5.445591594592227e-07	8.512251e-01	5.224561e-01
6.031529094592227e-07	9.417710e-01	5.948395e-01
7.203404094592226e-07	1.121875e+00	7.490118e-01
8.291573737449368e-07	1.288230e+00	8.999317e-01
9.379743380306510e-07	1.452606e+00	1.050534e+00
1.046791302316365e-06	1.615004e+00	1.200818e+00
1.155608266602079e-06	1.775423e+00	1.350785e+00
1.264425230887794e-06	1.933863e+00	1.500434e+00
1.373242195173508e-06	2.090324e+00	1.649766e+00
1.482059159459222e-06	2.244807e+00	1.798780e+00
1.724804695173508e-06	2.582893e+00	2.125172e+00
1.967550230887794e-06	2.901665e+00	2.433421e+00
2.210295766602080e-06	3.201123e+00	2.723528e+00
2.453041302316367e-06	3.481266e+00	2.995492e+00
2.695786838030653e-06	3.742095e+00	3.249313e+00
2.938532373744939e-06	3.983609e+00	3.484991e+00
3.181277909459225e-06	4.205809e+00	3.702527e+00
3.750474338030655e-06	4.621529e+00	4.108654e+00
4.319670766602085e-06	4.883481e+00	4.362447e+00
4.888867195173516e-06	4.991666e+00	4.463906e+00
5.458063623744945e-06	4.946084e+00	4.413032e+00
6.027260052316376e-06	4.746734e+00	4.209824e+00
6.596456480887807e-06	4.393617e+00	3.854283e+00
7.165652909459235e-06	3.886732e+00	3.346407e+00
7.391657373744948e-06	3.650320e+00	3.109692e+00
7.617661838030661e-06	3.398905e+00	2.858139e+00
7.843666302316373e-06	3.132486e+00	2.591750e+00
8.069670766602086e-06	2.851064e+00	2.310524e+00
8.295675230887799e-06	2.554638e+00	2.014462e+00
8.521679695173512e-06	2.243210e+00	1.703563e+00
8.747684159459223e-06	1.916777e+00	1.377827e+00
8.864871659459222e-06	1.744904e+00	1.206389e+00
8.982059159459220e-06	1.571261e+00	1.033239e+00
9.099246659459219e-06	1.395849e+00	8.583751e-01
9.216434159459218e-06	1.218668e+00	6.817987e-01
9.333621659459216e-06	1.039717e+00	5.035096e-01
9.450809159459215e-06	8.589974e-01	3.235078e-01
9.567996659459213e-06	6.765080e-01	1.417931e-01
9.685184159459212e-06	4.937058e-01	-4.016382e-02
9.777260052316354e-06	3.492913e-01	-1.838721e-01
9.869335945173496e-06	2.048866e-01	-3.275211e-01
9.961411838030638e-06	6.049170e-02	-4.711107e-01
1.005348773088778e-05	-8.389342e-02	-6.146410e-01
1.014556362374492e-05	-2.282688e-01	-7.581120e-01
1.023763951660206e-05	-3.726343e-01	-9.015237e-01
1.032971540945920e-05	-5.169901e-01	-1.044876e+00
1.049712612374492e-05	-7.794648e-01	-1.305473e+00
1.066453683803063e-05	-1.038028e+00	-1.561837e+00
1.083194755231634e-05	-1.292681e+00	-1.813966e+00
1.099935826660205e-05	-1.543422e+00	-2.061861e+00
1.116676898088777e-05	-1.790252e+00	-2.305522e+00
