time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
6.126882785057169e-08	9.624086e-05	7.947927e-05
1.225376557011434e-07	1.924817e-04	1.491564e-04
1.838064835517151e-07	2.887226e-04	2.090315e-04
2.450753114022868e-07	3.849634e-04	2.591045e-04
3.063441392528585e-07	4.812043e-04	2.993754e-04
3.676129671034301e-07	5.774451e-04	3.298442e-04
4.288817949540017e-07	6.736859e-04	3.505110e-04
6.110839039134553e-07	9.598883e-04	4.044366e-04
8.960591660621988e-07	1.407526e-03	4.432265e-04
1.951812230141144e-06	3.065899e-03	4.706916e-04
1.194206505974266e-05	1.875875e-02	4.716313e-04
2.193231788934417e-05	3.445108e-02	4.780794e-04
3.192257071894568e-05	5.014289e-02	4.900360e-04
4.191282354854720e-05	6.583417e-02	5.075011e-04
5.190307637814871e-05	8.152493e-02	5.304746e-04
6.189332920775022e-05	9.721516e-02	5.589566e-04
7.188358203735171e-05	1.129049e-01	5.929470e-04
1.429253799367402e-04	2.244312e-01	1.889017e-03
1.918116261221447e-04	3.011147e-01	6.845706e-03
2.331834326255363e-04	3.659562e-01	2.065696e-02
2.791576588251740e-04	4.379379e-01	5.170216e-02
3.301816282243562e-04	5.177185e-01	1.027258e-01
4.081785315785177e-04	6.394096e-01	1.979053e-01
4.901126839182091e-04	7.668288e-01	3.076139e-01
5.877689339182091e-04	9.180275e-01	4.445691e-01
6.854251839182091e-04	1.068709e+00	5.858288e-01
7.830814339182092e-04	1.218037e+00	7.267942e-01
8.807376839182092e-04	1.366012e+00	8.674652e-01
9.783939339182094e-04	1.512633e+00	1.007842e+00
1.076050183918209e-03	1.657901e+00	1.147924e+00
1.173706433918209e-03	1.801815e+00	1.287712e+00
1.271362683918209e-03	1.944376e+00	1.427206e+00
1.494576969632495e-03	2.265870e+00	1.741965e+00
1.717791255346781e-03	2.572670e+00	2.042779e+00
1.941005541061067e-03	2.864775e+00	2.329646e+00
2.164219826775353e-03	3.142186e+00	2.602567e+00
2.387434112489639e-03	3.404903e+00	2.861542e+00
2.610648398203925e-03	3.652925e+00	3.106571e+00
2.833862683918211e-03	3.886253e+00	3.337654e+00
3.308193041061067e-03	4.319360e+00	3.766580e+00
3.782523398203923e-03	4.645653e+00	4.089709e+00
4.256853755346780e-03	4.865131e+00	4.307042e+00
4.731184112489635e-03	4.977795e+00	4.418579e+00
5.205514469632492e-03	4.983644e+00	4.424321e+00
5.679844826775348e-03	4.882678e+00	4.324266e+00
6.154175183918203e-03	4.674898e+00	4.118416e+00
6.433193041061059e-03	4.496762e+00	3.941642e+00
6.712210898203915e-03	4.288768e+00	3.735604e+00
6.991228755346772e-03	4.050916e+00	3.500303e+00
7.270246612489628e-03	3.783205e+00	3.235739e+00
7.549264469632484e-03	3.485637e+00	2.941911e+00
7.828282326775340e-03	3.158210e+00	2.618820e+00
8.107300183918196e-03	2.800925e+00	2.266466e+00
8.260760005346767e-03	2.596806e+00	2.065168e+00
8.414219826775338e-03	2.387900e+00	1.860008e+00
8.567679648203909e-03	2.174205e+00	1.650985e+00
8.721139469632480e-03	1.955722e+00	1.438101e+00
8.874599291061051e-03	1.732451e+00	1.221355e+00
9.028059112489622e-03	1.504393e+00	1.000747e+00
