time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765624975344167e-10	1.533981e-06	9.786398e-13
1.953124995068833e-09	3.067962e-06	1.957882e-12
9.144531226912281e-06	1.436436e-02	9.131379e-09
1.828710932882949e-05	2.872528e-02	1.847934e-08
2.742968743074671e-05	4.308581e-02	2.804585e-08
3.657226553266392e-05	5.744598e-02	3.783089e-08
4.571484363458113e-05	7.180576e-02	4.783448e-08
5.485742173649834e-05	8.616517e-02	5.805660e-08
6.399999983841553e-05	1.005242e-01	6.849727e-08
1.142786669007335e-04	1.794699e-01	1.366927e-07
1.472647638847363e-04	2.312404e-01	2.089605e-07
1.736400868285043e-04	2.726180e-01	3.261982e-07
1.946448492742581e-04	3.055569e-01	5.302285e-07
2.135809107813919e-04	3.352404e-01	9.310943e-07
2.316181579253929e-04	3.635040e-01	1.777940e-06
2.509132116589799e-04	3.937255e-01	3.738522e-06
2.685525070312967e-04	4.213410e-01	7.660424e-06
2.866608353533680e-04	4.496774e-01	1.630439e-05
3.039874054814151e-04	4.767768e-01	3.398837e-05
3.215455296938563e-04	5.042239e-01	7.191727e-05
3.387838332979536e-04	5.311562e-01	1.505155e-04
3.561708909489265e-04	5.583052e-01	3.168785e-04
3.734708806801935e-04	5.853016e-01	6.627881e-04
3.909447719596744e-04	6.125519e-01	1.386298e-03
4.085810222086509e-04	6.400366e-01	2.876323e-03
4.267208624642936e-04	6.682857e-01	5.916878e-03
4.458173197647609e-04	6.980010e-01	1.197811e-02
4.671632127791317e-04	7.311867e-01	2.394187e-02
4.940336919123727e-04	7.729145e-01	4.731081e-02
5.239272964186578e-04	8.192720e-01	8.202733e-02
5.525033004838380e-04	8.635188e-01	1.212658e-01
5.918265276295146e-04	9.242920e-01	1.796715e-01
6.387053488844121e-04	9.965572e-01	2.511865e-01
7.744152415757574e-04	1.204484e+00	4.591114e-01
1.067383991575757e-03	1.645397e+00	9.008925e-01
1.360352741575758e-03	2.072382e+00	1.329146e+00
1.653321491575758e-03	2.481824e+00	1.740245e+00
1.946290241575758e-03	2.870257e+00	2.130757e+00
2.183455420147187e-03	3.170493e+00	2.432848e+00
2.420620598718616e-03	3.449612e+00	2.714308e+00
2.657785777290045e-03	3.707612e+00	2.975140e+00
2.894950955861474e-03	3.944495e+00	3.215342e+00
3.132116134432902e-03	4.160261e+00	3.434914e+00
3.369281313004331e-03	4.354908e+00	3.633857e+00
3.606446491575759e-03	4.528438e+00	3.812170e+00
3.732004527290045e-03	4.608746e+00	3.895299e+00
3.857562563004330e-03	4.681635e+00	3.971482e+00
3.983120598718616e-03	4.747105e+00	4.040720e+00
4.108678634432901e-03	4.805155e+00	4.103012e+00
4.234236670147187e-03	4.855786e+00	4.158358e+00
4.359794705861473e-03	4.898998e+00	4.206758e+00
4.485352741575758e-03	4.934790e+00	4.248213e+00
4.680665241575757e-03	4.974860e+00	4.299412e+00
4.778321491575757e-03	4.987880e+00	4.319166e+00
4.875977741575757e-03	4.996205e+00	4.335248e+00
4.973633991575756e-03	4.999828e+00	4.347893e+00
5.071290241575756e-03	4.998746e+00	4.357403e+00
5.168946491575756e-03	4.992959e+00	4.364151e+00
5.266602741575755e-03	4.982473e+00	4.368569e+00
5.364258991575755e-03	4.967297e+00	4.371132e+00
5.461915241575755e-03	4.947446e+00	4.372318e+00
