entrada;salida;frec;ganancia
0.0800;-0.6000;120.0000;-7.5
0.0800;-0.6000;540.0000;-7.5
0.0800;-0.6000;1025.0000;-7.5
0.0800;-0.6000;1998.0000;-7.5
0.0800;-0.6000;3070.0000;-7.5
0.0800;-0.6000;5146.0000;-7.5
0.0800;-0.5930;7062.0000;-7.4125
0.0800;-0.5900;9238.0000;-7.375
0.0800;-0.5750;15980.0000;-7.1875
0.0800;-0.5700;20018.0000;-7.125
0.0800;-0.4920;50640.0000;-6.15
0.0800;-0.4280;73170.0000;-5.35
0.0800;-0.3350;107333.0000;-4.1875
0.0800;-0.2920;132868.0000;-3.65
0.0800;-0.2600;153655.0000;-3.25
0.0800;-0.2360;173359.0000;-2.95
0.0800;-0.2200;193300.0000;-2.75
0.0800;-0.1370;320600.0000;-1.7125
0.0800;-0.0980;460100.0000;-1.225
0.0800;-0.0770;604600.0000;-0.9625
0.0800;-0.0630;756400.0000;-0.7875
0.0800;-0.0440;1120000.0000;-0.55
0.0800;-0.0250;2000000.0000;-0.3125
