time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	1.020351e+00
6.761420924375045e-07	8.496853e-04	1.019885e+00
1.352284184875009e-06	1.699322e-03	1.018791e+00
2.028426277312514e-06	2.548911e-03	1.017068e+00
2.704568369750018e-06	3.398451e-03	1.014717e+00
3.380710462187522e-06	4.247942e-03	1.011738e+00
4.056852554625027e-06	5.097385e-03	1.008130e+00
4.732994647062530e-06	5.946780e-03	1.003894e+00
8.885852309907695e-06	1.116049e-02	9.735557e-01
1.324108777173465e-05	1.662005e-02	9.329062e-01
1.909768890607155e-05	2.394131e-02	8.694280e-01
2.547687197584138e-05	3.187863e-02	7.949535e-01
3.452861359823562e-05	4.305036e-02	6.857061e-01
5.405986359823562e-05	6.663484e-02	4.498871e-01
6.382548859823562e-05	7.807288e-02	3.348246e-01
7.359111359823562e-05	8.921707e-02	2.227810e-01
8.335673859823561e-05	1.000255e-01	1.142903e-01
9.312236359823561e-05	1.104574e-01	9.127434e-03
1.028879885982356e-04	1.204736e-01	-9.364326e-02
1.126536135982356e-04	1.300363e-01	-1.940244e-01
1.224192385982356e-04	1.391097e-01	-2.905346e-01
1.321848635982356e-04	1.476594e-01	-3.817695e-01
1.419504885982356e-04	1.556534e-01	-4.671658e-01
1.517161135982356e-04	1.630615e-01	-5.465354e-01
1.614817385982356e-04	1.698560e-01	-6.197330e-01
1.712473635982356e-04	1.760111e-01	-6.865875e-01
1.810129885982356e-04	1.815037e-01	-7.469043e-01
1.907786135982357e-04	1.863133e-01	-8.004909e-01
2.005442385982357e-04	1.904215e-01	-8.471702e-01
2.103098635982357e-04	1.938131e-01	-8.867821e-01
2.200754885982357e-04	1.964752e-01	-9.191877e-01
2.298411135982357e-04	1.983978e-01	-9.442726e-01
2.396067385982357e-04	1.995737e-01	-9.619484e-01
2.493723635982357e-04	1.999984e-01	-9.721532e-01
2.591379885982357e-04	1.996704e-01	-9.748526e-01
2.689036135982357e-04	1.985909e-01	-9.700401e-01
2.786692385982357e-04	1.967639e-01	-9.577374e-01
2.884348635982357e-04	1.941964e-01	-9.379944e-01
2.982004885982357e-04	1.908979e-01	-9.108893e-01
3.079661135982358e-04	1.868810e-01	-8.765283e-01
3.177317385982358e-04	1.821606e-01	-8.350463e-01
3.274973635982358e-04	1.767547e-01	-7.866061e-01
3.372629885982358e-04	1.706835e-01	-7.313991e-01
3.470286135982358e-04	1.639698e-01	-6.696454e-01
3.567942385982358e-04	1.566391e-01	-6.015956e-01
3.665598635982358e-04	1.487187e-01	-5.275335e-01
3.763254885982358e-04	1.402387e-01	-4.477853e-01
3.860911135982358e-04	1.312308e-01	-3.627267e-01
3.958567385982358e-04	1.217289e-01	-2.728061e-01
4.056223635982358e-04	1.117690e-01	-1.785653e-01
4.153879885982359e-04	1.013883e-01	-8.040917e-02
4.251536135982359e-04	9.062606e-02	2.208528e-02
4.349192385982359e-04	7.952271e-02	1.299018e-01
4.446848635982359e-04	6.812005e-02	2.428169e-01
4.544504885982359e-04	5.646101e-02	3.592125e-01
4.739817385982359e-04	3.255007e-02	5.977649e-01
4.935129885982359e-04	8.149562e-03	8.411435e-01
5.130442385982359e-04	-1.637353e-02	1.086548e+00
5.325754885982360e-04	-4.065035e-02	1.330641e+00
5.521067385982360e-04	-6.431574e-02	1.569896e+00
5.716379885982360e-04	-8.701377e-02	1.800779e+00
5.911692385982360e-04	-1.084030e-01	2.019851e+00
