time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765624975344167e-10	1.533981e-06	9.786397e-13
1.953124995068833e-09	3.067962e-06	1.957882e-12
9.144531226912281e-06	1.436436e-02	9.130364e-09
1.828710932882949e-05	2.872528e-02	1.847527e-08
2.742968743074671e-05	4.308581e-02	2.803667e-08
3.657226553266392e-05	5.744598e-02	3.781457e-08
4.571484363458113e-05	7.180576e-02	4.780896e-08
5.485742173649834e-05	8.616517e-02	5.801985e-08
6.399999983841553e-05	1.005242e-01	6.844724e-08
1.142711059174169e-04	1.794581e-01	1.365275e-07
1.472488836569724e-04	2.312155e-01	2.086486e-07
1.736185935153117e-04	2.725842e-01	3.256543e-07
1.946207482337056e-04	3.055191e-01	5.293107e-07
2.135555070943102e-04	3.352006e-01	9.294790e-07
2.315920328383269e-04	3.634630e-01	1.774874e-06
2.508855876485128e-04	3.936822e-01	3.732018e-06
2.685244278210756e-04	4.212971e-01	7.647166e-06
2.866319843912106e-04	4.496322e-01	1.627600e-05
3.039583544646223e-04	4.767314e-01	3.392935e-05
3.215161185225551e-04	5.041780e-01	7.179200e-05
3.387543270640673e-04	5.311102e-01	1.502539e-04
3.561411658419591e-04	5.582588e-01	3.163274e-04
3.734409998817595e-04	5.852550e-01	6.616391e-04
3.909145275802199e-04	6.125047e-01	1.383905e-03
4.085501546864259e-04	6.399885e-01	2.871404e-03
4.266886303509283e-04	6.682355e-01	5.906901e-03
4.457822482655111e-04	6.979464e-01	1.195830e-02
4.671215487993459e-04	7.311220e-01	2.390259e-02
4.939743135357903e-04	7.728223e-01	4.723458e-02
5.239117142877632e-04	8.192479e-01	8.197905e-02
5.524721705437472e-04	8.634707e-01	1.211764e-01
5.918582217272898e-04	9.243410e-01	1.796513e-01
6.387587028227038e-04	9.966393e-01	2.511673e-01
7.746487046243398e-04	1.204840e+00	4.592659e-01
1.067617454624340e-03	1.645744e+00	9.008136e-01
1.360586204624340e-03	2.072716e+00	1.328822e+00
1.653554954624340e-03	2.482142e+00	1.739662e+00
1.946523704624341e-03	2.870557e+00	2.129894e+00
2.183688883195770e-03	3.170777e+00	2.431769e+00
2.420854061767198e-03	3.449877e+00	2.712963e+00
2.658019240338627e-03	3.707859e+00	2.973476e+00
2.895184418910056e-03	3.944721e+00	3.213308e+00
3.132349597481485e-03	4.160464e+00	3.432460e+00
3.369514776052914e-03	4.355088e+00	3.630931e+00
3.606679954624342e-03	4.528593e+00	3.808721e+00
3.732237990338628e-03	4.608888e+00	3.891549e+00
3.857796026052913e-03	4.681764e+00	3.967331e+00
3.983354061767199e-03	4.747220e+00	4.036068e+00
4.108912097481484e-03	4.805256e+00	4.097759e+00
4.234470133195770e-03	4.855873e+00	4.152404e+00
4.360028168910055e-03	4.899071e+00	4.200005e+00
4.485586204624341e-03	4.934849e+00	4.240560e+00
4.680898704624340e-03	4.974896e+00	4.289730e+00
4.778554954624340e-03	4.987905e+00	4.308139e+00
4.876211204624339e-03	4.996220e+00	4.322570e+00
4.973867454624339e-03	4.999832e+00	4.333177e+00
5.071523704624339e-03	4.998738e+00	4.340160e+00
5.169179954624338e-03	4.992939e+00	4.343780e+00
5.266836204624338e-03	4.982442e+00	4.344364e+00
5.364492454624338e-03	4.967255e+00	4.342307e+00
5.462148704624337e-03	4.947393e+00	4.338056e+00
5.559804954624337e-03	4.922875e+00	4.332096e+00
5.657461204624336e-03	4.893724e+00	4.324902e+00
5.755117454624336e-03	4.859967e+00	4.316896e+00
5.852773704624336e-03	4.821636e+00	4.308412e+00
5.950429954624335e-03	4.778767e+00	4.299680e+00
6.043006160851920e-03	4.733974e+00	4.291299e+00
6.140662410851919e-03	4.682384e+00	4.282422e+00
6.238318660851919e-03	4.626389e+00	4.273543e+00
6.335974910851918e-03	4.566038e+00	4.264676e+00
6.433631160851918e-03	4.501390e+00	4.255824e+00
6.531287410851918e-03	4.432506e+00	4.246991e+00
6.628943660851917e-03	4.359450e+00	4.238175e+00
6.726599910851917e-03	4.282291e+00	4.229379e+00
6.991666875137630e-03	4.047635e+00	4.205595e+00
7.256733839423345e-03	3.789867e+00	4.181943e+00
7.521800803709058e-03	3.508987e+00	4.158423e+00
7.786867767994771e-03	3.204995e+00	4.135035e+00
8.051934732280485e-03	2.877891e+00	4.111779e+00
8.317001696566198e-03	2.527676e+00	4.088655e+00
8.582068660851911e-03	2.154348e+00	4.065663e+00
8.735528482280482e-03	1.933063e+00	4.052410e+00
8.888988303709053e-03	1.708610e+00	4.039200e+00
9.042448125137624e-03	1.480992e+00	4.026032e+00
9.195907946566195e-03	1.250207e+00	4.012908e+00
9.349367767994766e-03	1.016256e+00	3.999827e+00
9.502827589423337e-03	7.791379e-01	3.986788e+00
9.656287410851908e-03	5.388539e-01	3.973793e+00
9.949256160851907e-03	7.970486e-02	3.949099e+00
1.024222491085191e-02	-3.801189e-01	3.924560e+00
1.039568473228048e-02	-6.213040e-01	3.911767e+00
1.054914455370905e-02	-8.596797e-01	3.899015e+00
1.070260437513762e-02	-1.095246e+00	3.886305e+00
1.085606419656619e-02	-1.328003e+00	3.873636e+00
1.100952401799476e-02	-1.557951e+00	3.861009e+00
1.116298383942333e-02	-1.785089e+00	3.848422e+00
1.131644366085190e-02	-2.009418e+00	3.835878e+00
1.158151062513762e-02	-2.388914e+00	3.814307e+00
1.184657758942333e-02	-2.746122e+00	3.792856e+00
1.211164455370904e-02	-3.081041e+00	3.771524e+00
1.237671151799476e-02	-3.393672e+00	3.750312e+00
1.264177848228047e-02	-3.684014e+00	3.729220e+00
1.290684544656618e-02	-3.952069e+00	3.708247e+00
1.317191241085190e-02	-4.197835e+00	3.687394e+00
1.374389901799475e-02	-4.617614e+00	3.642807e+00
1.431588562513761e-02	-4.882174e+00	3.598743e+00
1.488787223228047e-02	-4.991513e+00	3.555202e+00
1.545985883942333e-02	-4.945632e+00	3.512185e+00
1.603184544656619e-02	-4.744530e+00	3.469692e+00
