time	V(vin)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765624975344167e-10	1.533981e-06	9.786398e-13
1.953124995068833e-09	3.067962e-06	1.957882e-12
9.144531226912281e-06	1.436436e-02	9.131253e-09
1.828710932882949e-05	2.872528e-02	1.847883e-08
2.742968743074671e-05	4.308581e-02	2.804470e-08
3.657226553266392e-05	5.744598e-02	3.782885e-08
4.571484363458113e-05	7.180576e-02	4.783128e-08
5.485742173649834e-05	8.616517e-02	5.805200e-08
6.399999983841553e-05	1.005242e-01	6.849100e-08
1.142777272688411e-04	1.794685e-01	1.366720e-07
1.472627830663936e-04	2.312373e-01	2.089214e-07
1.736374028553149e-04	2.726137e-01	3.261301e-07
1.946418378685522e-04	3.055522e-01	5.301135e-07
2.135777355425791e-04	3.352354e-01	9.308919e-07
2.316148918803993e-04	3.634989e-01	1.777556e-06
2.509097570810916e-04	3.937201e-01	3.737708e-06
2.685489951745397e-04	4.213355e-01	7.658763e-06
2.866572264740426e-04	4.496717e-01	1.630084e-05
3.039837714440763e-04	4.767711e-01	3.398098e-05
3.215418504058160e-04	5.042182e-01	7.190158e-05
3.387801420753848e-04	5.311505e-01	1.504828e-04
3.561671722615040e-04	5.582994e-01	3.168094e-04
3.734671424930832e-04	5.852958e-01	6.626441e-04
3.909409882250101e-04	6.125460e-01	1.385998e-03
4.085771604492099e-04	6.400306e-01	2.875706e-03
4.267168298263875e-04	6.682794e-01	5.915628e-03
4.458129315872555e-04	6.979941e-01	1.197563e-02
4.671579990460919e-04	7.311786e-01	2.393695e-02
4.940262594248388e-04	7.729030e-01	4.730127e-02
5.239253358751919e-04	8.192690e-01	8.202127e-02
5.524993925349061e-04	8.635128e-01	1.212545e-01
5.918304897373450e-04	9.242982e-01	1.796690e-01
6.387120232207729e-04	9.965674e-01	2.511840e-01
7.744444572197737e-04	1.204528e+00	4.591307e-01
1.067413207219774e-03	1.645441e+00	9.008823e-01
1.360381957219774e-03	2.072424e+00	1.329104e+00
1.653350707219774e-03	2.481864e+00	1.740171e+00
1.946319457219774e-03	2.870294e+00	2.130647e+00
2.183484635791203e-03	3.170529e+00	2.432710e+00
2.420649814362632e-03	3.449645e+00	2.714137e+00
2.657814992934061e-03	3.707643e+00	2.974927e+00
2.894980171505490e-03	3.944524e+00	3.215080e+00
3.132145350076919e-03	4.160286e+00	3.434597e+00
3.369310528648348e-03	4.354931e+00	3.633477e+00
3.606475707219776e-03	4.528457e+00	3.811720e+00
3.732033742934062e-03	4.608764e+00	3.894809e+00
3.857591778648347e-03	4.681651e+00	3.970938e+00
3.983149814362632e-03	4.747119e+00	4.040106e+00
4.108707850076918e-03	4.805167e+00	4.102315e+00
4.234265885791203e-03	4.855797e+00	4.157563e+00
4.359823921505489e-03	4.899007e+00	4.205851e+00
4.485381957219774e-03	4.934798e+00	4.247178e+00
4.680694457219773e-03	4.974864e+00	4.298084e+00
4.778350707219773e-03	4.987883e+00	4.317642e+00
4.876006957219773e-03	4.996207e+00	4.333482e+00
4.973663207219772e-03	4.999829e+00	4.345827e+00
5.071319457219772e-03	4.998745e+00	4.354966e+00
5.168975707219772e-03	4.992957e+00	4.361255e+00
5.266631957219771e-03	4.982469e+00	4.365117e+00
5.364288207219771e-03	4.967292e+00	4.367017e+00
5.461944457219771e-03	4.947440e+00	4.367440e+00
