time	V(emisor)	V(n004)
0.000000000000000e+00	1.225667e+00	0.000000e+00
4.899553553384199e-06	1.228358e+00	3.085023e-03
9.799107106768398e-06	1.231023e+00	6.159941e-03
1.469866066015260e-05	1.233663e+00	9.224755e-03
1.959821421353680e-05	1.236276e+00	1.227946e-02
2.449776776692100e-05	1.238863e+00	1.532407e-02
2.939732132030519e-05	1.241424e+00	1.835857e-02
3.429687487368938e-05	1.243959e+00	2.138297e-02
4.894531237368937e-05	1.251302e+00	3.027078e-02
6.359374987368937e-05	1.258278e+00	3.890235e-02
7.824218737368939e-05	1.264829e+00	4.720460e-02
9.289062487368940e-05	1.270903e+00	5.510725e-02
1.075390623736894e-04	1.276452e+00	6.254342e-02
1.249776784451180e-04	1.282406e+00	7.087402e-02
1.424162945165466e-04	1.287383e+00	7.817237e-02
1.598549105879752e-04	1.291382e+00	8.443847e-02
1.772935266594038e-04	1.294404e+00	8.967233e-02
1.947321427308324e-04	1.296449e+00	9.387393e-02
2.121707588022610e-04	1.297515e+00	9.704329e-02
2.296093748736895e-04	1.297605e+00	9.918041e-02
2.463504463022610e-04	1.296557e+00	9.991853e-02
2.630915177308324e-04	1.294663e+00	9.959574e-02
2.798325891594039e-04	1.291923e+00	9.821204e-02
2.965736605879753e-04	1.288336e+00	9.576744e-02
3.133147320165467e-04	1.283903e+00	9.226194e-02
3.300558034451182e-04	1.278623e+00	8.769552e-02
3.467968748736896e-04	1.272497e+00	8.206820e-02
3.565624998736896e-04	1.268647e+00	7.836887e-02
3.663281248736896e-04	1.264632e+00	7.441462e-02
3.760937498736897e-04	1.260453e+00	7.020546e-02
3.858593748736897e-04	1.256108e+00	6.574137e-02
3.956249998736897e-04	1.251599e+00	6.102237e-02
4.053906248736897e-04	1.246925e+00	5.604845e-02
4.151562498736897e-04	1.242087e+00	5.081961e-02
4.298046873736897e-04	1.234708e+00	4.268894e-02
4.395703123736897e-04	1.229692e+00	3.706334e-02
4.444531248736897e-04	1.227163e+00	3.419689e-02
