time	V(n003)	V(n004)
0.000000000000000e+000	2.340820e-001	0.000000e+000
1.953124988129940e-011	2.340828e-001	6.135923e-008
3.906249976259879e-011	2.340834e-001	1.227185e-007
7.812499952519758e-011	2.340841e-001	2.454369e-007
1.562499990503952e-010	2.340849e-001	4.908738e-007
3.124999981007903e-010	2.340854e-001	9.817477e-007
2.499999984806323e-009	2.340856e-001	7.853982e-006
4.999999969612645e-009	2.340862e-001	1.570796e-005
3.999999975690116e-008	2.340977e-001	1.256636e-004
8.232589278074041e-007	2.343591e-001	2.599772e-003
1.606517855857907e-006	2.346202e-001	5.052923e-003
2.389776783908410e-006	2.348809e-001	7.485116e-003
3.173035711958913e-006	2.351413e-001	9.896351e-003
3.956294640009416e-006	2.354013e-001	1.228663e-002
4.739553568059919e-006	2.356610e-001	1.465595e-002
5.522812496110420e-006	2.359204e-001	1.700431e-002
6.848147317538993e-006	2.363584e-001	2.091554e-002
8.173482138967566e-006	2.367769e-001	2.462181e-002
9.498816960396139e-006	2.371761e-001	2.812311e-002
1.082415178182471e-005	2.375558e-001	3.141944e-002
1.214948660325329e-005	2.379160e-001	3.451081e-002
1.347482142468186e-005	2.382569e-001	3.739721e-002
1.480015624611043e-005	2.385783e-001	4.007864e-002
1.786935267468186e-005	2.391908e-001	4.511147e-002
2.093854910325329e-005	2.395889e-001	4.836531e-002
2.400774553182472e-005	2.397726e-001	4.984017e-002
2.707694196039615e-005	2.397419e-001	4.953605e-002
3.014613838896759e-005	2.394968e-001	4.745293e-002
3.321533481753902e-005	2.390373e-001	4.359084e-002
3.628453124611044e-005	2.383634e-001	3.794976e-002
3.754011160325330e-005	2.380423e-001	3.521647e-002
3.879569196039616e-005	2.377053e-001	3.231242e-002
4.005127231753902e-005	2.373525e-001	2.923762e-002
4.130685267468188e-005	2.369838e-001	2.599205e-002
4.256243303182474e-005	2.365993e-001	2.257573e-002
4.381801338896759e-005	2.361989e-001	1.898864e-002
4.507359374611045e-005	2.357826e-001	1.523080e-002
4.577113838896760e-005	2.355514e-001	1.311924e-002
4.646868303182474e-005	2.353201e-001	1.099278e-002
4.716622767468189e-005	2.350886e-001	8.851420e-003
4.786377231753903e-005	2.348569e-001	6.695156e-003
4.856131696039617e-005	2.346250e-001	4.523991e-003
4.925886160325331e-005	2.343929e-001	2.337923e-003
4.995640624611046e-005	2.341607e-001	1.369536e-004
5.072370535325331e-005	2.339068e-001	-2.286639e-003
5.149100446039617e-005	2.336564e-001	-4.691081e-003
5.225830356753903e-005	2.334095e-001	-7.076371e-003
5.302560267468189e-005	2.331661e-001	-9.442511e-003
5.379290178182475e-005	2.329262e-001	-1.178950e-002
5.456020088896760e-005	2.326899e-001	-1.411734e-002
5.532749999611046e-005	2.324571e-001	-1.642602e-002
5.658308035325332e-005	2.320856e-001	-2.014789e-002
5.783866071039618e-005	2.317339e-001	-2.369257e-002
5.909424106753903e-005	2.314019e-001	-2.706005e-002
6.034982142468189e-005	2.310896e-001	-3.025034e-002
6.160540178182475e-005	2.307969e-001	-3.326343e-002
6.286098213896761e-005	2.305240e-001	-3.609934e-002
6.411656249611046e-005	2.302707e-001	-3.875805e-002
6.725551338896760e-005	2.297491e-001	-4.427340e-002
7.039446428182476e-005	2.294013e-001	-4.793070e-002
7.353341517468191e-005	2.292272e-001	-4.972995e-002
7.667236606753905e-005	2.292270e-001	-4.967114e-002
7.981131696039619e-005	2.294005e-001	-4.775428e-002
8.295026785325334e-005	2.297479e-001	-4.397936e-002
8.608921874611048e-005	2.302690e-001	-3.834639e-002
8.734479910325335e-005	2.305225e-001	-3.564921e-002
8.860037946039620e-005	2.307957e-001	-3.277812e-002
8.985595981753906e-005	2.310887e-001	-2.973312e-002
