time	V(vb)	V(n002)
0.000000000000000e+000	2.356302e+000	0.000000e+000
4.464285766455794e-010	2.356316e+000	2.804993e-006
8.928571532911587e-010	2.356328e+000	5.609987e-006
1.339285729936738e-009	2.356336e+000	8.414980e-006
1.785714306582317e-009	2.356342e+000	1.121997e-005
2.232142883227897e-009	2.356345e+000	1.402497e-005
2.678571459873476e-009	2.356344e+000	1.682996e-005
3.125000036519054e-009	2.356341e+000	1.963495e-005
3.125000036519056e-008	2.356346e+000	1.963495e-004
5.937500069386205e-008	2.356357e+000	3.730641e-004
8.750000102253355e-008	2.356375e+000	5.497787e-004
1.156250013512051e-007	2.356400e+000	7.264932e-004
1.437500016798766e-007	2.356432e+000	9.032077e-004
1.718750020085481e-007	2.356470e+000	1.079922e-003
2.000000023372195e-007	2.356516e+000	1.256637e-003
4.000000046744390e-007	2.356876e+000	2.513272e-003
8.000000093488779e-007	2.357728e+000	5.026527e-003
4.390178590126329e-006	2.365835e+000	2.760812e-002
7.980357170903779e-006	2.373929e+000	5.014748e-002
1.157053575168123e-005	2.382008e+000	7.264462e-002
1.516071433245868e-005	2.390074e+000	9.509953e-002
1.875089291323613e-005	2.398125e+000	1.175122e-001
2.234107149401359e-005	2.406161e+000	1.398827e-001
2.593125007479103e-005	2.414184e+000	1.622109e-001
3.569687507479103e-005	2.436002e+000	2.229551e-001
4.546250007479103e-005	2.457322e+000	2.823170e-001
5.522812507479104e-005	2.478144e+000	3.402965e-001
6.499375007479105e-005	2.498468e+000	3.968937e-001
7.475937507479104e-005	2.518294e+000	4.521086e-001
8.452500007479105e-005	2.537623e+000	5.059412e-001
9.429062507479103e-005	2.556454e+000	5.583914e-001
1.096366072176482e-004	2.584698e+000	6.370690e-001
1.249825893605054e-004	2.610298e+000	7.083748e-001
1.403285715033625e-004	2.633254e+000	7.723087e-001
1.556745536462197e-004	2.653566e+000	8.288709e-001
1.710205357890768e-004	2.671234e+000	8.780612e-001
1.863665179319340e-004	2.686259e+000	9.198797e-001
2.017125000747911e-004	2.698639e+000	9.543264e-001
2.240339286462197e-004	2.710008e+000	9.858807e-001
2.463553572176483e-004	2.714605e+000	9.985494e-001
2.686767857890769e-004	2.712431e+000	9.923326e-001
2.909982143605055e-004	2.703487e+000	9.672303e-001
3.133196429319341e-004	2.687771e+000	9.232425e-001
3.356410715033627e-004	2.665285e+000	8.603691e-001
3.579625000747912e-004	2.636028e+000	7.786102e-001
3.698207590033627e-004	2.618238e+000	7.289293e-001
3.816790179319341e-004	2.599276e+000	6.759915e-001
3.935372768605056e-004	2.579140e+000	6.197968e-001
4.053955357890770e-004	2.557830e+000	5.603452e-001
4.172537947176484e-004	2.535347e+000	4.976368e-001
4.291120536462199e-004	2.511691e+000	4.316714e-001
4.409703125747913e-004	2.486861e+000	3.624492e-001
4.479457590033628e-004	2.472011e+000	3.210621e-001
4.549212054319342e-004	2.457011e+000	2.792614e-001
4.618966518605056e-004	2.441859e+000	2.370472e-001
4.688720982890770e-004	2.426557e+000	1.944194e-001
4.758475447176485e-004	2.411103e+000	1.513780e-001
4.828229911462199e-004	2.395498e+000	1.079230e-001
4.897984375747913e-004	2.379743e+000	6.405442e-002
5.093296875747914e-004	2.335680e+000	-5.858659e-002
