time	V(n005)
0.000000000000000e+000	1.587750e-014
4.882812557061023e-011	2.176932e-006
9.765625114122045e-011	3.996550e-006
1.953125022824409e-010	6.541919e-006
3.906250045648818e-010	9.236257e-006
7.812500091297636e-010	1.136708e-005
1.562500018259527e-009	1.415814e-005
3.125000036519054e-009	2.168853e-005
6.250000073038109e-009	4.000807e-005
1.250000014607622e-008	7.838948e-005
4.412723225095356e-006	2.721825e-002
8.812946450044637e-006	5.428117e-002
1.321316967499392e-005	8.126715e-002
1.761339289994320e-005	1.081762e-001
2.201361612489248e-005	1.350083e-001
2.641383934984176e-005	1.617634e-001
3.081406257479103e-005	1.884417e-001
3.918459828907675e-005	2.389930e-001
4.755513400336246e-005	2.885174e-001
5.592566971764818e-005	3.370147e-001
6.429620543193390e-005	3.844851e-001
7.266674114621962e-005	4.309284e-001
8.103727686050534e-005	4.763448e-001
8.940781257479103e-005	5.207342e-001
9.917343757479104e-005	5.702568e-001
1.040562500747910e-004	5.942035e-001
1.089390625747911e-004	6.175766e-001
1.138218750747911e-004	6.403536e-001
1.187046875747911e-004	6.625128e-001
1.235875000747911e-004	6.840330e-001
1.284703125747911e-004	7.048938e-001
1.333531250747911e-004	7.250751e-001
1.431187500747911e-004	7.633228e-001
1.528843750747911e-004	7.986304e-001
1.626500000747911e-004	8.308629e-001
1.724156250747911e-004	8.598974e-001
1.821812500747911e-004	8.856232e-001
1.919468750747911e-004	9.079419e-001
2.017125000747911e-004	9.267687e-001
2.114781250747911e-004	9.420315e-001
2.212437500747911e-004	9.536723e-001
2.358921875747912e-004	9.642490e-001
2.505406250747911e-004	9.664890e-001
2.651890625747911e-004	9.603731e-001
2.798375000747912e-004	9.459540e-001
2.896031250747912e-004	9.317867e-001
2.993687500747912e-004	9.140367e-001
3.091343750747912e-004	8.927718e-001
3.189000000747912e-004	8.680733e-001
3.286656250747912e-004	8.400353e-001
3.384312500747912e-004	8.087649e-001
3.481968750747912e-004	7.743815e-001
3.579625000747912e-004	7.370165e-001
3.677281250747912e-004	6.968125e-001
3.726109375747912e-004	6.756934e-001
3.774937500747912e-004	6.539230e-001
3.823765625747913e-004	6.315221e-001
3.872593750747913e-004	6.085120e-001
3.921421875747913e-004	5.849148e-001
3.970250000747913e-004	5.607530e-001
4.019078125747913e-004	5.360497e-001
4.116734375747913e-004	4.851136e-001
4.214390625747913e-004	4.323013e-001
4.360875000747913e-004	3.500086e-001
4.430629465033628e-004	3.094990e-001
4.500383929319342e-004	2.685771e-001
4.570138393605056e-004	2.272429e-001
4.639892857890770e-004	1.854965e-001
4.709647322176485e-004	1.433378e-001
4.779401786462199e-004	1.007668e-001
4.849156250747913e-004	5.778352e-002
4.946812500747914e-004	-2.292815e-003
5.093296875747914e-004	-9.235448e-002
5.170026786462200e-004	-1.395485e-001
5.246756697176485e-004	-1.861533e-001
5.323486607890771e-004	-2.321688e-001
5.400216518605057e-004	-2.775951e-001
5.476946429319343e-004	-3.224321e-001
5.553676340033628e-004	-3.666799e-001
5.630406250747914e-004	-4.103384e-001
5.755964286462200e-004	-4.801566e-001
5.881522322176485e-004	-5.460341e-001
6.007080357890771e-004	-6.079708e-001
6.132638393605058e-004	-6.659669e-001
6.258196429319344e-004	-7.200223e-001
6.383754465033630e-004	-7.701370e-001
6.509312500747915e-004	-8.163111e-001
6.655796875747915e-004	-8.628074e-001
6.802281250747915e-004	-9.021124e-001
6.948765625747915e-004	-9.339486e-001
7.095250000747915e-004	-9.581062e-001
7.241734375747916e-004	-9.744383e-001
7.388218750747916e-004	-9.828540e-001
7.534703125747916e-004	-9.833107e-001
7.681187500747916e-004	-9.758093e-001
7.827671875747916e-004	-9.603937e-001
7.974156250747916e-004	-9.371527e-001
8.120640625747916e-004	-9.062284e-001
8.267125000747916e-004	-8.678218e-001
8.413609375747917e-004	-8.221998e-001
8.546142857890774e-004	-7.739791e-001
8.678676340033631e-004	-7.213921e-001
8.811209822176489e-004	-6.644388e-001
8.943743304319346e-004	-6.031192e-001
9.076276786462203e-004	-5.374333e-001
9.208810268605060e-004	-4.673812e-001
9.341343750747917e-004	-3.929627e-001
9.418073661462202e-004	-3.489540e-001
9.494803572176489e-004	-3.043970e-001
9.571533482890774e-004	-2.592919e-001
9.648263393605060e-004	-2.136385e-001
9.724993304319345e-004	-1.674370e-001
9.801723215033631e-004	-1.206872e-001
9.878453125747916e-004	-7.338930e-002
1.012259375074791e-003	7.679349e-002
1.019932366146220e-003	1.240359e-001
1.027605357217648e-003	1.707039e-001
1.035278348289076e-003	2.167976e-001
1.042951339360505e-003	2.623170e-001
1.050624330431933e-003	3.072621e-001
1.058297321503361e-003	3.516328e-001
1.065970312574790e-003	3.954291e-001
1.080618750074790e-003	4.758223e-001
1.090384375074789e-003	5.271644e-001
1.100150000074789e-003	5.764738e-001
1.105032812574789e-003	6.003069e-001
1.109915625074789e-003	6.235619e-001
1.114798437574789e-003	6.462163e-001
1.119681250074789e-003	6.682487e-001
1.124564062574789e-003	6.896380e-001
1.129446875074789e-003	7.103637e-001
1.134329687574788e-003	7.304060e-001
1.144095312574788e-003	7.683648e-001
1.153860937574788e-003	8.033694e-001
1.163626562574788e-003	8.352860e-001
1.173392187574788e-003	8.639930e-001
1.183157812574787e-003	8.893809e-001
1.192923437574787e-003	9.113527e-001
1.202689062574787e-003	9.298246e-001
1.212454687574787e-003	9.447263e-001
1.222220312574787e-003	9.560008e-001
1.236868750074786e-003	9.660216e-001
1.251517187574786e-003	9.677022e-001
1.266165625074786e-003	9.610282e-001
1.280814062574785e-003	9.460571e-001
1.290579687574785e-003	9.315274e-001
1.300345312574785e-003	9.134212e-001
1.310110937574785e-003	8.918077e-001
1.319876562574785e-003	8.667693e-001
1.329642187574784e-003	8.384016e-001
1.339407812574784e-003	8.068129e-001
1.349173437574784e-003	7.721238e-001
1.358939062574784e-003	7.344669e-001
1.363821875074784e-003	7.145699e-001
1.368704687574784e-003	6.939857e-001
1.373587500074783e-003	6.727340e-001
1.378470312574783e-003	6.508352e-001
1.383353125074783e-003	6.283099e-001
1.388235937574783e-003	6.051799e-001
1.393118750074783e-003	5.814673e-001
1.398001562574783e-003	5.571946e-001
1.402884375074783e-003	5.323851e-001
1.412650000074783e-003	4.812510e-001
1.427298437574782e-003	4.011323e-001
1.434971428646211e-003	3.574616e-001
1.442644419717639e-003	3.132027e-001
1.450317410789068e-003	2.683557e-001
1.457990401860496e-003	2.229206e-001
1.465663392931924e-003	1.768974e-001
1.473336384003353e-003	1.302860e-001
1.481009375074781e-003	8.308654e-002
1.495657812574781e-003	-6.980195e-003
1.510306250074780e-003	-9.701811e-002
1.517979241146209e-003	-1.441786e-001
1.525652232217637e-003	-1.907363e-001
1.533325223289066e-003	-2.366910e-001
1.540998214360494e-003	-2.820429e-001
1.548671205431923e-003	-3.267918e-001
1.556344196503351e-003	-3.709379e-001
