time	V(n004)
0.000000000000000e+000	1.689096e+000
7.142857099446638e-010	1.689116e+000
1.428571419889328e-009	1.689131e+000
2.142857129833992e-009	1.689142e+000
2.857142839778655e-009	1.689149e+000
3.571428549723319e-009	1.689151e+000
4.285714259667983e-009	1.689149e+000
4.999999969612645e-009	1.689143e+000
1.999999987845058e-008	1.689170e+000
3.999999975690116e-008	1.689254e+000
7.999999951380232e-008	1.689557e+000
1.599999990276046e-007	1.690542e+000
3.199999980552093e-007	1.693325e+000
6.399999961104186e-007	1.700066e+000
1.128281246110419e-006	1.711117e+000
1.895580353253276e-006	1.728815e+000
2.662879460396134e-006	1.746321e+000
3.430178567538991e-006	1.763635e+000
4.197477674681849e-006	1.780758e+000
4.964776781824707e-006	1.797688e+000
5.732075888967564e-006	1.814427e+000
6.499374996110420e-006	1.830974e+000
7.824709817538994e-006	1.859003e+000
9.150044638967567e-006	1.885430e+000
1.047537946039614e-005	1.910254e+000
1.180071428182471e-005	1.933475e+000
1.312604910325329e-005	1.955094e+000
1.445138392468186e-005	1.975109e+000
1.577671874611043e-005	1.993522e+000
1.863665178182472e-005	2.025290e+000
2.149658481753901e-005	2.045671e+000
2.435651785325330e-005	2.054667e+000
2.721645088896759e-005	2.052276e+000
3.007638392468187e-005	2.038500e+000
3.293631696039616e-005	2.013337e+000
3.579624999611044e-005	1.976788e+000
3.698207588896759e-005	1.958804e+000
3.816790178182473e-005	1.939609e+000
3.935372767468188e-005	1.919205e+000
4.053955356753902e-005	1.897592e+000
4.172537946039617e-005	1.874768e+000
4.291120535325331e-005	1.850735e+000
4.409703124611045e-005	1.825493e+000
4.479457588896760e-005	1.810390e+000
4.549212053182474e-005	1.795129e+000
4.618966517468188e-005	1.779710e+000
4.688720981753903e-005	1.764133e+000
4.758475446039617e-005	1.748397e+000
4.828229910325331e-005	1.732504e+000
4.897984374611046e-005	1.716452e+000
4.932861606753902e-005	1.708433e+000
4.967738838896760e-005	1.700415e+000
5.002616071039617e-005	1.692397e+000
5.037493303182474e-005	1.684380e+000
5.072370535325331e-005	1.676363e+000
5.107247767468189e-005	1.668347e+000
5.142124999611046e-005	1.660331e+000
5.225830356753903e-005	1.641052e+000
5.309535713896760e-005	1.622036e+000
5.393241071039617e-005	1.603284e+000
5.476946428182475e-005	1.584795e+000
5.560651785325332e-005	1.566570e+000
5.644357142468189e-005	1.548608e+000
5.728062499611046e-005	1.530910e+000
5.860595981753903e-005	1.503604e+000
5.993129463896761e-005	1.477994e+000
6.125662946039617e-005	1.454080e+000
6.258196428182475e-005	1.431861e+000
6.390729910325332e-005	1.411337e+000
6.523263392468190e-005	1.392508e+000
6.655796874611046e-005	1.375375e+000
6.934814731753904e-005	1.347276e+000
7.213832588896762e-005	1.329991e+000
7.492850446039618e-005	1.323521e+000
7.771868303182476e-005	1.327865e+000
8.050886160325334e-005	1.343023e+000
8.329904017468192e-005	1.368995e+000
8.608921874611048e-005	1.405782e+000
8.727504463896762e-005	1.424115e+000
8.846087053182477e-005	1.443632e+000
8.964669642468191e-005	1.464331e+000
9.083252231753906e-005	1.486213e+000
9.201834821039620e-005	1.509277e+000
9.320417410325335e-005	1.533524e+000
9.438999999611049e-005	1.558954e+000
9.508754463896763e-005	1.574152e+000
9.578508928182478e-005	1.589497e+000
9.648263392468192e-005	1.604989e+000
9.718017856753907e-005	1.620628e+000
9.787772321039620e-005	1.636414e+000
9.857526785325336e-005	1.652347e+000
9.927281249611049e-005	1.668427e+000
9.962158481753907e-005	1.676456e+000
9.997035713896763e-005	1.684482e+000
1.003191294603962e-004	1.692504e+000
1.006679017818248e-004	1.700523e+000
1.010166741032534e-004	1.708539e+000
1.013654464246819e-004	1.716551e+000
1.017142187461105e-004	1.724559e+000
1.025512723175391e-004	1.743810e+000
1.033883258889676e-004	1.762780e+000
1.042253794603962e-004	1.781471e+000
1.050624330318248e-004	1.799882e+000
1.058994866032534e-004	1.818014e+000
1.067365401746819e-004	1.835865e+000
1.075735937461105e-004	1.853437e+000
1.089686830318248e-004	1.881936e+000
1.103637723175391e-004	1.908488e+000
1.117588616032534e-004	1.933093e+000
1.131539508889677e-004	1.955751e+000
1.145490401746819e-004	1.976463e+000
1.159441294603962e-004	1.995228e+000
1.173392187461105e-004	2.012046e+000
1.199898883889677e-004	2.036210e+000
1.226405580318248e-004	2.050573e+000
1.252912276746819e-004	2.055137e+000
1.279418973175391e-004	2.049900e+000
1.305925669603962e-004	2.034864e+000
1.332432366032534e-004	2.010027e+000
1.358939062461105e-004	1.975391e+000
1.370797321389677e-004	1.957277e+000
1.382655580318248e-004	1.937964e+000
1.394513839246819e-004	1.917452e+000
1.406372098175391e-004	1.895739e+000
1.418230357103962e-004	1.872827e+000
1.430088616032534e-004	1.848715e+000
1.441946874961105e-004	1.823404e+000
1.448922321389677e-004	1.808266e+000
1.455897767818248e-004	1.792975e+000
1.462873214246820e-004	1.777530e+000
1.469848660675391e-004	1.761931e+000
1.476824107103963e-004	1.746178e+000
1.483799553532534e-004	1.730272e+000
1.490774999961105e-004	1.714211e+000
1.494262723175391e-004	1.706189e+000
1.497750446389677e-004	1.698169e+000
1.501238169603963e-004	1.690150e+000
1.504725892818248e-004	1.682133e+000
1.508213616032534e-004	1.674118e+000
1.511701339246820e-004	1.666104e+000
1.515189062461105e-004	1.658092e+000
1.523559598175391e-004	1.638826e+000
1.531930133889677e-004	1.619829e+000
1.540300669603963e-004	1.601102e+000
1.548671205318248e-004	1.582644e+000
1.557041741032534e-004	1.564456e+000
1.565412276746820e-004	1.546537e+000
1.573782812461105e-004	1.528887e+000
1.587733705318248e-004	1.500235e+000
1.601684598175391e-004	1.473503e+000
1.615635491032534e-004	1.448692e+000
1.629586383889677e-004	1.425801e+000
1.643537276746820e-004	1.404831e+000
1.657488169603963e-004	1.385781e+000
1.671439062461105e-004	1.368652e+000
1.697945758889677e-004	1.343787e+000
1.724452455318248e-004	1.328712e+000
1.750959151746820e-004	1.323426e+000
1.777465848175391e-004	1.327930e+000
1.803972544603963e-004	1.342224e+000
1.830479241032534e-004	1.366307e+000
1.856985937461106e-004	1.400180e+000
1.868844196389677e-004	1.418000e+000
1.880702455318248e-004	1.437043e+000
1.892560714246820e-004	1.457308e+000
1.904418973175391e-004	1.478796e+000
1.916277232103963e-004	1.501506e+000
1.928135491032534e-004	1.525438e+000
1.939993749961106e-004	1.550593e+000
1.946969196389677e-004	1.565654e+000
1.953944642818248e-004	1.580878e+000
1.960920089246820e-004	1.596266e+000
1.967895535675391e-004	1.611818e+000
1.974870982103963e-004	1.627534e+000
1.981846428532534e-004	1.643414e+000
1.988821874961106e-004	1.659458e+000
2.013235937461106e-004	1.715599e+000
2.020908928532534e-004	1.733279e+000
2.028581919603963e-004	1.750757e+000
2.036254910675392e-004	1.768032e+000
2.043927901746820e-004	1.785105e+000
2.051600892818249e-004	1.801975e+000
2.059273883889677e-004	1.818643e+000
2.066946874961106e-004	1.835109e+000
2.080200223175392e-004	1.862973e+000
2.093453571389677e-004	1.889211e+000
2.106706919603963e-004	1.913822e+000
2.119960267818249e-004	1.936807e+000
2.133213616032534e-004	1.958165e+000
2.146466964246820e-004	1.977897e+000
2.159720312461106e-004	1.996002e+000
2.188319642818249e-004	2.026996e+000
2.216918973175392e-004	2.046609e+000
2.245518303532534e-004	2.054843e+000
2.274117633889677e-004	2.051698e+000
2.302716964246820e-004	2.037172e+000
2.331316294603963e-004	2.011267e+000
2.359915624961106e-004	1.973982e+000
2.371773883889678e-004	1.955741e+000
2.383632142818249e-004	1.936310e+000
2.395490401746820e-004	1.915689e+000
2.407348660675392e-004	1.893879e+000
2.419206919603963e-004	1.870879e+000
2.431065178532534e-004	1.846689e+000
2.442923437461106e-004	1.821310e+000
2.449898883889677e-004	1.806139e+000
2.456874330318249e-004	1.790818e+000
2.463849776746820e-004	1.775347e+000
2.470825223175391e-004	1.759727e+000
2.477800669603963e-004	1.743957e+000
2.484776116032534e-004	1.728038e+000
2.491751562461106e-004	1.711968e+000
2.495239285675391e-004	1.703944e+000
2.498727008889677e-004	1.695922e+000
2.502214732103963e-004	1.687903e+000
2.505702455318249e-004	1.679886e+000
2.509190178532534e-004	1.671873e+000
2.512677901746820e-004	1.663862e+000
2.516165624961106e-004	1.655853e+000
2.524536160675391e-004	1.636601e+000
2.532906696389677e-004	1.617624e+000
2.541277232103963e-004	1.598923e+000
2.549647767818249e-004	1.580497e+000
2.558018303532534e-004	1.562346e+000
2.566388839246820e-004	1.544471e+000
2.574759374961106e-004	1.526871e+000
2.588710267818249e-004	1.498316e+000
2.602661160675391e-004	1.471693e+000
2.616612053532535e-004	1.447004e+000
2.630562946389678e-004	1.424247e+000
2.644513839246821e-004	1.403423e+000
2.658464732103963e-004	1.384532e+000
2.672415624961106e-004	1.367573e+000
2.698922321389678e-004	1.343075e+000
2.725429017818249e-004	1.328361e+000
2.751935714246821e-004	1.323432e+000
2.778442410675392e-004	1.328287e+000
2.804949107103963e-004	1.342928e+000
2.831455803532535e-004	1.367354e+000
2.857962499961106e-004	1.401564e+000
2.869820758889678e-004	1.419514e+000
2.881679017818249e-004	1.438676e+000
2.893537276746821e-004	1.459051e+000
2.905395535675392e-004	1.480638e+000
