time	V(n004)
0.000000000000000e+000	1.689096e+000
4.882812557061023e-011	1.689098e+000
9.765625114122045e-011	1.689100e+000
1.953125022824409e-010	1.689103e+000
3.906250045648818e-010	1.689106e+000
7.812500091297636e-010	1.689108e+000
1.562500018259527e-009	1.689110e+000
3.125000036519054e-009	1.689118e+000
6.250000073038109e-009	1.689136e+000
1.250000014607622e-008	1.689175e+000
4.412723225095356e-006	1.716411e+000
8.812946450044637e-006	1.743579e+000
1.321316967499392e-005	1.770681e+000
1.761339289994320e-005	1.797715e+000
2.201361612489248e-005	1.824682e+000
2.641383934984176e-005	1.851581e+000
3.081406257479103e-005	1.878413e+000
3.918459828907675e-005	1.929287e+000
4.755513400336246e-005	1.979169e+000
5.592566971764818e-005	2.028059e+000
6.429620543193390e-005	2.075958e+000
7.266674114621962e-005	2.122864e+000
8.103727686050534e-005	2.168779e+000
8.940781257479103e-005	2.213702e+000
9.917343757479104e-005	2.263886e+000
1.040562500747910e-004	2.288180e+000
1.089390625747911e-004	2.311911e+000
1.138218750747911e-004	2.335056e+000
1.187046875747911e-004	2.357593e+000
1.235875000747911e-004	2.379500e+000
1.284703125747911e-004	2.400757e+000
1.333531250747911e-004	2.421344e+000
1.431187500747911e-004	2.460429e+000
1.528843750747911e-004	2.496605e+000
1.626500000747911e-004	2.529736e+000
1.724156250747911e-004	2.559695e+000
1.821812500747911e-004	2.586368e+000
1.919468750747911e-004	2.609654e+000
2.017125000747911e-004	2.629464e+000
2.114781250747911e-004	2.645722e+000
2.212437500747911e-004	2.658368e+000
2.358921875747912e-004	2.670460e+000
2.505406250747911e-004	2.674214e+000
2.651890625747911e-004	2.669599e+000
2.798375000747912e-004	2.656652e+000
2.896031250747912e-004	2.643445e+000
2.993687500747912e-004	2.626634e+000
3.091343750747912e-004	2.606282e+000
3.189000000747912e-004	2.582466e+000
3.286656250747912e-004	2.555279e+000
3.384312500747912e-004	2.524822e+000
3.481968750747912e-004	2.491212e+000
3.579625000747912e-004	2.454577e+000
3.677281250747912e-004	2.415056e+000
3.726109375747912e-004	2.394260e+000
3.774937500747912e-004	2.372800e+000
3.823765625747913e-004	2.350696e+000
3.872593750747913e-004	2.327969e+000
3.921421875747913e-004	2.304641e+000
3.970250000747913e-004	2.280734e+000
4.019078125747913e-004	2.256271e+000
4.116734375747913e-004	2.205770e+000
4.214390625747913e-004	2.153330e+000
4.360875000747913e-004	2.071473e+000
4.437604911462199e-004	2.026999e+000
4.514334822176485e-004	1.982016e+000
4.591064732890770e-004	1.936524e+000
4.667794643605056e-004	1.890523e+000
4.744524554319342e-004	1.844013e+000
4.821254465033628e-004	1.796993e+000
4.897984375747913e-004	1.749465e+000
4.932861607890771e-004	1.727911e+000
4.967738840033628e-004	1.706368e+000
5.002616072176485e-004	1.684835e+000
5.037493304319343e-004	1.663314e+000
5.072370536462200e-004	1.641803e+000
5.107247768605057e-004	1.620303e+000
5.142125000747914e-004	1.598814e+000
5.225830357890771e-004	1.547168e+000
5.309535715033628e-004	1.496286e+000
5.393241072176485e-004	1.446168e+000
5.476946429319343e-004	1.396814e+000
5.560651786462200e-004	1.348224e+000
5.644357143605057e-004	1.300398e+000
5.728062500747914e-004	1.253336e+000
5.867571429319343e-004	1.177078e+000
6.007080357890771e-004	1.106044e+000
6.146589286462201e-004	1.040235e+000
6.286098215033629e-004	9.796518e-001
6.425607143605058e-004	9.242932e-001
6.565116072176487e-004	8.741596e-001
6.704625000747915e-004	8.292509e-001
6.976667411462201e-004	7.632488e-001
7.248709822176488e-004	7.244331e-001
7.520752232890774e-004	7.128036e-001
7.792794643605059e-004	7.283604e-001
8.064837054319345e-004	7.711035e-001
8.336879465033632e-004	8.410330e-001
8.608921875747917e-004	9.381487e-001
8.727504465033631e-004	9.875231e-001
8.846087054319346e-004	1.040058e+000
8.964669643605060e-004	1.095753e+000
9.083252232890774e-004	1.154608e+000
9.201834822176489e-004	1.216624e+000
9.320417411462203e-004	1.281800e+000
9.439000000747918e-004	1.350136e+000
9.508754465033632e-004	1.390974e+000
9.578508929319346e-004	1.432202e+000
9.648263393605060e-004	1.473820e+000
9.718017857890773e-004	1.515827e+000
9.787772322176487e-004	1.558224e+000
9.857526786462201e-004	1.601011e+000
9.927281250747915e-004	1.644187e+000
9.962158482890772e-004	1.665742e+000
9.997035715033627e-004	1.687285e+000
1.003191294717648e-003	1.708818e+000
1.006679017931934e-003	1.730339e+000
1.010166741146220e-003	1.751849e+000
1.013654464360505e-003	1.773348e+000
1.017142187574791e-003	1.794835e+000
1.025512723289077e-003	1.846476e+000
1.033883259003362e-003	1.897347e+000
1.042253794717648e-003	1.947450e+000
1.050624330431933e-003	1.996784e+000
1.058994866146219e-003	2.045349e+000
1.067365401860504e-003	2.093144e+000
1.075735937574790e-003	2.140171e+000
1.085501562574790e-003	2.193057e+000
1.095267187574789e-003	2.244053e+000
1.100150000074789e-003	2.268781e+000
1.105032812574789e-003	2.292964e+000
1.109915625074789e-003	2.316579e+000
1.114798437574789e-003	2.339604e+000
1.119681250074789e-003	2.362016e+000
1.124564062574789e-003	2.383795e+000
1.129446875074789e-003	2.404920e+000
1.134329687574788e-003	2.425371e+000
1.144095312574788e-003	2.464171e+000
1.153860937574788e-003	2.500049e+000
1.163626562574788e-003	2.532868e+000
1.173392187574788e-003	2.562503e+000
1.183157812574787e-003	2.588842e+000
1.192923437574787e-003	2.611784e+000
1.202689062574787e-003	2.631242e+000
1.212454687574787e-003	2.647142e+000
1.222220312574787e-003	2.659423e+000
1.236868750074786e-003	2.670962e+000
1.251517187574786e-003	2.674158e+000
1.266165625074786e-003	2.668985e+000
1.280814062574785e-003	2.655487e+000
1.290579687574785e-003	2.641917e+000
1.300345312574785e-003	2.624748e+000
1.310110937574785e-003	2.604046e+000
1.319876562574785e-003	2.579889e+000
1.329642187574784e-003	2.552370e+000
1.339407812574784e-003	2.521592e+000
1.349173437574784e-003	2.487674e+000
1.358939062574784e-003	2.450744e+000
1.363821875074784e-003	2.431193e+000
1.368704687574784e-003	2.410943e+000
1.373587500074783e-003	2.390012e+000
1.378470312574783e-003	2.368421e+000
1.383353125074783e-003	2.346191e+000
1.388235937574783e-003	2.323342e+000
1.393118750074783e-003	2.299896e+000
1.398001562574783e-003	2.275877e+000
1.402884375074783e-003	2.251305e+000
1.412650000074783e-003	2.200601e+000
1.427298437574782e-003	2.121009e+000
1.435668973289068e-003	2.073505e+000
1.444039509003353e-003	2.025289e+000
1.452410044717639e-003	1.976362e+000
1.460780580431924e-003	1.926723e+000
1.469151116146210e-003	1.876373e+000
1.477521651860495e-003	1.825310e+000
1.485892187574781e-003	1.773537e+000
1.500540625074781e-003	1.683114e+000
1.505423437574781e-003	1.652888e+000
1.510306250074780e-003	1.622775e+000
1.515189062574780e-003	1.592775e+000
1.520071875074780e-003	1.562887e+000
1.524954687574780e-003	1.533112e+000
1.529837500074780e-003	1.503448e+000
1.534720312574780e-003	1.473898e+000
1.545183482217637e-003	1.410841e+000
1.555646651860494e-003	1.349665e+000
1.566109821503351e-003	1.290369e+000
1.576572991146208e-003	1.232954e+000
1.587036160789065e-003	1.177419e+000
1.597499330431922e-003	1.123764e+000
1.607962500074778e-003	1.071990e+000
1.625401116146207e-003	9.912570e-001
1.642839732217635e-003	9.206326e-001
1.660278348289063e-003	8.601171e-001
1.677716964360491e-003	8.097107e-001
1.695155580431919e-003	7.694132e-001
1.712594196503348e-003	7.392248e-001
1.730032812574776e-003	7.191453e-001
1.744681250074775e-003	7.122280e-001
1.759329687574775e-003	7.134632e-001
1.773978125074775e-003	7.228418e-001
1.790719196503346e-003	7.446183e-001
1.807460267931917e-003	7.756608e-001
1.824201339360488e-003	8.159694e-001
1.840942410789059e-003	8.655440e-001
1.857683482217630e-003	9.243847e-001
1.874424553646201e-003	9.924914e-001
1.891165625074772e-003	1.069864e+000
1.901628794717629e-003	1.121526e+000
1.912091964360486e-003	1.175080e+000
1.922555134003343e-003	1.230524e+000
1.933018303646200e-003	1.287859e+000
1.943481473289057e-003	1.347086e+000
1.953944642931914e-003	1.408203e+000
1.964407812574771e-003	1.471212e+000
1.969290625074771e-003	1.500745e+000
1.974173437574771e-003	1.530392e+000
1.979056250074771e-003	1.560155e+000
1.983939062574771e-003	1.590033e+000
1.988821875074770e-003	1.620025e+000
1.993704687574770e-003	1.650133e+000
1.998587500074770e-003	1.680356e+000
2.002772767931913e-003	1.706258e+000
2.006958035789056e-003	1.732109e+000
2.011143303646198e-003	1.757907e+000
2.015328571503341e-003	1.783654e+000
2.019513839360484e-003	1.809349e+000
2.023699107217627e-003	1.834991e+000
2.027884375074770e-003	1.860582e+000
2.036952455431912e-003	1.915945e+000
2.046020535789055e-003	1.970154e+000
2.055088616146198e-003	2.023208e+000
2.064156696503340e-003	2.075109e+000
2.073224776860483e-003	2.125855e+000
2.082292857217626e-003	2.175447e+000
2.091360937574768e-003	2.223885e+000
2.101126562574768e-003	2.273653e+000
2.106009375074768e-003	2.297724e+000
2.110892187574768e-003	2.321223e+000
2.115775000074768e-003	2.344127e+000
2.120657812574768e-003	2.366415e+000
2.125540625074768e-003	2.388065e+000
2.130423437574767e-003	2.409056e+000
2.135306250074767e-003	2.429369e+000
2.145071875074767e-003	2.467884e+000
2.154837500074767e-003	2.503462e+000
2.164603125074767e-003	2.535969e+000
2.174368750074767e-003	2.565279e+000
2.184134375074766e-003	2.591282e+000
2.193900000074766e-003	2.613879e+000
2.203665625074766e-003	2.632985e+000
2.213431250074766e-003	2.648525e+000
2.223196875074766e-003	2.660442e+000
2.237845312574765e-003	2.671427e+000
2.252493750074765e-003	2.674065e+000
2.267142187574765e-003	2.668335e+000
2.281790625074764e-003	2.654285e+000
2.291556250074764e-003	2.640352e+000
2.301321875074764e-003	2.622827e+000
2.311087500074764e-003	2.601775e+000
2.320853125074763e-003	2.577278e+000
2.330618750074763e-003	2.549428e+000
2.340384375074763e-003	2.518331e+000
2.350150000074763e-003	2.484106e+000
2.359915625074763e-003	2.446882e+000
2.364798437574762e-003	2.427190e+000
2.369681250074762e-003	2.406802e+000
2.374564062574762e-003	2.385737e+000
2.379446875074762e-003	2.364017e+000
2.384329687574762e-003	2.341661e+000
2.389212500074762e-003	2.318691e+000
2.394095312574762e-003	2.295129e+000
2.398978125074762e-003	2.270997e+000
2.408743750074762e-003	2.221115e+000
2.418509375074761e-003	2.169236e+000
2.433157812574761e-003	2.088107e+000
2.440830803646189e-003	2.043958e+000
2.448503794717618e-003	1.999260e+000
2.456176785789046e-003	1.954011e+000
2.463849776860475e-003	1.908212e+000
2.471522767931903e-003	1.861862e+000
2.479195759003332e-003	1.814962e+000
2.486868750074760e-003	1.767512e+000
2.491054017931902e-003	1.741655e+000
2.495239285789045e-003	1.715812e+000
2.499424553646188e-003	1.689982e+000
2.503609821503331e-003	1.664166e+000
2.507795089360474e-003	1.638363e+000
2.511980357217617e-003	1.612573e+000
2.516165625074759e-003	1.586797e+000
2.524536160789045e-003	1.535237e+000
2.532906696503330e-003	1.484472e+000
2.541277232217616e-003	1.434504e+000
2.549647767931901e-003	1.385332e+000
2.558018303646187e-003	1.336955e+000
2.566388839360472e-003	1.289375e+000
2.574759375074758e-003	1.242590e+000
2.588710267931900e-003	1.166872e+000
2.602661160789043e-003	1.096442e+000
2.616612053646186e-003	1.031301e+000
2.630562946503328e-003	9.714479e-001
2.644513839360471e-003	9.168833e-001
2.658464732217614e-003	8.676070e-001
2.672415625074756e-003	8.236192e-001
2.698922321503327e-003	7.607808e-001
2.725429017931897e-003	7.238002e-001
2.751935714360468e-003	7.126775e-001
2.778442410789039e-003	7.274126e-001
2.804949107217610e-003	7.680055e-001
2.831455803646181e-003	8.344563e-001
2.857962500074752e-003	9.267650e-001
2.869820759003323e-003	9.751144e-001
2.881679017931894e-003	1.026704e+000
2.893537276860465e-003	1.081533e+000
2.905395535789037e-003	1.139602e+000
2.917253794717608e-003	1.200910e+000
2.929112053646179e-003	1.265459e+000
2.940970312574750e-003	1.333247e+000
2.947945759003322e-003	1.373813e+000
2.954921205431893e-003	1.414802e+000
2.961896651860464e-003	1.456215e+000
2.968872098289035e-003	1.498052e+000
2.975847544717607e-003	1.540312e+000
2.982822991146178e-003	1.582997e+000
2.989798437574749e-003	1.626105e+000
2.993286160789035e-003	1.647639e+000
2.996773884003321e-003	1.669171e+000
3.000261607217606e-003	1.690700e+000
3.003749330431892e-003	1.712227e+000
3.007237053646177e-003	1.733752e+000
3.010724776860463e-003	1.755274e+000
3.014212500074749e-003	1.776793e+000
3.022583035789034e-003	1.828548e+000
3.030953571503320e-003	1.879583e+000
