time	V(n005)
0.000000000000000e+000	1.587750e-014
3.571428549723319e-010	1.364879e-005
7.142857099446638e-010	2.470561e-005
1.071428564916996e-009	3.317046e-005
1.428571419889328e-009	3.904335e-005
1.785714274861660e-009	4.232427e-005
2.142857129833992e-009	4.301322e-005
2.499999984806323e-009	4.111021e-005
1.999999987845058e-008	7.021618e-005
3.999999975690116e-008	1.505626e-004
7.999999951380232e-008	4.407012e-004
1.599999990276046e-007	1.383705e-003
3.199999980552093e-007	4.053502e-003
6.399999961104186e-007	1.053008e-002
1.128281246110419e-006	2.116014e-002
1.895580353253276e-006	3.819216e-002
2.662879460396134e-006	5.503866e-002
3.430178567538991e-006	7.169963e-002
4.197477674681849e-006	8.817508e-002
4.964776781824707e-006	1.044650e-001
5.732075888967564e-006	1.205694e-001
6.499374996110420e-006	1.364883e-001
7.824709817538994e-006	1.634511e-001
9.150044638967567e-006	1.888683e-001
1.047537946039614e-005	2.127397e-001
1.180071428182471e-005	2.350655e-001
1.312604910325329e-005	2.558455e-001
1.445138392468186e-005	2.750799e-001
1.577671874611043e-005	2.927685e-001
1.863665178182472e-005	3.232545e-001
2.149658481753901e-005	3.427796e-001
2.435651785325330e-005	3.513438e-001
2.721645088896759e-005	3.489470e-001
3.007638392468187e-005	3.355894e-001
3.293631696039616e-005	3.112708e-001
3.579624999611044e-005	2.759913e-001
3.698207588896759e-005	2.586456e-001
3.816790178182473e-005	2.401387e-001
3.935372767468188e-005	2.204706e-001
4.053955356753902e-005	1.996413e-001
4.172537946039617e-005	1.776508e-001
4.291120535325331e-005	1.544990e-001
4.409703124611045e-005	1.301861e-001
4.479457588896760e-005	1.156417e-001
4.549212053182474e-005	1.009466e-001
4.618966517468188e-005	8.610083e-002
4.688720981753903e-005	7.110433e-002
4.758475446039617e-005	5.595712e-002
4.828229910325331e-005	4.065922e-002
4.897984374611046e-005	2.521060e-002
4.932861606753902e-005	1.749340e-002
4.967738838896760e-005	9.777111e-003
5.002616071039617e-005	2.061747e-003
5.037493303182474e-005	-5.652696e-003
5.072370535325331e-005	-1.336622e-002
5.107247767468189e-005	-2.107882e-002
5.142124999611046e-005	-2.879049e-002
5.218854910325331e-005	-4.577756e-002
5.295584821039617e-005	-6.256180e-002
5.372314731753903e-005	-7.914322e-002
5.449044642468189e-005	-9.552183e-002
5.525774553182475e-005	-1.116976e-001
5.602504463896761e-005	-1.276706e-001
5.679234374611046e-005	-1.434407e-001
5.811767856753903e-005	-1.701038e-001
5.944301338896761e-005	-1.951879e-001
6.076834821039618e-005	-2.186931e-001
6.209368303182475e-005	-2.406193e-001
6.341901785325332e-005	-2.609665e-001
6.474435267468190e-005	-2.797348e-001
6.606968749611046e-005	-2.969241e-001
6.892962053182475e-005	-3.262178e-001
7.178955356753904e-005	-3.445983e-001
7.464948660325333e-005	-3.520657e-001
7.750941963896762e-005	-3.486198e-001
8.036935267468191e-005	-3.342608e-001
8.322928571039619e-005	-3.089886e-001
8.608921874611048e-005	-2.728032e-001
8.727504463896762e-005	-2.551432e-001
8.846087053182477e-005	-2.363460e-001
8.964669642468191e-005	-2.164118e-001
9.083252231753906e-005	-1.953404e-001
9.201834821039620e-005	-1.731319e-001
9.320417410325335e-005	-1.497863e-001
9.438999999611049e-005	-1.253036e-001
9.508754463896763e-005	-1.106725e-001
9.578508928182478e-005	-9.590032e-002
9.648263392468192e-005	-8.098704e-002
9.718017856753907e-005	-6.593265e-002
9.787772321039620e-005	-5.073714e-002
9.857526785325336e-005	-3.540052e-002
9.927281249611049e-005	-1.992279e-002
9.962158481753907e-005	-1.219484e-002
9.997035713896763e-005	-4.470327e-003
1.003191294603962e-004	3.250761e-003
1.006679017818248e-004	1.096842e-002
1.010166741032534e-004	1.868265e-002
1.013654464246819e-004	2.639345e-002
1.017142187461105e-004	3.410082e-002
1.025512723175391e-004	5.262621e-002
1.033883258889676e-004	7.088126e-002
1.042253794603962e-004	8.886598e-002
1.050624330318248e-004	1.065804e-001
1.058994866032534e-004	1.240244e-001
1.067365401746819e-004	1.411981e-001
1.075735937461105e-004	1.581015e-001
1.089686830318248e-004	1.855121e-001
1.103637723175391e-004	2.110457e-001
1.117588616032534e-004	2.347024e-001
1.131539508889677e-004	2.564821e-001
1.145490401746819e-004	2.763848e-001
1.159441294603962e-004	2.944106e-001
1.173392187461105e-004	3.105593e-001
1.199898883889677e-004	3.337285e-001
1.226405580318248e-004	3.474644e-001
1.252912276746819e-004	3.517673e-001
1.279418973175391e-004	3.466370e-001
1.305925669603962e-004	3.320735e-001
1.332432366032534e-004	3.080769e-001
1.358939062461105e-004	2.746472e-001
1.370797321389677e-004	2.571779e-001
1.382655580318248e-004	2.385570e-001
1.394513839246819e-004	2.187845e-001
1.406372098175391e-004	1.978605e-001
1.418230357103962e-004	1.757848e-001
1.430088616032534e-004	1.525575e-001
1.441946874961105e-004	1.281787e-001
