time	V(n002)
0.000000000000000e+000	0.000000e+000
4.882812557061023e-011	3.067962e-007
9.765625114122045e-011	6.135923e-007
1.953125022824409e-010	1.227185e-006
3.906250045648818e-010	2.454369e-006
7.812500091297636e-010	4.908738e-006
1.562500018259527e-009	9.817477e-006
3.125000036519054e-009	1.963495e-005
6.250000073038109e-009	3.926991e-005
1.250000014607622e-008	7.853982e-005
4.412723225095356e-006	2.777245e-002
8.812946450044637e-006	5.539337e-002
1.321316967499392e-005	8.294130e-002
1.761339289994320e-005	1.104162e-001
2.201361612489248e-005	1.378182e-001
2.641383934984176e-005	1.651472e-001
3.081406257479103e-005	1.924032e-001
3.918459828907675e-005	2.440646e-001
4.755513400336246e-005	2.947094e-001
5.592566971764818e-005	3.443373e-001
6.429620543193390e-005	3.929485e-001
7.266674114621962e-005	4.405430e-001
8.103727686050534e-005	4.871206e-001
8.940781257479103e-005	5.326815e-001
9.917343757479104e-005	5.835758e-001
1.040562500747910e-004	6.082109e-001
1.089390625747911e-004	6.322736e-001
1.138218750747911e-004	6.557412e-001
1.187046875747911e-004	6.785917e-001
1.235875000747911e-004	7.008035e-001
1.284703125747911e-004	7.223557e-001
1.333531250747911e-004	7.432280e-001
1.431187500747911e-004	7.828553e-001
1.528843750747911e-004	8.195360e-001
1.626500000747911e-004	8.531322e-001
1.724156250747911e-004	8.835174e-001
1.821812500747911e-004	9.105773e-001
1.919468750747911e-004	9.342099e-001
2.017125000747911e-004	9.543264e-001
2.114781250747911e-004	9.708510e-001
2.212437500747911e-004	9.837216e-001
2.358921875747912e-004	9.960738e-001
2.505406250747911e-004	9.999942e-001
2.651890625747911e-004	9.954495e-001
2.798375000747912e-004	9.824781e-001
2.896031250747912e-004	9.692003e-001
2.993687500747912e-004	9.522747e-001
3.091343750747912e-004	9.317649e-001
3.189000000747912e-004	9.077482e-001
3.286656250747912e-004	8.803149e-001
3.384312500747912e-004	8.495683e-001
3.481968750747912e-004	8.156242e-001
3.579625000747912e-004	7.786102e-001
3.677281250747912e-004	7.386657e-001
3.726109375747912e-004	7.176411e-001
3.774937500747912e-004	6.959410e-001
3.823765625747913e-004	6.735860e-001
3.872593750747913e-004	6.505970e-001
3.921421875747913e-004	6.269956e-001
3.970250000747913e-004	6.028042e-001
4.019078125747913e-004	5.780454e-001
4.116734375747913e-004	5.269197e-001
4.214390625747913e-004	4.738106e-001
4.360875000747913e-004	3.908677e-001
4.437604911462199e-004	3.457846e-001
4.514334822176485e-004	3.001667e-001
4.591064732890770e-004	2.540139e-001
4.667794643605056e-004	2.073263e-001
4.744524554319342e-004	1.601039e-001
4.821254465033628e-004	1.123466e-001
4.897984375747913e-004	6.405442e-002
4.932861607890771e-004	4.214549e-002
4.967738840033628e-004	2.024260e-002
5.002616072176485e-004	-1.654244e-003
5.037493304319343e-004	-2.354504e-002
5.072370536462200e-004	-4.542978e-002
5.107247768605057e-004	-6.730848e-002
5.142125000747914e-004	-8.918113e-002
5.225830357890771e-004	-1.417694e-001
5.309535715033628e-004	-1.936132e-001
5.393241072176485e-004	-2.447126e-001
5.476946429319343e-004	-2.950676e-001
5.560651786462200e-004	-3.446783e-001
5.644357143605057e-004	-3.935445e-001
5.728062500747914e-004	-4.416664e-001
5.867571429319343e-004	-5.197658e-001
6.007080357890771e-004	-5.925958e-001
6.146589286462201e-004	-6.601562e-001
6.286098215033629e-004	-7.224472e-001
6.425607143605058e-004	-7.794686e-001
6.565116072176487e-004	-8.312205e-001
6.704625000747915e-004	-8.777030e-001
6.976667411462201e-004	-9.461670e-001
7.248709822176488e-004	-9.865347e-001
7.520752232890774e-004	-9.988061e-001
7.792794643605059e-004	-9.829811e-001
8.064837054319345e-004	-9.390597e-001
8.336879465033632e-004	-8.670420e-001
8.608921875747917e-004	-7.669279e-001
8.727504465033631e-004	-7.162089e-001
8.846087054319346e-004	-6.623156e-001
8.964669643605060e-004	-6.052478e-001
9.083252232890774e-004	-5.450056e-001
9.201834822176489e-004	-4.815890e-001
9.320417411462203e-004	-4.149980e-001
9.439000000747918e-004	-3.452327e-001
9.508754465033632e-004	-3.035758e-001
9.578508929319346e-004	-2.615399e-001
9.648263393605060e-004	-2.191250e-001
9.718017857890773e-004	-1.763310e-001
9.787772322176487e-004	-1.331579e-001
9.857526786462201e-004	-8.960582e-002
9.927281250747915e-004	-4.567464e-002
9.962158482890772e-004	-2.374799e-002
9.997035715033627e-004	-1.836224e-003
1.003191294717648e-003	2.006066e-002
1.006679017931934e-003	4.194267e-002
1.010166741146220e-003	6.380980e-002
1.013654464360505e-003	8.566205e-002
1.017142187574791e-003	1.074994e-001
1.025512723289077e-003	1.599654e-001
1.033883259003362e-003	2.116383e-001
1.042253794717648e-003	2.625180e-001
1.050624330431933e-003	3.126046e-001
1.058994866146219e-003	3.618981e-001
1.067365401860504e-003	4.103985e-001
1.075735937574790e-003	4.581057e-001
1.085501562574790e-003	5.117514e-001
1.095267187574789e-003	5.634711e-001
1.100150000074789e-003	5.885475e-001
1.105032812574789e-003	6.130700e-001
1.109915625074789e-003	6.370154e-001
1.114798437574789e-003	6.603613e-001
1.119681250074789e-003	6.830858e-001
1.124564062574789e-003	7.051673e-001
1.129446875074789e-003	7.265851e-001
1.134329687574788e-003	7.473192e-001
1.144095312574788e-003	7.866583e-001
1.153860937574788e-003	8.230366e-001
1.163626562574788e-003	8.563172e-001
1.173392187574788e-003	8.863748e-001
1.183157812574787e-003	9.130964e-001
1.192923437574787e-003	9.363812e-001
1.202689062574787e-003	9.561417e-001
1.212454687574787e-003	9.723034e-001
1.222220312574787e-003	9.848056e-001
1.236868750074786e-003	9.965983e-001
1.251517187574786e-003	9.999546e-001
1.266165625074786e-003	9.948460e-001
1.280814062574785e-003	9.813160e-001
1.290579687574785e-003	9.676709e-001
1.300345312574785e-003	9.503838e-001
1.310110937574785e-003	9.295197e-001
1.319876562574785e-003	9.051570e-001
1.329642187574784e-003	8.773875e-001
1.339407812574784e-003	8.463158e-001
1.349173437574784e-003	8.120587e-001
1.358939062574784e-003	7.747452e-001
1.363821875074784e-003	7.549857e-001
1.368704687574784e-003	7.345157e-001
1.373587500074783e-003	7.133544e-001
1.378470312574783e-003	6.915217e-001
1.383353125074783e-003	6.690382e-001
1.388235937574783e-003	6.459250e-001
1.393118750074783e-003	6.222038e-001
1.398001562574783e-003	5.978971e-001
1.402884375074783e-003	5.730277e-001
1.412650000074783e-003	5.216947e-001
1.427298437574782e-003	4.410761e-001
1.435668973289068e-003	3.929398e-001
1.444039509003353e-003	3.440608e-001
1.452410044717639e-003	2.944391e-001
1.460780580431924e-003	2.440748e-001
1.469151116146210e-003	1.929678e-001
1.477521651860495e-003	1.411182e-001
1.485892187574781e-003	8.852597e-002
1.500540625074781e-003	-3.396841e-003
1.505423437574781e-003	-3.414167e-002
1.510306250074780e-003	-6.478256e-002
1.515189062574780e-003	-9.531951e-002
1.520071875074780e-003	-1.257525e-001
1.524954687574780e-003	-1.560816e-001
1.529837500074780e-003	-1.863067e-001
1.534720312574780e-003	-2.164279e-001
1.545183482217637e-003	-2.807447e-001
1.555646651860494e-003	-3.431978e-001
1.566109821503351e-003	-4.037872e-001
1.576572991146208e-003	-4.625129e-001
1.587036160789065e-003	-5.193749e-001
1.597499330431922e-003	-5.743733e-001
1.607962500074778e-003	-6.275079e-001
1.625401116146207e-003	-7.106118e-001
1.642839732217635e-003	-7.833779e-001
1.660278348289063e-003	-8.458061e-001
1.677716964360491e-003	-8.978965e-001
1.695155580431919e-003	-9.396490e-001
1.712594196503348e-003	-9.710637e-001
1.730032812574776e-003	-9.921405e-001
1.744681250074775e-003	-9.994416e-001
1.759329687574775e-003	-9.982823e-001
1.773978125074775e-003	-9.886724e-001
1.790719196503346e-003	-9.661402e-001
1.807460267931917e-003	-9.341232e-001
1.824201339360488e-003	-8.926212e-001
1.840942410789059e-003	-8.416342e-001
1.857683482217630e-003	-7.811624e-001
1.874424553646201e-003	-7.112056e-001
1.891165625074772e-003	-6.317638e-001
1.901628794717629e-003	-5.788484e-001
1.912091964360486e-003	-5.240480e-001
1.922555134003343e-003	-4.673628e-001
1.933018303646200e-003	-4.087927e-001
1.943481473289057e-003	-3.483377e-001
1.953944642931914e-003	-2.859978e-001
1.964407812574771e-003	-2.217729e-001
1.969290625074771e-003	-1.916861e-001
1.974173437574771e-003	-1.614902e-001
1.979056250074771e-003	-1.311852e-001
1.983939062574771e-003	-1.007712e-001
1.988821875074770e-003	-7.024818e-002
1.993704687574770e-003	-3.961606e-002
1.998587500074770e-003	-8.874882e-003
2.002772767931913e-003	1.746625e-002
2.006958035789056e-003	4.374999e-002
2.011143303646198e-003	6.997634e-002
2.015328571503341e-003	9.614528e-002
2.019513839360484e-003	1.222568e-001
2.023699107217627e-003	1.483110e-001
2.027884375074770e-003	1.743077e-001
2.036952455431912e-003	2.305321e-001
2.046020535789055e-003	2.855731e-001
2.055088616146198e-003	3.394306e-001
2.064156696503340e-003	3.921048e-001
2.073224776860483e-003	4.435956e-001
2.082292857217626e-003	4.939030e-001
2.091360937574768e-003	5.430270e-001
2.101126562574768e-003	5.934970e-001
2.106009375074768e-003	6.179059e-001
2.110892187574768e-003	6.417333e-001
2.115775000074768e-003	6.649566e-001
2.120657812574768e-003	6.875542e-001
2.125540625074768e-003	7.095046e-001
2.130423437574767e-003	7.307873e-001
2.135306250074767e-003	7.513822e-001
2.145071875074767e-003	7.904317e-001
2.154837500074767e-003	8.265063e-001
2.164603125074767e-003	8.594700e-001
2.174368750074767e-003	8.891989e-001
2.184134375074766e-003	9.155810e-001
2.193900000074766e-003	9.385172e-001
2.203665625074766e-003	9.579208e-001
2.213431250074766e-003	9.737192e-001
2.223196875074766e-003	9.858527e-001
2.237845312574765e-003	9.970852e-001
2.252493750074765e-003	9.998773e-001
2.267142187574765e-003	9.942052e-001
2.281790625074764e-003	9.801169e-001
2.291556250074764e-003	9.661052e-001
2.301321875074764e-003	9.484572e-001
2.311087500074764e-003	9.272394e-001
2.320853125074763e-003	9.025317e-001
2.330618750074763e-003	8.744271e-001
2.340384375074763e-003	8.430314e-001
2.350150000074763e-003	8.084627e-001
2.359915625074763e-003	7.708511e-001
2.364798437574762e-003	7.509480e-001
2.369681250074762e-003	7.303382e-001
2.374564062574762e-003	7.090409e-001
2.379446875074762e-003	6.870764e-001
2.384329687574762e-003	6.644652e-001
2.389212500074762e-003	6.412287e-001
2.394095312574762e-003	6.173886e-001
2.398978125074762e-003	5.929675e-001
2.408743750074762e-003	5.424745e-001
2.418509375074761e-003	4.899398e-001
2.433157812574761e-003	4.077439e-001
2.440830803646189e-003	3.629968e-001
2.448503794717618e-003	3.176734e-001
2.456176785789046e-003	2.717738e-001
2.463849776860475e-003	2.252979e-001
2.471522767931903e-003	1.782457e-001
2.479195759003332e-003	1.306172e-001
2.486868750074760e-003	8.241250e-002
2.491054017931902e-003	5.613423e-002
2.495239285789045e-003	2.986255e-002
2.499424553646188e-003	3.597456e-003
2.503609821503331e-003	-2.266105e-002
2.507795089360474e-003	-4.891298e-002
2.511980357217617e-003	-7.515831e-002
2.516165625074759e-003	-1.013971e-001
2.524536160789045e-003	-1.539058e-001
2.532906696503330e-003	-2.056376e-001
2.541277232217616e-003	-2.565925e-001
2.549647767931901e-003	-3.067705e-001
2.558018303646187e-003	-3.561715e-001
2.566388839360472e-003	-4.047957e-001
2.574759375074758e-003	-4.526429e-001
2.588710267931900e-003	-5.302061e-001
2.602661160789043e-003	-6.024327e-001
2.616612053646186e-003	-6.693228e-001
2.630562946503328e-003	-7.308763e-001
2.644513839360471e-003	-7.870933e-001
2.658464732217614e-003	-8.379736e-001
2.672415625074756e-003	-8.835174e-001
2.698922321503327e-003	-9.487161e-001
2.725429017931897e-003	-9.871863e-001
2.751935714360468e-003	-9.989280e-001
2.778442410789039e-003	-9.839412e-001
2.804949107217610e-003	-9.422260e-001
2.831455803646181e-003	-8.737823e-001
2.857962500074752e-003	-7.786102e-001
2.869820759003323e-003	-7.289293e-001
2.881679017931894e-003	-6.759915e-001
2.893537276860465e-003	-6.197968e-001
2.905395535789037e-003	-5.603452e-001
2.917253794717608e-003	-4.976368e-001
2.929112053646179e-003	-4.316714e-001
2.940970312574750e-003	-3.624492e-001
2.947945759003322e-003	-3.210621e-001
2.954921205431893e-003	-2.792614e-001
2.961896651860464e-003	-2.370472e-001
2.968872098289035e-003	-1.944194e-001
2.975847544717607e-003	-1.513780e-001
2.982822991146178e-003	-1.079230e-001
2.989798437574749e-003	-6.405442e-002
2.993286160789035e-003	-4.214549e-002
2.996773884003321e-003	-2.024260e-002
3.000261607217606e-003	1.654244e-003
3.003749330431892e-003	2.354504e-002
3.007237053646177e-003	4.542978e-002
3.010724776860463e-003	6.730848e-002
3.014212500074749e-003	8.918113e-002
3.022583035789034e-003	1.417694e-001
3.030953571503320e-003	1.936132e-001
3.039324107217605e-003	2.447126e-001
3.047694642931891e-003	2.950676e-001
3.056065178646176e-003	3.446783e-001
3.064435714360462e-003	3.935445e-001
3.072806250074747e-003	4.416664e-001
3.082571875074747e-003	4.958509e-001
3.092337500074747e-003	5.481691e-001
3.097220312574747e-003	5.735666e-001
3.102103125074747e-003	5.984243e-001
3.106985937574747e-003	6.227186e-001
3.111868750074747e-003	6.464270e-001
3.116751562574746e-003	6.695269e-001
3.121634375074746e-003	6.919967e-001
3.126517187574746e-003	7.138152e-001
3.131400000074746e-003	7.349619e-001
3.141165625074746e-003	7.751609e-001
3.150931250074746e-003	8.124424e-001
3.160696875074746e-003	8.466660e-001
3.170462500074745e-003	8.777030e-001
3.180228125074745e-003	9.054364e-001
3.189993750074745e-003	9.297620e-001
3.199759375074745e-003	9.505882e-001
3.209525000074744e-003	9.678366e-001
3.219290625074744e-003	9.814423e-001
3.233939062574744e-003	9.949125e-001
3.248587500074744e-003	9.999606e-001
3.263235937574743e-003	9.965439e-001
3.277884375074743e-003	9.846912e-001
3.287650000074743e-003	9.721495e-001
3.297415625074743e-003	9.559488e-001
3.307181250074742e-003	9.361501e-001
3.316946875074742e-003	9.128280e-001
3.326712500074742e-003	8.860701e-001
3.336478125074742e-003	8.559774e-001
3.346243750074742e-003	8.226628e-001
3.356009375074741e-003	7.862520e-001
3.365775000074741e-003	7.468820e-001
3.370657812574741e-003	7.261330e-001
3.375540625074741e-003	7.047008e-001
3.380423437574741e-003	6.826053e-001
3.385306250074741e-003	6.598673e-001
3.390189062574741e-003	6.365082e-001
3.395071875074741e-003	6.125501e-001
3.399954687574740e-003	5.880156e-001
3.409720312574740e-003	5.373097e-001
3.419485937574740e-003	4.845816e-001
3.434134375074740e-003	4.021336e-001
3.441807366146168e-003	3.572728e-001
3.449480357217597e-003	3.118495e-001
3.457153348289025e-003	2.658638e-001
3.464826339360453e-003	2.193155e-001
3.472499330431882e-003	1.722048e-001
3.480172321503310e-003	1.245316e-001
3.487845312574739e-003	7.629593e-002
3.492030580431881e-003	5.000698e-002
3.496215848289024e-003	2.372885e-002
3.500401116146167e-003	-2.538455e-003
3.504586384003310e-003	-2.879493e-002
3.508771651860452e-003	-5.504059e-002
3.512956919717595e-003	-8.127541e-002
3.517142187574738e-003	-1.074994e-001
3.525512723289024e-003	-1.599654e-001
3.533883259003309e-003	-2.116383e-001
3.542253794717595e-003	-2.625180e-001
3.550624330431880e-003	-3.126046e-001
3.558994866146165e-003	-3.618981e-001
3.567365401860451e-003	-4.103985e-001
3.575735937574737e-003	-4.581057e-001
3.589686830431879e-003	-5.353964e-001
3.603637723289022e-003	-6.073173e-001
3.617588616146164e-003	-6.738684e-001
3.631539509003307e-003	-7.350497e-001
3.645490401860449e-003	-7.908612e-001
3.659441294717592e-003	-8.413029e-001
3.673392187574735e-003	-8.863748e-001
3.699898884003306e-003	-9.505645e-001
3.726405580431876e-003	-9.880419e-001
3.752912276860447e-003	-9.988071e-001
3.779418973289018e-003	-9.828600e-001
3.805925669717589e-003	-9.402007e-001
3.832432366146160e-003	-8.708291e-001
3.858939062574731e-003	-7.747452e-001
3.870797321503302e-003	-7.247164e-001
3.882655580431873e-003	-6.714580e-001
3.894513839360444e-003	-6.149702e-001
3.906372098289015e-003	-5.552528e-001
3.918230357217586e-003	-4.923060e-001
3.930088616146158e-003	-4.261296e-001
3.941946875074729e-003	-3.567237e-001
3.948922321503300e-003	-3.152451e-001
3.955897767931872e-003	-2.733645e-001
3.962873214360443e-003	-2.310817e-001
3.969848660789014e-003	-1.883969e-001
3.976824107217585e-003	-1.453100e-001
3.983799553646156e-003	-1.018210e-001
3.990775000074728e-003	-5.792993e-002
3.994262723289013e-003	-3.601427e-002
3.997750446503299e-003	-1.410759e-002
4.001238169717584e-003	7.790087e-003
4.004725892931871e-003	2.967878e-002
4.008213616146156e-003	5.155847e-002
4.011701339360442e-003	7.342918e-002
4.015189062574727e-003	9.529089e-002
4.023559598289012e-003	1.478404e-001
4.031930134003299e-003	1.996292e-001
4.040300669717584e-003	2.506573e-001
4.048671205431870e-003	3.009247e-001
4.057041741146155e-003	3.504315e-001
4.065412276860441e-003	3.991776e-001
4.073782812574726e-003	4.471630e-001
4.083548437574726e-003	5.011700e-001
4.093314062574726e-003	5.532907e-001
4.098196875074726e-003	5.785820e-001
4.103079687574725e-003	6.033289e-001
4.107962500074725e-003	6.275079e-001
4.112845312574725e-003	6.510963e-001
4.117728125074725e-003	6.740720e-001
4.122610937574725e-003	6.964132e-001
4.127493750074725e-003	7.180990e-001
4.132376562574725e-003	7.391089e-001
4.142142187574725e-003	7.790228e-001
4.151907812574724e-003	8.160046e-001
4.161673437574724e-003	8.499151e-001
4.171439062574724e-003	8.806267e-001
4.181204687574724e-003	9.080240e-001
4.190970312574724e-003	9.320035e-001
4.200735937574723e-003	9.524752e-001
4.210501562574723e-003	9.693621e-001
4.220267187574723e-003	9.826005e-001
4.234915625074723e-003	9.955119e-001
4.249564062574722e-003	9.999962e-001
4.264212500074722e-003	9.960154e-001
4.278860937574722e-003	9.836032e-001
4.288626562574721e-003	9.706932e-001
4.298392187574721e-003	9.541297e-001
4.308157812574721e-003	9.339751e-001
4.317923437574721e-003	9.103052e-001
4.327689062574721e-003	8.832092e-001
4.337454687574720e-003	8.527889e-001
4.347220312574720e-003	8.191589e-001
4.356985937574720e-003	7.824458e-001
4.366751562574720e-003	7.427878e-001
4.371634375074720e-003	7.219006e-001
4.376517187574720e-003	7.003341e-001
4.381400000074719e-003	6.781083e-001
4.386282812574719e-003	6.552445e-001
4.391165625074719e-003	6.317638e-001
4.396048437574719e-003	6.076886e-001
4.400931250074719e-003	5.830415e-001
4.410696875074719e-003	5.321247e-001
4.420462500074719e-003	4.792051e-001
4.435110937574718e-003	3.965081e-001
4.442783928646147e-003	3.515353e-001
4.450456919717575e-003	3.060139e-001
4.458129910789003e-003	2.599437e-001
4.465802901860432e-003	2.133250e-001
4.473475892931861e-003	1.661575e-001
4.481148884003289e-003	1.184413e-001
4.488821875074717e-003	7.017650e-002
4.513235937574717e-003	-8.306802e-002
4.520908928646145e-003	-1.312693e-001
4.528581919717573e-003	-1.788929e-001
4.536254910789002e-003	-2.259387e-001
4.543927901860431e-003	-2.724067e-001
4.551600892931859e-003	-3.182970e-001
4.559273884003287e-003	-3.636096e-001
4.566946875074716e-003	-4.083444e-001
4.580200223289001e-003	-4.839767e-001
4.593453571503287e-003	-5.551145e-001
4.606706919717572e-003	-6.217577e-001
4.619960267931858e-003	-6.839064e-001
4.633213616146143e-003	-7.415605e-001
4.646466964360429e-003	-7.947200e-001
4.659720312574714e-003	-8.433850e-001
4.688319642931856e-003	-9.261168e-001
4.716918973288998e-003	-9.778174e-001
4.745518303646140e-003	-9.984867e-001
4.774117634003283e-003	-9.881247e-001
4.802716964360425e-003	-9.467314e-001
4.831316294717567e-003	-8.743069e-001
4.859915625074709e-003	-7.708511e-001
4.866891071503281e-003	-7.420464e-001
4.873866517931852e-003	-7.119682e-001
4.880841964360424e-003	-6.806165e-001
4.887817410788994e-003	-6.479912e-001
4.894792857217565e-003	-6.140925e-001
4.901768303646137e-003	-5.789203e-001
4.908743750074708e-003	-5.424745e-001
4.913626562574708e-003	-5.164502e-001
4.922694642931851e-003	-4.664185e-001
4.931762723288993e-003	-4.152983e-001
4.940830803646136e-003	-3.630896e-001
4.949898884003279e-003	-3.097923e-001
4.958966964360422e-003	-2.554066e-001
4.968035044717564e-003	-1.999323e-001
4.977103125074707e-003	-1.433696e-001
4.996634375074706e-003	-2.114527e-002
5.000000000000000e-003	-1.224647e-015
