time	V(vb)	V(n002)	V(n004)
0.000000000000000e+000	2.356302e+000	0.000000e+000	1.689096e+000
7.142857099446638e-010	2.356320e+000	4.487989e-005	1.689116e+000
1.428571419889328e-009	2.356335e+000	8.975979e-005	1.689131e+000
2.142857129833992e-009	2.356345e+000	1.346397e-004	1.689142e+000
2.857142839778655e-009	2.356351e+000	1.795196e-004	1.689149e+000
3.571428549723319e-009	2.356354e+000	2.243995e-004	1.689151e+000
4.285714259667983e-009	2.356352e+000	2.692794e-004	1.689149e+000
4.999999969612645e-009	2.356346e+000	3.141593e-004	1.689143e+000
1.999999987845058e-008	2.356373e+000	1.256637e-003	1.689170e+000
3.999999975690116e-008	2.356458e+000	2.513272e-003	1.689254e+000
7.999999951380232e-008	2.356767e+000	5.026527e-003	1.689557e+000
1.599999990276046e-007	2.357767e+000	1.005293e-002	1.690542e+000
3.199999980552093e-007	2.360595e+000	2.010484e-002	1.693325e+000
6.399999961104186e-007	2.367442e+000	4.020155e-002	1.700066e+000
1.128281246110419e-006	2.378667e+000	7.083264e-002	1.711117e+000
1.895580353253276e-006	2.396641e+000	1.190944e-001	1.728815e+000
2.662879460396134e-006	2.414418e+000	1.668061e-001	1.746321e+000
3.430178567538991e-006	2.431997e+000	2.139675e-001	1.763635e+000
4.197477674681849e-006	2.449379e+000	2.605789e-001	1.780758e+000
4.964776781824707e-006	2.466565e+000	3.066400e-001	1.797688e+000
5.732075888967564e-006	2.483553e+000	3.521510e-001	1.814427e+000
6.499374996110420e-006	2.500344e+000	3.971119e-001	1.830974e+000
7.824709817538994e-006	2.528780e+000	4.732051e-001	1.859003e+000
9.150044638967567e-006	2.555587e+000	5.448681e-001	1.885430e+000
1.047537946039614e-005	2.580764e+000	6.121007e-001	1.910254e+000
1.180071428182471e-005	2.604313e+000	6.749030e-001	1.933475e+000
1.312604910325329e-005	2.626233e+000	7.332749e-001	1.955094e+000
1.445138392468186e-005	2.646523e+000	7.872165e-001	1.975109e+000
1.577671874611043e-005	2.665185e+000	8.367279e-001	1.993522e+000
1.863665178182472e-005	2.697378e+000	9.215827e-001	2.025290e+000
2.149658481753901e-005	2.718032e+000	9.753851e-001	2.045671e+000
2.435651785325330e-005	2.727148e+000	9.981350e-001	2.054667e+000
2.721645088896759e-005	2.724725e+000	9.898325e-001	2.052276e+000
3.007638392468187e-005	2.710763e+000	9.504775e-001	2.038500e+000
3.293631696039616e-005	2.685262e+000	8.800701e-001	2.013337e+000
3.579624999611044e-005	2.648222e+000	7.786102e-001	1.976788e+000
3.698207588896759e-005	2.629992e+000	7.289293e-001	1.958804e+000
3.816790178182473e-005	2.610532e+000	6.759915e-001	1.939609e+000
3.935372767468188e-005	2.589842e+000	6.197968e-001	1.919205e+000
4.053955356753902e-005	2.567922e+000	5.603452e-001	1.897592e+000
4.172537946039617e-005	2.544772e+000	4.976368e-001	1.874768e+000
4.291120535325331e-005	2.520391e+000	4.316714e-001	1.850735e+000
4.409703124611045e-005	2.494781e+000	3.624492e-001	1.825493e+000
4.479457588896760e-005	2.479454e+000	3.210621e-001	1.810390e+000
4.549212053182474e-005	2.463966e+000	2.792614e-001	1.795129e+000
4.618966517468188e-005	2.448314e+000	2.370472e-001	1.779710e+000
4.688720981753903e-005	2.432501e+000	1.944194e-001	1.764133e+000
4.758475446039617e-005	2.416524e+000	1.513780e-001	1.748397e+000
4.828229910325331e-005	2.400386e+000	1.079230e-001	1.732504e+000
4.897984374611046e-005	2.384085e+000	6.405442e-002	1.716452e+000
4.932861606753902e-005	2.375940e+000	4.214549e-002	1.708433e+000
4.967738838896760e-005	2.367795e+000	2.024260e-002	1.700415e+000
5.002616071039617e-005	2.359651e+000	-1.654242e-003	1.692397e+000
5.037493303182474e-005	2.351506e+000	-2.354504e-002	1.684380e+000
5.072370535325331e-005	2.343361e+000	-4.542978e-002	1.676363e+000
5.107247767468189e-005	2.335216e+000	-6.730848e-002	1.668347e+000
5.142124999611046e-005	2.327071e+000	-8.918113e-002	1.660331e+000
