time	V(n002)	V(n003)
0.000000000000000e+000	0.000000e+000	4.802019e-013
7.142857099446638e-010	4.487989e-005	8.804709e-006
1.428571419889328e-009	8.975979e-005	1.569933e-005
2.142857129833992e-009	1.346397e-004	2.068388e-005
2.857142839778655e-009	1.795196e-004	2.375833e-005
3.571428549723319e-009	2.243995e-004	2.492271e-005
4.285714259667983e-009	2.692794e-004	2.417699e-005
4.999999969612645e-009	3.141593e-004	2.152120e-005
9.999999939225290e-009	6.283185e-004	2.916141e-005
1.999999987845058e-008	1.256637e-003	5.911034e-005
3.999999975690116e-008	2.513272e-003	1.703281e-004
7.999999951380232e-008	5.026527e-003	5.520456e-004
1.599999990276046e-007	1.005293e-002	1.720299e-003
3.199999980552093e-007	2.010484e-002	4.811731e-003
6.399999961104186e-007	4.020155e-002	1.189040e-002
1.128281246110419e-006	7.090413e-002	2.318073e-002
1.616562496110419e-006	1.014685e-001	3.442709e-002
2.104843746110419e-006	1.318945e-001	4.562946e-002
2.593124996110419e-006	1.621823e-001	5.678786e-002
3.081406246110419e-006	1.923318e-001	6.790228e-002
3.569687496110420e-006	2.223431e-001	7.897272e-002
4.057968746110418e-006	2.522161e-001	8.999918e-002
5.174040174681848e-006	3.201643e-001	1.150680e-001
6.290111603253278e-006	3.857668e-001	1.392825e-001
7.406183031824708e-006	4.490234e-001	1.626424e-001
8.522254460396138e-006	5.099342e-001	1.851479e-001
9.638325888967567e-006	5.684992e-001	2.067990e-001
1.075439731753900e-005	6.247183e-001	2.275956e-001
1.187046874611043e-005	6.785917e-001	2.475377e-001
1.368408481753900e-005	7.593918e-001	2.774837e-001
1.549770088896757e-005	8.285460e-001	3.031634e-001
1.731131696039615e-005	8.860542e-001	3.245770e-001
1.912493303182472e-005	9.319165e-001	3.417245e-001
2.093854910325329e-005	9.661329e-001	3.546058e-001
2.275216517468187e-005	9.887033e-001	3.632209e-001
2.456578124611044e-005	9.996278e-001	3.675698e-001
2.603062499611044e-005	9.979041e-001	3.672053e-001
2.749546874611044e-005	9.877328e-001	3.637370e-001
2.916957588896758e-005	9.645535e-001	3.555354e-001
3.084368303182473e-005	9.319227e-001	3.438436e-001
3.251779017468187e-005	8.898403e-001	3.286618e-001
3.419189731753902e-005	8.383064e-001	3.099899e-001
3.586600446039616e-005	7.773210e-001	2.878280e-001
3.754011160325331e-005	7.068841e-001	2.621760e-001
3.921421874611045e-005	6.269956e-001	2.330339e-001
4.026053571039616e-005	5.738348e-001	2.136123e-001
4.130685267468188e-005	5.188128e-001	1.934918e-001
4.235316963896759e-005	4.619297e-001	1.726726e-001
4.339948660325331e-005	4.031854e-001	1.511545e-001
4.444580356753903e-005	3.425800e-001	1.289376e-001
4.549212053182474e-005	2.801134e-001	1.060219e-001
4.653843749611045e-005	2.157857e-001	8.240739e-002
4.702671874611045e-005	1.856604e-001	7.134213e-002
4.751499999611045e-005	1.554318e-001	6.023524e-002
4.800328124611045e-005	1.250999e-001	4.908669e-002
4.849156249611045e-005	9.466470e-002	3.789651e-002
4.897984374611046e-005	6.412615e-002	2.666467e-002
4.946812499611046e-005	3.348427e-002	1.539119e-002
4.995640624611046e-005	2.739073e-003	4.076070e-003
5.037493303182474e-005	-2.360086e-002	-5.620776e-003
5.079345981753903e-005	-4.987917e-002	-1.529764e-002
5.121198660325331e-005	-7.609586e-002	-2.495452e-002
5.163051338896760e-005	-1.022509e-001	-3.459141e-002
5.204904017468189e-005	-1.283444e-001	-4.420832e-002
5.246756696039617e-005	-1.543762e-001	-5.380524e-002
5.288609374611046e-005	-1.803464e-001	-6.338219e-002
5.386265624611046e-005	-2.408594e-001	-8.570881e-002
5.483921874611046e-005	-2.999262e-001	-1.075163e-001
5.581578124611046e-005	-3.575467e-001	-1.288046e-001
5.679234374611046e-005	-4.137210e-001	-1.495738e-001
5.776890624611046e-005	-4.684491e-001	-1.698239e-001
5.874546874611046e-005	-5.217310e-001	-1.895548e-001
5.972203124611046e-005	-5.735666e-001	-2.087665e-001
6.132638392468190e-005	-6.546321e-001	-2.388544e-001
6.293073660325332e-005	-7.274505e-001	-2.659229e-001
6.453508928182475e-005	-7.920218e-001	-2.899719e-001
6.613944196039618e-005	-8.483461e-001	-3.110014e-001
6.774379463896762e-005	-8.964233e-001	-3.290115e-001
6.934814731753904e-005	-9.362535e-001	-3.440021e-001
7.095249999611047e-005	-9.678366e-001	-3.559733e-001
7.318464285325333e-005	-9.923326e-001	-3.654762e-001
7.541678571039618e-005	-9.981416e-001	-3.680663e-001
7.764892856753905e-005	-9.852637e-001	-3.637437e-001
7.988107142468191e-005	-9.536987e-001	-3.525084e-001
8.211321428182477e-005	-9.034468e-001	-3.343603e-001
8.434535713896763e-005	-8.345079e-001	-3.092994e-001
8.657749999611048e-005	-7.468820e-001	-2.773257e-001
8.776332588896762e-005	-6.944712e-001	-2.581529e-001
8.894915178182477e-005	-6.390260e-001	-2.378494e-001
9.013497767468191e-005	-5.805461e-001	-2.164151e-001
9.132080356753906e-005	-5.190318e-001	-1.938500e-001
9.250662946039620e-005	-4.544829e-001	-1.701541e-001
9.369245535325335e-005	-3.868994e-001	-1.453275e-001
9.487828124611049e-005	-3.162814e-001	-1.193701e-001
9.550607142468191e-005	-2.784746e-001	-1.054682e-001
9.613386160325335e-005	-2.403841e-001	-9.145850e-002
9.676165178182478e-005	-2.020097e-001	-7.734104e-002
9.738944196039620e-005	-1.633516e-001	-6.311580e-002
9.801723213896764e-005	-1.244098e-001	-4.878277e-002
9.864502231753907e-005	-8.518409e-002	-3.434196e-002
9.927281249611049e-005	-4.567464e-002	-1.979337e-002
9.962158481753907e-005	-2.374800e-002	-1.171799e-002
9.997035713896763e-005	-1.836229e-003	-3.647150e-003
1.003191294603962e-004	2.006066e-002	4.419160e-003
1.006679017818248e-004	4.194267e-002	1.248094e-002
1.010166741032534e-004	6.380980e-002	2.053818e-002
1.013654464246819e-004	8.566204e-002	2.859090e-002
1.017142187461105e-004	1.074994e-001	3.663908e-002
1.025512723175391e-004	1.599654e-001	5.597927e-002
1.033883258889676e-004	2.116383e-001	7.503266e-002
1.042253794603962e-004	2.625180e-001	9.379925e-002
1.050624330318248e-004	3.126046e-001	1.122790e-001
1.058994866032534e-004	3.618981e-001	1.304720e-001
1.067365401746819e-004	4.103985e-001	1.483782e-001
1.075735937461105e-004	4.581057e-001	1.659976e-001
1.089686830318248e-004	5.353964e-001	1.945570e-001
1.103637723175391e-004	6.073173e-001	2.211536e-001
1.117588616032534e-004	6.738684e-001	2.457877e-001
1.131539508889677e-004	7.350497e-001	2.684590e-001
1.145490401746819e-004	7.908612e-001	2.891677e-001
1.159441294603962e-004	8.413029e-001	3.079136e-001
1.173392187461105e-004	8.863748e-001	3.246970e-001
1.199898883889677e-004	9.505645e-001	3.487567e-001
1.226405580318248e-004	9.880419e-001	3.629965e-001
1.252912276746819e-004	9.988071e-001	3.674163e-001
1.279418973175391e-004	9.828600e-001	3.620162e-001
1.305925669603962e-004	9.402007e-001	3.467961e-001
1.332432366032534e-004	8.708291e-001	3.217561e-001
1.358939062461105e-004	7.747452e-001	2.868961e-001
1.370797321389677e-004	7.247164e-001	2.686815e-001
1.382655580318248e-004	6.714580e-001	2.492636e-001
1.394513839246819e-004	6.149702e-001	2.286424e-001
1.406372098175391e-004	5.552528e-001	2.068179e-001
1.418230357103962e-004	4.923060e-001	1.837902e-001
1.430088616032534e-004	4.261296e-001	1.595591e-001
1.441946874961105e-004	3.567237e-001	1.341248e-001
1.448922321389677e-004	3.152451e-001	1.189131e-001
1.455897767818248e-004	2.733645e-001	1.035463e-001
1.462873214246820e-004	2.310817e-001	8.802432e-002
1.469848660675391e-004	1.883969e-001	7.234725e-002
1.476824107103963e-004	1.453100e-001	5.651505e-002
1.483799553532534e-004	1.018210e-001	4.052773e-002
1.490774999961105e-004	5.792993e-002	2.438528e-002
1.494262723175391e-004	3.601427e-002	1.632212e-002
1.497750446389677e-004	1.410759e-002	8.260386e-003
1.501238169603963e-004	-7.790087e-003	2.000873e-004
