time	V(emisor)	V(n003)
0.000000000000000e+00	1.689096e+00	2.356301e-16
4.882812557061023e-11	1.689098e+00	1.753209e-06
9.765625114122045e-11	1.689100e+00	3.215640e-06
1.953125022824409e-10	1.689103e+00	5.250879e-06
3.906250045648818e-10	1.689106e+00	7.384280e-06
7.812500091297636e-10	1.689108e+00	9.097953e-06
1.562500018259527e-09	1.689110e+00	1.170034e-05
3.125000036519054e-09	1.689118e+00	1.926319e-05
6.250000073038109e-09	1.689136e+00	3.789731e-05
1.250000014607622e-08	1.689175e+00	7.701805e-05
4.412723225095356e-06	1.716411e+00	2.774159e-02
8.812946450044637e-06	1.743579e+00	5.533308e-02
1.321316967499392e-05	1.770681e+00	8.285148e-02
1.761339289994320e-05	1.797715e+00	1.102968e-01
2.201361612489248e-05	1.824682e+00	1.376690e-01
2.641383934984176e-05	1.851581e+00	1.649682e-01
3.081406257479102e-05	1.878413e+00	1.921943e-01
3.918459828907674e-05	1.929287e+00	2.438000e-01
4.755513400336246e-05	1.979169e+00	2.943901e-01
5.592566971764818e-05	2.028059e+00	3.439645e-01
6.429620543193390e-05	2.075958e+00	3.925233e-01
7.266674114621962e-05	2.122864e+00	4.400663e-01
8.103727686050534e-05	2.168779e+00	4.865937e-01
8.940781257479103e-05	2.213702e+00	5.321053e-01
9.917343757479104e-05	2.263886e+00	5.829446e-01
1.040562500747910e-04	2.288180e+00	6.075531e-01
1.089390625747910e-04	2.311911e+00	6.315898e-01
1.138218750747911e-04	2.335056e+00	6.550321e-01
1.187046875747911e-04	2.357593e+00	6.778579e-01
1.235875000747910e-04	2.379500e+00	7.000457e-01
1.284703125747911e-04	2.400757e+00	7.215746e-01
1.333531250747911e-04	2.421344e+00	7.424244e-01
1.431187500747911e-04	2.460429e+00	7.820089e-01
1.528843750747911e-04	2.496605e+00	8.186500e-01
1.626500000747911e-04	2.529736e+00	8.522099e-01
1.724156250747911e-04	2.559695e+00	8.825624e-01
1.821812500747911e-04	2.586368e+00	9.095930e-01
1.919468750747911e-04	2.609654e+00	9.332001e-01
2.017125000747911e-04	2.629464e+00	9.532950e-01
2.114781250747911e-04	2.645722e+00	9.698018e-01
2.212437500747911e-04	2.658368e+00	9.826586e-01
2.358921875747911e-04	2.670460e+00	9.949977e-01
2.505406250747911e-04	2.674214e+00	9.989141e-01
2.651890625747911e-04	2.669599e+00	9.943745e-01
2.798375000747912e-04	2.656652e+00	9.814174e-01
2.896031250747912e-04	2.643445e+00	9.681541e-01
2.993687500747912e-04	2.626634e+00	9.512470e-01
3.091343750747912e-04	2.606282e+00	9.307596e-01
3.189000000747912e-04	2.582466e+00	9.067691e-01
