time	V(emisor)	V(vb)
0.000000000000000e+00	0.000000e+00	0.000000e+00
4.402008939255862e-06	2.724920e-02	2.768167e-02
8.804017878511725e-06	5.442570e-02	5.528949e-02
1.320602681776759e-05	8.152951e-02	8.282346e-02
1.760803575702345e-05	1.085606e-01	1.102836e-01
2.201004469627931e-05	1.355191e-01	1.376699e-01
2.641205363553517e-05	1.624048e-01	1.649823e-01
3.081406257479102e-05	1.892178e-01	1.922209e-01
4.057968757479103e-05	2.485586e-01	2.525034e-01
5.034531257479104e-05	3.064320e-01	3.112953e-01
6.011093757479104e-05	3.628380e-01	3.685966e-01
6.987656257479104e-05	4.177766e-01	4.244072e-01
7.964218757479103e-05	4.712479e-01	4.787271e-01
8.940781257479104e-05	5.232519e-01	5.315564e-01
9.917343757479104e-05	5.737884e-01	5.828950e-01
1.152169643605053e-04	6.526798e-01	6.630385e-01
1.312604911462196e-04	7.233859e-01	7.348667e-01
1.473040179319339e-04	7.859067e-01	7.983798e-01
1.633475447176483e-04	8.402423e-01	8.535778e-01
1.793910715033625e-04	8.863927e-01	9.004606e-01
1.954345982890768e-04	9.243577e-01	9.390282e-01
2.114781250747911e-04	9.541376e-01	9.692807e-01
2.331020090033626e-04	9.760935e-01	9.915850e-01
2.547258929319340e-04	9.807676e-01	9.963333e-01
2.763497768605055e-04	9.681600e-01	9.835256e-01
2.979736607890769e-04	9.382705e-01	9.531618e-01
3.195975447176484e-04	8.910993e-01	9.052419e-01
3.412214286462198e-04	8.266463e-01	8.397660e-01
3.628453125747912e-04	7.449115e-01	7.567340e-01
3.747035715033627e-04	6.943029e-01	7.053222e-01
3.865618304319341e-04	6.406313e-01	6.507987e-01
3.984200893605056e-04	5.838965e-01	5.931635e-01
4.102783482890770e-04	5.240987e-01	5.324166e-01
4.221366072176484e-04	4.612378e-01	4.685580e-01
4.339948661462199e-04	3.953138e-01	4.015878e-01
4.458531250747913e-04	3.263267e-01	3.315058e-01
4.521310268605056e-04	2.893496e-01	2.939418e-01
4.584089286462199e-04	2.520672e-01	2.560678e-01
4.646868304319342e-04	2.144797e-01	2.178837e-01
4.709647322176485e-04	1.765869e-01	1.793895e-01
4.772426340033628e-04	1.383888e-01	1.405852e-01
4.835205357890770e-04	9.988558e-02	1.014709e-01
4.897984375747913e-04	6.107707e-02	6.204643e-02
4.995640625747914e-04	7.691503e-04	7.813573e-04
5.044468750747914e-04	-2.947210e-02	-2.993985e-02
5.093296875747914e-04	-5.961586e-02	-6.056202e-02
5.142125000747914e-04	-8.966214e-02	-9.108516e-02
5.190953125747914e-04	-1.196109e-01	-1.215093e-01
5.239781250747914e-04	-1.494622e-01	-1.518343e-01
5.288609375747914e-04	-1.792160e-01	-1.820604e-01
5.337437500747914e-04	-2.088724e-01	-2.121874e-01
5.442069197176485e-04	-2.722138e-01	-2.765341e-01
5.546700893605057e-04	-3.337419e-01	-3.390387e-01
5.651332590033628e-04	-3.934566e-01	-3.997012e-01
5.755964286462200e-04	-4.513580e-01	-4.585215e-01
5.860595982890771e-04	-5.074461e-01	-5.154998e-01
5.965227679319343e-04	-5.617208e-01	-5.706359e-01
6.069859375747914e-04	-6.141822e-01	-6.239299e-01
6.237270090033629e-04	-6.930758e-01	-7.040756e-01
6.404680804319344e-04	-7.626977e-01	-7.748024e-01
