time	V(n004)
0.000000000000000e+00	1.587750e-14
4.882812557061023e-11	2.176965e-06
9.765625114122045e-11	3.996652e-06
1.953125022824409e-10	6.542100e-06
3.906250045648818e-10	9.236463e-06
7.812500091297636e-10	1.136728e-05
1.562500018259527e-09	1.415824e-05
3.125000036519054e-09	2.168854e-05
6.250000073038109e-09	4.000805e-05
1.250000014607622e-08	7.838946e-05
4.412723225095356e-06	2.721825e-02
8.812946450044637e-06	5.428117e-02
1.321316967499392e-05	8.126715e-02
1.761339289994320e-05	1.081762e-01
2.201361612489248e-05	1.350083e-01
2.641383934984176e-05	1.617634e-01
3.081406257479102e-05	1.884417e-01
3.918459828907674e-05	2.389930e-01
4.755513400336246e-05	2.885174e-01
5.592566971764818e-05	3.370147e-01
6.429620543193390e-05	3.844851e-01
7.266674114621962e-05	4.309284e-01
8.103727686050534e-05	4.763448e-01
8.940781257479103e-05	5.207342e-01
9.917343757479104e-05	5.702568e-01
1.040562500747910e-04	5.942035e-01
1.089390625747910e-04	6.175766e-01
1.138218750747911e-04	6.403536e-01
1.187046875747911e-04	6.625128e-01
1.235875000747910e-04	6.840330e-01
1.284703125747911e-04	7.048938e-01
1.333531250747911e-04	7.250751e-01
1.431187500747911e-04	7.633228e-01
1.528843750747911e-04	7.986304e-01
1.626500000747911e-04	8.308629e-01
1.724156250747911e-04	8.598974e-01
1.821812500747911e-04	8.856232e-01
1.919468750747911e-04	9.079419e-01
2.017125000747911e-04	9.267687e-01
2.114781250747911e-04	9.420315e-01
2.212437500747911e-04	9.536723e-01
2.358921875747911e-04	9.642490e-01
2.505406250747911e-04	9.664890e-01
2.651890625747911e-04	9.603731e-01
2.798375000747912e-04	9.459540e-01
2.896031250747912e-04	9.317867e-01
2.993687500747912e-04	9.140367e-01
3.091343750747912e-04	8.927718e-01
3.189000000747912e-04	8.680733e-01
3.286656250747912e-04	8.400353e-01
3.384312500747912e-04	8.087649e-01
3.481968750747912e-04	7.743815e-01
3.579625000747912e-04	7.370165e-01
3.677281250747912e-04	6.968125e-01
3.726109375747912e-04	6.756934e-01
3.774937500747912e-04	6.539230e-01
3.823765625747912e-04	6.315221e-01
3.872593750747913e-04	6.085120e-01
3.921421875747913e-04	5.849148e-01
3.970250000747913e-04	5.607530e-01
4.019078125747913e-04	5.360497e-01
4.116734375747913e-04	4.851136e-01
4.214390625747913e-04	4.323013e-01
4.360875000747913e-04	3.500086e-01
4.430629465033628e-04	3.094990e-01
4.500383929319342e-04	2.685771e-01
4.570138393605056e-04	2.272429e-01
4.639892857890770e-04	1.854965e-01
4.709647322176485e-04	1.433378e-01
4.779401786462199e-04	1.007668e-01
4.849156250747913e-04	5.778352e-02
4.946812500747913e-04	-2.292815e-03
5.093296875747914e-04	-9.235448e-02
5.170026786462200e-04	-1.395485e-01
5.246756697176485e-04	-1.861533e-01
5.323486607890771e-04	-2.321688e-01
5.400216518605057e-04	-2.775951e-01
5.476946429319343e-04	-3.224321e-01
5.553676340033628e-04	-3.666799e-01
5.630406250747914e-04	-4.103384e-01
5.755964286462200e-04	-4.801566e-01
5.881522322176485e-04	-5.460341e-01
6.007080357890771e-04	-6.079708e-01
6.132638393605058e-04	-6.659669e-01
6.258196429319344e-04	-7.200223e-01
6.383754465033630e-04	-7.701370e-01
6.509312500747915e-04	-8.163111e-01
6.655796875747915e-04	-8.628074e-01
6.802281250747915e-04	-9.021124e-01
6.948765625747915e-04	-9.339486e-01
7.095250000747915e-04	-9.581062e-01
7.241734375747916e-04	-9.744383e-01
7.388218750747916e-04	-9.828540e-01
7.534703125747916e-04	-9.833107e-01
7.681187500747916e-04	-9.758093e-01
7.827671875747916e-04	-9.603937e-01
7.974156250747916e-04	-9.371527e-01
8.120640625747916e-04	-9.062284e-01
8.267125000747916e-04	-8.678218e-01
8.413609375747917e-04	-8.221998e-01
8.546142857890774e-04	-7.739791e-01
8.678676340033631e-04	-7.213921e-01
8.811209822176489e-04	-6.644388e-01
8.943743304319346e-04	-6.031192e-01
9.076276786462203e-04	-5.374333e-01
9.208810268605060e-04	-4.673812e-01
9.341343750747917e-04	-3.929627e-01
9.418073661462202e-04	-3.489540e-01
9.494803572176488e-04	-3.043970e-01
9.571533482890773e-04	-2.592919e-01
9.648263393605060e-04	-2.136385e-01
9.724993304319345e-04	-1.674370e-01
9.801723215033631e-04	-1.206872e-01
9.878453125747916e-04	-7.338930e-02
1.012259375074791e-03	7.679349e-02
1.019932366146220e-03	1.240359e-01
1.027605357217648e-03	1.707039e-01
1.035278348289076e-03	2.167976e-01
1.042951339360505e-03	2.623170e-01
1.050624330431933e-03	3.072621e-01
1.058297321503361e-03	3.516328e-01
1.065970312574790e-03	3.954291e-01
1.080618750074790e-03	4.758223e-01
1.090384375074789e-03	5.271644e-01
1.100150000074789e-03	5.764738e-01
1.105032812574789e-03	6.003069e-01
1.109915625074789e-03	6.235619e-01
1.114798437574789e-03	6.462163e-01
1.119681250074789e-03	6.682487e-01
1.124564062574789e-03	6.896380e-01
1.129446875074789e-03	7.103637e-01
1.134329687574788e-03	7.304060e-01
1.144095312574788e-03	7.683648e-01
1.153860937574788e-03	8.033694e-01
1.163626562574788e-03	8.352860e-01
1.173392187574788e-03	8.639930e-01
1.183157812574787e-03	8.893809e-01
1.192923437574787e-03	9.113527e-01
1.202689062574787e-03	9.298246e-01
1.212454687574787e-03	9.447263e-01
1.222220312574787e-03	9.560008e-01
1.236868750074786e-03	9.660216e-01
1.251517187574786e-03	9.677022e-01
1.266165625074786e-03	9.610282e-01
1.280814062574785e-03	9.460571e-01
1.290579687574785e-03	9.315274e-01
1.300345312574785e-03	9.134212e-01
1.310110937574785e-03	8.918077e-01
1.319876562574784e-03	8.667693e-01
1.329642187574784e-03	8.384016e-01
1.339407812574784e-03	8.068129e-01
1.349173437574784e-03	7.721238e-01
1.358939062574784e-03	7.344669e-01
1.363821875074784e-03	7.145699e-01
1.368704687574783e-03	6.939857e-01
1.373587500074783e-03	6.727340e-01
1.378470312574783e-03	6.508352e-01
1.383353125074783e-03	6.283099e-01
1.388235937574783e-03	6.051799e-01
1.393118750074783e-03	5.814673e-01
1.398001562574783e-03	5.571946e-01
1.402884375074783e-03	5.323851e-01
1.412650000074783e-03	4.812510e-01
1.427298437574782e-03	4.011323e-01
1.434971428646211e-03	3.574616e-01
1.442644419717639e-03	3.132027e-01
1.450317410789067e-03	2.683557e-01
1.457990401860496e-03	2.229206e-01
1.465663392931924e-03	1.768974e-01
1.473336384003353e-03	1.302860e-01
1.481009375074781e-03	8.308654e-02
1.495657812574781e-03	-6.980195e-03
1.510306250074780e-03	-9.701811e-02
1.517979241146209e-03	-1.441786e-01
1.525652232217637e-03	-1.907363e-01
1.533325223289066e-03	-2.366910e-01
1.540998214360494e-03	-2.820429e-01
1.548671205431923e-03	-3.267918e-01
1.556344196503351e-03	-3.709379e-01
1.564017187574779e-03	-4.144810e-01
1.577270535789065e-03	-4.879559e-01
1.590523884003350e-03	-5.569380e-01
1.603777232217636e-03	-6.214271e-01
1.617030580431921e-03	-6.814234e-01
1.630283928646207e-03	-7.369269e-01
1.643537276860492e-03	-7.879375e-01
1.656790625074777e-03	-8.344553e-01
1.671439062574777e-03	-8.781156e-01
1.686087500074777e-03	-9.144652e-01
1.700735937574776e-03	-9.432542e-01
1.715384375074776e-03	-9.642985e-01
1.730032812574776e-03	-9.774745e-01
1.744681250074775e-03	-9.827113e-01
1.759329687574775e-03	-9.799842e-01
1.773978125074775e-03	-9.693112e-01
1.788626562574775e-03	-9.507535e-01
1.803275000074774e-03	-9.244204e-01
1.817923437574774e-03	-8.904767e-01
1.832571875074774e-03	-8.491493e-01
1.847220312574773e-03	-8.007325e-01
1.859776116146202e-03	-7.529855e-01
1.872331919717630e-03	-7.014137e-01
1.884887723289058e-03	-6.460171e-01
1.897443526860486e-03	-5.867955e-01
1.909999330431915e-03	-5.237492e-01
1.922555134003343e-03	-4.568779e-01
1.935110937574771e-03	-3.861818e-01
1.942783928646200e-03	-3.420639e-01
1.950456919717628e-03	-2.974116e-01
1.958129910789057e-03	-2.522248e-01
1.965802901860485e-03	-2.065036e-01
1.973475892931913e-03	-1.602479e-01
