time	V(n002)	V(n003)
0.000000000000000e+00	0.000000e+00	2.356301e-16
4.882812557061023e-11	3.067962e-07	1.753209e-06
9.765625114122045e-11	6.135923e-07	3.215640e-06
1.953125022824409e-10	1.227185e-06	5.250879e-06
3.906250045648818e-10	2.454369e-06	7.384280e-06
7.812500091297636e-10	4.908738e-06	9.097953e-06
1.562500018259527e-09	9.817477e-06	1.170034e-05
3.125000036519054e-09	1.963495e-05	1.926319e-05
6.250000073038109e-09	3.926991e-05	3.789731e-05
1.250000014607622e-08	7.853982e-05	7.701805e-05
4.412723225095356e-06	2.777245e-02	2.774159e-02
8.812946450044637e-06	5.539337e-02	5.533308e-02
1.321316967499392e-05	8.294130e-02	8.285148e-02
1.761339289994320e-05	1.104162e-01	1.102968e-01
2.201361612489248e-05	1.378182e-01	1.376690e-01
2.641383934984176e-05	1.651472e-01	1.649682e-01
3.081406257479102e-05	1.924032e-01	1.921943e-01
3.918459828907674e-05	2.440646e-01	2.438000e-01
4.755513400336246e-05	2.947094e-01	2.943901e-01
5.592566971764818e-05	3.443373e-01	3.439645e-01
6.429620543193390e-05	3.929485e-01	3.925233e-01
7.266674114621962e-05	4.405430e-01	4.400663e-01
8.103727686050534e-05	4.871206e-01	4.865937e-01
8.940781257479103e-05	5.326815e-01	5.321053e-01
9.917343757479104e-05	5.835758e-01	5.829446e-01
1.040562500747910e-04	6.082109e-01	6.075531e-01
1.089390625747910e-04	6.322736e-01	6.315898e-01
1.138218750747911e-04	6.557412e-01	6.550321e-01
1.187046875747911e-04	6.785917e-01	6.778579e-01
1.235875000747910e-04	7.008035e-01	7.000457e-01
1.284703125747911e-04	7.223557e-01	7.215746e-01
1.333531250747911e-04	7.432280e-01	7.424244e-01
1.431187500747911e-04	7.828553e-01	7.820089e-01
1.528843750747911e-04	8.195360e-01	8.186500e-01
1.626500000747911e-04	8.531322e-01	8.522099e-01
1.724156250747911e-04	8.835174e-01	8.825624e-01
1.821812500747911e-04	9.105773e-01	9.095930e-01
1.919468750747911e-04	9.342099e-01	9.332001e-01
2.017125000747911e-04	9.543264e-01	9.532950e-01
2.114781250747911e-04	9.708510e-01	9.698018e-01
2.212437500747911e-04	9.837216e-01	9.826586e-01
2.358921875747911e-04	9.960738e-01	9.949977e-01
2.505406250747911e-04	9.999942e-01	9.989141e-01
2.651890625747911e-04	9.954495e-01	9.943745e-01
2.798375000747912e-04	9.824781e-01	9.814174e-01
2.896031250747912e-04	9.692003e-01	9.681541e-01
2.993687500747912e-04	9.522747e-01	9.512470e-01
3.091343750747912e-04	9.317649e-01	9.307596e-01
3.189000000747912e-04	9.077482e-01	9.067691e-01
3.286656250747912e-04	8.803149e-01	8.793657e-01
3.384312500747912e-04	8.495683e-01	8.486526e-01
3.481968750747912e-04	8.156242e-01	8.147453e-01
3.579625000747912e-04	7.786102e-01	7.777716e-01
3.677281250747912e-04	7.386657e-01	7.378705e-01
3.726109375747912e-04	7.176411e-01	7.168686e-01
3.774937500747912e-04	6.959410e-01	6.951922e-01
3.823765625747912e-04	6.735860e-01	6.728614e-01
3.872593750747913e-04	6.505970e-01	6.498973e-01
3.921421875747913e-04	6.269956e-01	6.263216e-01
3.970250000747913e-04	6.028042e-01	6.021564e-01
4.019078125747913e-04	5.780454e-01	5.774245e-01
4.116734375747913e-04	5.269197e-01	5.263541e-01
4.214390625747913e-04	4.738106e-01	4.733025e-01
4.360875000747913e-04	3.908677e-01	3.904493e-01
4.437604911462199e-04	3.457846e-01	3.454150e-01
4.514334822176485e-04	3.001667e-01	2.998464e-01
4.591064732890770e-04	2.540139e-01	2.537436e-01
4.667794643605056e-04	2.073263e-01	2.071064e-01
4.744524554319342e-04	1.601039e-01	1.599349e-01
4.821254465033628e-04	1.123466e-01	1.122291e-01
4.897984375747913e-04	6.405442e-02	6.398907e-02
5.044468750747914e-04	-2.793691e-02	-2.790310e-02
5.107247768605057e-04	-6.748633e-02	-6.740992e-02
5.170026786462200e-04	-1.067791e-01	-1.066604e-01
5.232805804319343e-04	-1.458153e-01	-1.456546e-01
5.295584822176485e-04	-1.845948e-01	-1.843924e-01
5.358363840033628e-04	-2.231177e-01	-2.228738e-01
5.421142857890771e-04	-2.613840e-01	-2.610989e-01
5.483921875747914e-04	-2.993937e-01	-2.990677e-01
5.602504465033628e-04	-3.704746e-01	-3.700724e-01
5.721087054319343e-04	-4.386033e-01	-4.381280e-01
5.839669643605057e-04	-5.037797e-01	-5.032344e-01
5.958252232890771e-04	-5.660037e-01	-5.653918e-01
6.076834822176487e-04	-6.252754e-01	-6.246000e-01
6.195417411462201e-04	-6.815948e-01	-6.808592e-01
6.314000000747915e-04	-7.349619e-01	-7.341692e-01
6.530238840033629e-04	-8.220451e-01	-8.211596e-01
6.746477679319344e-04	-8.917158e-01	-8.907560e-01
6.962716518605058e-04	-9.439739e-01	-9.429585e-01
7.178955357890772e-04	-9.788195e-01	-9.777672e-01
7.395194197176488e-04	-9.962525e-01	-9.951820e-01
7.611433036462202e-04	-9.962730e-01	-9.952028e-01
7.827671875747916e-04	-9.788810e-01	-9.778298e-01
7.988107143605059e-04	-9.520922e-01	-9.510698e-01
8.148542411462202e-04	-9.167887e-01	-9.158043e-01
8.308977679319346e-04	-8.729704e-01	-8.720331e-01
8.469412947176489e-04	-8.206374e-01	-8.197563e-01
8.629848215033632e-04	-7.597897e-01	-7.589740e-01
8.790283482890775e-04	-6.904273e-01	-6.896861e-01
8.950718750747917e-04	-6.125501e-01	-6.118925e-01
9.055350447176488e-04	-5.586651e-01	-5.580654e-01
9.159982143605060e-04	-5.029906e-01	-5.024507e-01
9.264613840033631e-04	-4.455266e-01	-4.450485e-01
9.369245536462203e-04	-3.862732e-01	-3.858588e-01
9.473877232890774e-04	-3.252303e-01	-3.248815e-01
9.578508929319347e-04	-2.623979e-01	-2.621168e-01
9.683140625747918e-04	-1.977760e-01	-1.975645e-01
9.724993304319346e-04	-1.718881e-01	-1.717044e-01
9.766845982890774e-04	-1.459264e-01	-1.457706e-01
9.808698661462202e-04	-1.198908e-01	-1.197631e-01
9.850551340033630e-04	-9.378146e-02	-9.368186e-02
9.892404018605058e-04	-6.759825e-02	-6.752686e-02
9.934256697176486e-04	-4.134122e-02	-4.129811e-02
9.976109375747914e-04	-1.501036e-02	-1.499562e-02
1.012259375074791e-03	7.695178e-02	7.686739e-02
1.019932366146220e-03	1.251842e-01	1.250478e-01
1.027605357217648e-03	1.728527e-01	1.726649e-01
1.035278348289076e-03	2.199572e-01	2.197187e-01
1.042951339360505e-03	2.664978e-01	2.662090e-01
