time	V(vb)
0.000000000000000e+00	0.000000e+00
4.402008939255862e-06	2.768163e-02
8.804017878511725e-06	5.528941e-02
1.320602681776759e-05	8.282334e-02
1.760803575702345e-05	1.102834e-01
2.201004469627931e-05	1.376697e-01
2.641205363553517e-05	1.649821e-01
3.081406257479102e-05	1.922206e-01
4.057968757479103e-05	2.525031e-01
5.034531257479104e-05	3.112948e-01
6.011093757479104e-05	3.685959e-01
6.987656257479104e-05	4.244064e-01
7.964218757479103e-05	4.787262e-01
8.940781257479104e-05	5.315554e-01
9.917343757479104e-05	5.828938e-01
1.152169643605053e-04	6.630370e-01
1.312604911462196e-04	7.348651e-01
1.473040179319339e-04	7.983779e-01
1.633475447176483e-04	8.535756e-01
1.793910715033625e-04	9.004582e-01
1.954345982890768e-04	9.390256e-01
2.114781250747911e-04	9.692778e-01
2.331020090033626e-04	9.915819e-01
2.547258929319340e-04	9.963299e-01
2.763497768605055e-04	9.835219e-01
2.979736607890769e-04	9.531579e-01
3.195975447176484e-04	9.052378e-01
3.412214286462198e-04	8.397617e-01
3.628453125747912e-04	7.567295e-01
3.747035715033627e-04	7.053177e-01
3.865618304319341e-04	6.507942e-01
3.984200893605056e-04	5.931590e-01
4.102783482890770e-04	5.324121e-01
4.221366072176484e-04	4.685536e-01
4.339948661462199e-04	4.015833e-01
4.458531250747913e-04	3.315014e-01
4.521310268605056e-04	2.939374e-01
4.584089286462199e-04	2.560635e-01
4.646868304319342e-04	2.178794e-01
4.709647322176485e-04	1.793852e-01
4.772426340033628e-04	1.405810e-01
4.835205357890770e-04	1.014667e-01
4.897984375747913e-04	6.204228e-02
4.995640625747914e-04	7.772981e-04
5.044468750747914e-04	-2.994387e-02
5.093296875747914e-04	-6.056600e-02
5.142125000747914e-04	-9.108909e-02
5.190953125747914e-04	-1.215131e-01
5.239781250747914e-04	-1.518382e-01
5.288609375747914e-04	-1.820641e-01
5.337437500747914e-04	-2.121911e-01
5.442069197176485e-04	-2.765377e-01
5.546700893605057e-04	-3.390421e-01
5.651332590033628e-04	-3.997045e-01
5.755964286462200e-04	-4.585247e-01
5.860595982890771e-04	-5.155028e-01
5.965227679319343e-04	-5.706388e-01
6.069859375747914e-04	-6.239326e-01
6.237270090033629e-04	-7.040780e-01
6.404680804319344e-04	-7.748046e-01
6.572091518605058e-04	-8.361124e-01
6.739502232890772e-04	-8.880015e-01
6.906912947176487e-04	-9.304717e-01
7.074323661462201e-04	-9.635232e-01
7.241734375747916e-04	-9.871560e-01
7.444022322176487e-04	-9.984052e-01
7.646310268605059e-04	-9.944481e-01
7.848598215033631e-04	-9.752847e-01
8.050886161462202e-04	-9.409151e-01
8.253174107890773e-04	-8.913391e-01
8.455462054319346e-04	-8.265568e-01
8.657750000747917e-04	-7.465683e-01
8.776332590033631e-04	-6.941489e-01
8.894915179319346e-04	-6.387020e-01
9.013497768605060e-04	-5.802277e-01
9.132080357890774e-04	-5.187260e-01
9.250662947176489e-04	-4.541968e-01
9.369245536462203e-04	-3.866402e-01
9.487828125747918e-04	-3.160562e-01
9.550607143605060e-04	-2.782701e-01
9.613386161462203e-04	-2.402020e-01
9.676165179319345e-04	-2.018518e-01
9.738944197176488e-04	-1.632196e-01
9.801723215033631e-04	-1.243053e-01
9.864502232890772e-04	-8.510905e-02
9.927281250747915e-04	-4.563073e-02
1.007376562574791e-03	4.629719e-02
1.014352009003362e-03	9.018598e-02
1.021327455431934e-03	1.336930e-01
1.028302901860505e-03	1.768181e-01
1.035278348289076e-03	2.195615e-01
1.042253794717648e-03	2.619230e-01
1.049229241146219e-03	3.039028e-01
1.056204687574790e-03	3.455007e-01
1.068760491146219e-03	4.192893e-01
1.081316294717647e-03	4.894397e-01
1.093872098289075e-03	5.559519e-01
1.106427901860503e-03	6.188259e-01
1.118983705431932e-03	6.780617e-01
1.131539509003360e-03	7.336593e-01
1.144095312574788e-03	7.856186e-01
1.174787276860502e-03	8.904474e-01
1.205479241146216e-03	9.597081e-01
1.236171205431929e-03	9.934007e-01
1.266863169717643e-03	9.915253e-01
1.297555134003357e-03	9.540819e-01
1.328247098289070e-03	8.810704e-01
1.358939062574784e-03	7.724909e-01
1.370797321503355e-03	7.224493e-01
1.382655580431926e-03	6.691854e-01
1.394513839360497e-03	6.126991e-01
1.406372098289068e-03	5.529905e-01
1.418230357217640e-03	4.900595e-01
1.430088616146211e-03	4.239061e-01
1.441946875074782e-03	3.545303e-01
1.448224776860496e-03	3.172823e-01
1.454502678646210e-03	2.796870e-01
1.460780580431924e-03	2.417444e-01
1.467058482217638e-03	2.034545e-01
1.473336384003353e-03	1.648173e-01
1.479614285789067e-03	1.258328e-01
1.485892187574781e-03	8.650097e-02
1.500540625074781e-03	-5.347156e-03
1.505423437574781e-03	-3.606515e-02
1.510306250074780e-03	-6.667838e-02
1.515189062574780e-03	-9.718683e-02
