time	V(g1)	V(n002)
0.000000000000000e+00	0.000000e+00	3.163680e-14
4.882812361904632e-13	9.203885e-09	1.169344e-07
9.765624723809263e-13	1.840777e-08	1.566352e-07
9.765624723809266e-12	1.840777e-07	7.110811e-08
1.855468697523761e-11	3.497476e-07	-2.611842e-09
2.734374922666595e-11	5.154175e-07	-6.452470e-08
3.613281147809429e-11	6.810874e-07	-1.146305e-07
4.492187372952262e-11	8.467574e-07	-1.529291e-07
5.371093598095097e-11	1.012427e-06	-1.794207e-07
6.249999823237928e-11	1.178097e-06	-1.941051e-07
4.999999858590343e-10	9.424777e-06	-1.355812e-05
9.999999717180685e-10	1.884955e-05	-4.891398e-05
1.999999943436137e-09	3.769910e-05	-1.616330e-04
3.999999886872274e-09	7.539814e-05	-4.750450e-04
7.999999773744548e-09	1.507958e-04	-1.226018e-03
1.599999954748910e-08	3.015878e-04	-2.828804e-03
7.168526721069874e-08	1.353941e-03	-1.415384e-02
1.273705348739084e-07	2.401458e-03	-2.546111e-02
1.830558025371180e-07	3.444137e-03	-3.675062e-02
2.387410702003277e-07	4.481979e-03	-4.802237e-02
2.944263378635373e-07	5.514984e-03	-5.927636e-02
3.501116055267469e-07	6.543152e-03	-7.051258e-02
4.057968731899564e-07	7.566482e-03	-8.173104e-02
5.104285696185279e-07	9.476333e-03	-1.027871e-01
6.150602660470994e-07	1.132603e-02	-1.232648e-01
7.196919624756708e-07	1.311558e-02	-1.431639e-01
8.243236589042423e-07	1.484497e-02	-1.624846e-01
9.289553553328137e-07	1.651421e-02	-1.812268e-01
1.033587051761385e-06	1.812330e-02	-1.993905e-01
1.138218748189956e-06	1.967224e-02	-2.169757e-01
1.298654016047099e-06	2.189139e-02	-2.423589e-01
1.459089283904242e-06	2.384659e-02	-2.647332e-01
1.619524551761385e-06	2.553782e-02	-2.840988e-01
1.779959819618528e-06	2.696509e-02	-3.004556e-01
1.940395087475671e-06	2.812840e-02	-3.138036e-01
2.100830355332814e-06	2.902774e-02	-3.241428e-01
2.261265623189956e-06	2.966313e-02	-3.314732e-01
2.449602676761385e-06	2.995926e-02	-3.346049e-01
2.637939730332815e-06	2.985645e-02	-3.331104e-01
2.826276783904244e-06	2.935470e-02	-3.269897e-01
3.014613837475673e-06	2.845401e-02	-3.162429e-01
3.202950891047102e-06	2.715438e-02	-3.008699e-01
3.391287944618531e-06	2.545581e-02	-2.808708e-01
3.579624998189960e-06	2.335831e-02	-2.562455e-01
3.691232141047102e-06	2.196181e-02	-2.400082e-01
3.802839283904245e-06	2.047690e-02	-2.228745e-01
3.914446426761387e-06	1.890356e-02	-2.048444e-01
4.026053569618530e-06	1.724181e-02	-1.859178e-01
4.137660712475672e-06	1.549163e-02	-1.660948e-01
4.249267855332815e-06	1.365304e-02	-1.453754e-01
4.360874998189957e-06	1.172603e-02	-1.237595e-01
4.430629462475671e-06	1.049884e-02	-1.100897e-01
4.500383926761384e-06	9.257520e-03	-9.632561e-02
4.570138391047098e-06	8.002080e-03	-8.246727e-02
4.639892855332812e-06	6.732516e-03	-6.851467e-02
4.709647319618526e-06	5.448828e-03	-5.446779e-02
4.779401783904240e-06	4.151017e-03	-4.032665e-02
4.849156248189954e-06	2.839083e-03	-2.609123e-02
4.946812498189953e-06	1.002374e-03	-6.276894e-03
4.995640623189953e-06	8.217221e-05	3.602699e-03
5.093296873189952e-06	-1.757598e-03	2.326012e-02
5.239781248189951e-06	-4.502691e-03	5.235552e-02
5.386265623189950e-06	-7.209668e-03	8.077126e-02
5.504848212475664e-06	-9.384913e-03	1.033631e-01
5.623430801761378e-06	-1.148033e-02	1.250000e-01
5.742013391047091e-06	-1.349591e-02	1.456819e-01
5.860595980332805e-06	-1.543165e-02	1.654088e-01
5.979178569618519e-06	-1.728757e-02	1.841807e-01
6.097761158904232e-06	-1.906365e-02	2.019976e-01
6.216343748189945e-06	-2.075990e-02	2.188595e-01
6.425607141047087e-06	-2.348640e-02	2.455885e-01
6.634870533904229e-06	-2.573483e-02	2.675732e-01
6.844133926761371e-06	-2.750517e-02	2.848134e-01
7.053397319618512e-06	-2.879745e-02	2.973093e-01
7.262660712475654e-06	-2.961164e-02	3.050608e-01
7.471924105332796e-06	-2.994776e-02	3.080679e-01
7.681187498189937e-06	-2.980581e-02	3.063307e-01
7.862549105332793e-06	-2.917613e-02	3.001642e-01
8.043910712475650e-06	-2.821209e-02	2.906208e-01
8.225272319618505e-06	-2.691369e-02	2.777002e-01
8.406633926761362e-06	-2.528093e-02	2.614027e-01
8.587995533904217e-06	-2.331381e-02	2.417281e-01
8.769357141047074e-06	-2.101234e-02	2.186764e-01
8.950718748189930e-06	-1.837651e-02	1.922477e-01
9.055350444618500e-06	-1.675995e-02	1.758577e-01
9.159982141047072e-06	-1.508972e-02	1.588105e-01
9.264613837475642e-06	-1.336580e-02	1.411060e-01
9.369245533904213e-06	-1.158820e-02	1.227444e-01
9.473877230332783e-06	-9.756908e-03	1.037255e-01
9.578508926761355e-06	-7.871937e-03	8.404940e-02
9.683140623189925e-06	-5.933281e-03	6.371611e-02
9.829624998189924e-06	-3.205363e-03	3.485798e-02
9.927281248189924e-06	-1.370239e-03	1.530612e-02
9.976109373189924e-06	-4.503108e-04	5.463086e-03
1.007376562318992e-05	1.389951e-03	-1.431117e-02
1.014352008747564e-05	2.707827e-03	-2.854501e-02
1.021327455176135e-05	4.014294e-03	-4.270801e-02
1.028302901604707e-05	5.309353e-03	-5.680016e-02
1.035278348033278e-05	6.593002e-03	-7.082148e-02
1.042253794461849e-05	7.865243e-03	-8.477196e-02
1.049229240890421e-05	9.126075e-03	-9.865159e-02
1.056204687318992e-05	1.037550e-02	-1.124604e-01
1.067365401604706e-05	1.234403e-02	-1.343520e-01
1.078526115890420e-05	1.422991e-02	-1.554026e-01
1.089686830176135e-05	1.603315e-02	-1.756124e-01
1.100847544461849e-05	1.775373e-02	-1.949812e-01
1.112008258747563e-05	1.939166e-02	-2.135091e-01
1.123168973033277e-05	2.094694e-02	-2.311961e-01
1.134329687318992e-05	2.241958e-02	-2.480422e-01
1.153163392676134e-05	2.466015e-02	-2.738478e-01
1.171997098033277e-05	2.650748e-02	-2.950875e-01
1.190830803390420e-05	2.796155e-02	-3.117614e-01
1.209664508747563e-05	2.902238e-02	-3.238694e-01
1.228498214104705e-05	2.968996e-02	-3.314115e-01
1.247331919461848e-05	2.996430e-02	-3.343878e-01
1.266165624818991e-05	2.984538e-02	-3.327982e-01
1.282209151604705e-05	2.935746e-02	-3.267428e-01
