time	V(g1)	V(n002)
0.000000000000000e+00	0.000000e+00	3.163680e-14
4.882812361904632e-13	3.067961e-09	1.167760e-07
9.765624723809263e-13	6.135923e-09	1.563316e-07
9.765624723809266e-12	6.135923e-08	7.160398e-08
1.855468697523761e-11	1.165825e-07	4.997736e-09
2.734374922666595e-11	1.718058e-07	-4.348712e-08
3.613281147809429e-11	2.270292e-07	-7.385058e-08
4.492187372952262e-11	2.822525e-07	-8.609265e-08
5.371093598095097e-11	3.374758e-07	-8.021333e-08
6.249999823237928e-11	3.926991e-07	-5.621263e-08
4.999999858590343e-10	3.141593e-06	-4.514935e-06
9.999999717180685e-10	6.283185e-06	-1.630003e-05
1.999999943436137e-09	1.256637e-05	-5.387172e-05
3.999999886872274e-09	2.513271e-05	-1.583319e-04
7.999999773744548e-09	5.026527e-05	-4.085952e-04
1.599999954748910e-08	1.005293e-04	-9.425680e-04
7.168526721069874e-08	4.513138e-04	-4.710080e-03
1.273705348739084e-07	8.004860e-04	-8.463572e-03
1.830558025371180e-07	1.148046e-03	-1.220304e-02
2.387410702003277e-07	1.493993e-03	-1.592850e-02
2.944263378635373e-07	1.838328e-03	-1.963993e-02
3.501116055267469e-07	2.181051e-03	-2.333734e-02
4.057968731899564e-07	2.522161e-03	-2.702073e-02
5.104285696185279e-07	3.158777e-03	-3.390667e-02
6.150602660470994e-07	3.775343e-03	-4.058321e-02
7.196919624756708e-07	4.371859e-03	-4.705035e-02
8.243236589042423e-07	4.948323e-03	-5.330809e-02
9.289553553328137e-07	5.504737e-03	-5.935644e-02
1.033587051761385e-06	6.041100e-03	-6.519539e-02
1.138218748189956e-06	6.557412e-03	-7.082495e-02
1.312604908904242e-06	7.359897e-03	-7.959385e-02
1.486991069618528e-06	8.056950e-03	-8.720413e-02
1.661377230332814e-06	8.648571e-03	-9.365576e-02
1.835763391047099e-06	9.134760e-03	-9.894877e-02
2.010149551761386e-06	9.515518e-03	-1.030831e-01
2.184535712475671e-06	9.790844e-03	-1.060589e-01
2.358921873189956e-06	9.960739e-03	-1.078760e-01
2.547258926761386e-06	9.984585e-03	-1.080453e-01
2.735595980332815e-06	9.877907e-03	-1.067809e-01
2.923933033904244e-06	9.640706e-03	-1.040828e-01
3.112270087475673e-06	9.272980e-03	-9.995100e-02
3.300607141047102e-06	8.774729e-03	-9.438550e-02
3.488944194618531e-06	8.145955e-03	-8.738631e-02
3.677281248189960e-06	7.386657e-03	-7.895341e-02
3.788888391047102e-06	6.889196e-03	-7.345396e-02
3.900495533904245e-06	6.364710e-03	-6.767408e-02
4.012102676761387e-06	5.813198e-03	-6.161378e-02
4.123709819618529e-06	5.234660e-03	-5.527306e-02
4.235316962475672e-06	4.629098e-03	-4.865191e-02
4.346924105332814e-06	3.996510e-03	-4.175034e-02
4.458531248189956e-06	3.336896e-03	-3.456834e-02
4.521310266047098e-06	2.961058e-03	-3.048682e-02
4.584089283904241e-06	2.582102e-03	-2.637789e-02
4.646868301761383e-06	2.200027e-03	-2.224154e-02
4.709647319618526e-06	1.814834e-03	-1.807777e-02
4.772426337475669e-06	1.426522e-03	-1.388659e-02
4.835205355332811e-06	1.035092e-03	-9.667992e-03
4.897984373189953e-06	6.405442e-04	-5.421977e-03
5.044468748189953e-06	-2.793690e-04	4.451773e-03
5.114223212475667e-06	-7.191437e-04	9.159082e-03
5.183977676761380e-06	-1.155462e-03	1.382183e-02
5.253732141047094e-06	-1.588323e-03	1.844002e-02
5.323486605332808e-06	-2.017729e-03	2.301365e-02
5.393241069618522e-06	-2.443677e-03	2.754273e-02
5.462995533904235e-06	-2.866169e-03	3.202724e-02
5.532749998189950e-06	-3.285205e-03	3.646720e-02
5.658308033904234e-06	-4.029578e-03	4.432997e-02
5.783866069618520e-06	-4.738513e-03	5.180223e-02
5.909424105332805e-06	-5.412009e-03	5.888396e-02
6.034982141047089e-06	-6.050067e-03	6.557517e-02
6.160540176761375e-06	-6.652686e-03	7.187587e-02
6.286098212475660e-06	-7.219867e-03	7.778605e-02
6.411656248189944e-06	-7.751609e-03	8.330570e-02
6.725551337475657e-06	-8.854680e-03	9.468534e-02
7.039446426761369e-06	-9.586140e-03	1.021919e-01
7.353341516047082e-06	-9.945989e-03	1.058255e-01
7.667236605332796e-06	-9.934228e-03	1.055859e-01
7.981131694618508e-06	-9.550856e-03	1.014734e-01
8.295026783904221e-06	-8.795873e-03	9.348774e-02
8.608921873189932e-06	-7.669279e-03	8.162907e-02
8.734479908904217e-06	-7.129842e-03	7.594883e-02
8.860037944618501e-06	-6.555623e-03	6.989072e-02
8.985595980332786e-06	-5.946624e-03	6.345471e-02
9.111154016047072e-06	-5.302843e-03	5.664083e-02
9.236712051761357e-06	-4.624281e-03	4.944907e-02
9.362270087475642e-06	-3.910938e-03	4.187942e-02
9.487828123189926e-06	-3.162814e-03	3.393188e-02
9.550607141047070e-06	-2.784746e-03	2.990690e-02
9.613386158904211e-06	-2.403841e-03	2.584737e-02
9.676165176761354e-06	-2.020097e-03	2.175330e-02
9.738944194618496e-06	-1.633516e-03	1.762468e-02
9.801723212475639e-06	-1.244098e-03	1.346152e-02
9.864502230332781e-06	-8.518409e-04	9.263822e-03
9.927281248189924e-06	-4.567464e-04	5.031579e-03
1.022024999818992e-05	1.379459e-03	-1.469768e-02
1.031093080176135e-05	1.945621e-03	-2.080175e-02
1.040161160533278e-05	2.501065e-03	-2.679749e-02
1.049229240890421e-05	3.045791e-03	-3.268489e-02
1.058297321247563e-05	3.579799e-03	-3.846396e-02
1.067365401604706e-05	4.103089e-03	-4.413470e-02
1.076433481961849e-05	4.615661e-03	-4.969710e-02
1.085501562318992e-05	5.117514e-03	-5.515117e-02
1.100149999818992e-05	5.898710e-03	-6.366100e-02
1.114798437318992e-05	6.616375e-03	-7.148094e-02
1.129446874818992e-05	7.270510e-03	-7.861099e-02
1.144095312318991e-05	7.861114e-03	-8.505115e-02
1.158743749818991e-05	8.388187e-03	-9.080142e-02
1.173392187318991e-05	8.851729e-03	-9.586180e-02
