time	V(g1)	V(n002)
0.000000000000000e+00	0.000000e+00	3.163680e-14
4.882812361904632e-13	9.203885e-08	1.190732e-07
9.765624723809263e-13	1.840777e-07	1.607332e-07
9.765624723809266e-12	1.840777e-06	6.429722e-08
1.855468697523761e-11	3.497476e-06	-1.056882e-07
2.734374922666595e-11	5.154176e-06	-3.492230e-07
3.613281147809429e-11	6.810875e-06	-6.663072e-07
4.492187372952262e-11	8.467574e-06	-1.056941e-06
5.371093598095097e-11	1.012427e-05	-1.521124e-06
6.249999823237928e-11	1.178097e-05	-2.058856e-06
1.249999964647586e-10	2.356194e-05	-8.795877e-06
2.499999929295171e-10	4.712389e-05	-3.539167e-05
4.999999858590343e-10	9.424778e-05	-1.356610e-04
9.999999717180685e-10	1.884955e-04	-4.893437e-04
1.999999943436137e-09	3.769910e-04	-1.617357e-03
3.999999886872274e-09	7.539814e-04	-4.756371e-03
7.999999773744548e-09	1.507958e-03	-1.229145e-02
1.599999954748910e-08	3.015878e-03	-2.843651e-02
3.199999909497819e-08	6.031451e-03	-6.135932e-02
6.399999818995639e-08	1.206046e-02	-1.282126e-01
1.128281231899564e-07	2.124979e-02	-2.323054e-01
1.616562481899564e-07	3.041912e-02	-3.388664e-01
2.104843731899564e-07	3.955982e-02	-4.480149e-01
3.081406231899564e-07	5.772094e-02	-6.735163e-01
4.546249981899565e-07	8.453415e-02	-1.027415e+00
6.011093731899565e-07	1.106318e-01	-1.395797e+00
7.475937481899566e-07	1.357929e-01	-1.773201e+00
8.940781231899567e-07	1.598044e-01	-2.153607e+00
1.040562498189957e-06	1.824633e-01	-2.530573e+00
1.187046873189956e-06	2.035775e-01	-2.897407e+00
1.333531248189956e-06	2.229684e-01	-3.247338e+00
1.480015623189956e-06	2.404719e-01	-3.573701e+00
1.626499998189956e-06	2.559397e-01	-3.870120e+00
1.772984373189955e-06	2.692409e-01	-4.130681e+00
1.919468748189955e-06	2.802630e-01	-4.350100e+00
2.017124998189956e-06	2.862979e-01	-4.471262e+00
2.114781248189956e-06	2.912553e-01	-4.571001e+00
2.212437498189956e-06	2.951165e-01	-4.648396e+00
2.310093748189956e-06	2.978669e-01	-4.702728e+00
2.407749998189957e-06	2.994962e-01	-4.733494e+00
2.505406248189957e-06	2.999983e-01	-4.740410e+00
2.603062498189957e-06	2.993712e-01	-4.723416e+00
2.700718748189957e-06	2.976174e-01	-4.682677e+00
2.798374998189958e-06	2.947434e-01	-4.618580e+00
