time	V(g1)	V(n002)
0.000000000000000e+00	0.000000e+00	3.163680e-14
4.882812361904632e-13	4.601942e-08	1.178850e-07
9.765624723809263e-13	9.203885e-08	1.584565e-07
9.765624723809266e-12	9.203885e-07	6.813311e-08
1.855468697523761e-11	1.748738e-06	-4.826946e-08
2.734374922666595e-11	2.577088e-06	-1.907512e-07
3.613281147809429e-11	3.405437e-06	-3.593120e-07
4.492187372952262e-11	4.233787e-06	-5.539521e-07
5.371093598095097e-11	5.062137e-06	-7.746712e-07
6.249999823237928e-11	5.890486e-06	-1.021470e-06
2.499999929295171e-10	2.356194e-05	-1.769187e-05
4.999999858590343e-10	4.712389e-05	-6.782149e-05
9.999999717180685e-10	9.424777e-05	-2.446275e-04
1.999999943436137e-09	1.884955e-04	-8.084015e-04
3.999999886872274e-09	3.769907e-04	-2.376544e-03
7.999999773744548e-09	7.539790e-04	-6.137040e-03
1.599999954748910e-08	1.507939e-03	-1.417701e-02
3.199999909497819e-08	3.015726e-03	-3.049836e-02
6.399999818995639e-08	6.030232e-03	-6.338312e-02
1.616562481899564e-07	1.520956e-02	-1.652781e-01
3.081406231899564e-07	2.886047e-02	-3.221240e-01
3.918459803328136e-07	3.660970e-02	-4.143399e-01
4.755513374756708e-07	4.420641e-02	-5.064496e-01
5.592566946185280e-07	5.165060e-02	-5.984532e-01
6.429620517613852e-07	5.894228e-02	-6.903506e-01
7.266674089042424e-07	6.608144e-02	-7.821417e-01
8.103727660470997e-07	7.306809e-02	-8.738268e-01
8.940781231899567e-07	7.990222e-02	-9.654056e-01
1.005685266047099e-06	8.869267e-02	-1.086201e+00
1.117292408904242e-06	9.695334e-02	-1.201064e+00
1.228899551761385e-06	1.046842e-01	-1.309995e+00
1.340506694618528e-06	1.118854e-01	-1.412994e+00
1.452113837475670e-06	1.185567e-01	-1.510061e+00
1.563720980332813e-06	1.246983e-01	-1.601195e+00
1.675328123189956e-06	1.303100e-01	-1.686397e+00
1.772984373189956e-06	1.346485e-01	-1.752529e+00
1.870640623189956e-06	1.384504e-01	-1.810476e+00
1.968296873189956e-06	1.417157e-01	-1.860238e+00
2.065953123189956e-06	1.444444e-01	-1.901814e+00
2.163609373189956e-06	1.466366e-01	-1.935205e+00
2.261265623189957e-06	1.482921e-01	-1.960411e+00
2.358921873189956e-06	1.494111e-01	-1.977431e+00
2.442627230332814e-06	1.498986e-01	-1.984154e+00
2.526332587475671e-06	1.499745e-01	-1.984364e+00
2.610037944618529e-06	1.496387e-01	-1.978062e+00
2.693743301761386e-06	1.488912e-01	-1.965247e+00
2.777448658904243e-06	1.477320e-01	-1.945921e+00
2.861154016047101e-06	1.461611e-01	-1.920081e+00
2.944859373189958e-06	1.441785e-01	-1.887730e+00
3.070417408904244e-06	1.403777e-01	-1.825540e+00
3.195975444618530e-06	1.357895e-01	-1.752926e+00
3.321533480332816e-06	1.304139e-01	-1.669890e+00
3.447091516047102e-06	1.242510e-01	-1.576432e+00
3.572649551761388e-06	1.173006e-01	-1.472550e+00
3.698207587475674e-06	1.095630e-01	-1.358246e+00
3.823765623189960e-06	1.010379e-01	-1.233520e+00
3.914446426761388e-06	9.450217e-02	-1.140354e+00
4.005127230332816e-06	8.771720e-02	-1.045787e+00
4.095808033904244e-06	8.068296e-02	-9.498207e-01
4.186488837475672e-06	7.339947e-02	-8.524535e-01
4.277169641047100e-06	6.586672e-02	-7.536858e-01
4.367850444618528e-06	5.808471e-02	-6.535176e-01
4.458531248189956e-06	5.005344e-02	-5.519490e-01
4.521310266047098e-06	4.441587e-02	-4.823239e-01
4.584089283904241e-06	3.873153e-02	-4.133470e-01
4.646868301761383e-06	3.300041e-02	-3.450183e-01
4.709647319618526e-06	2.722251e-02	-2.773378e-01
4.772426337475669e-06	2.139784e-02	-2.103054e-01
4.835205355332811e-06	1.552639e-02	-1.439212e-01
4.897984373189953e-06	9.608163e-03	-7.818514e-02
4.946812498189953e-06	5.011871e-03	-2.805087e-02
4.995640623189953e-06	4.108611e-04	2.138009e-02
5.044468748189953e-06	-4.190535e-03	7.006057e-02
5.093296873189952e-06	-8.787988e-03	1.179462e-01
5.142124998189952e-06	-1.337717e-02	1.649953e-01
5.239781248189951e-06	-2.251345e-02	2.564325e-01
5.337437498189951e-06	-3.156501e-02	3.440973e-01
5.435093748189950e-06	-4.049775e-02	4.277607e-01
5.581578123189949e-06	-5.360072e-02	5.453637e-01
5.728062498189948e-06	-6.624995e-02	6.531253e-01
5.874546873189947e-06	-7.833837e-02	7.508172e-01
6.021031248189947e-06	-8.976363e-02	8.383976e-01
6.167515623189946e-06	-1.004290e-01	9.159853e-01
6.313999998189945e-06	-1.102443e-01	9.838293e-01
6.460484373189944e-06	-1.191263e-01	1.042277e+00
6.606968748189943e-06	-1.269999e-01	1.091739e+00
6.753453123189942e-06	-1.337984e-01	1.132658e+00
6.899937498189941e-06	-1.394643e-01	1.165471e+00
7.046421873189940e-06	-1.439496e-01	1.190585e+00
7.192906248189940e-06	-1.472163e-01	1.208346e+00
7.339390623189939e-06	-1.492369e-01	1.219020e+00
7.485874998189938e-06	-1.499941e-01	1.222775e+00
7.632359373189938e-06	-1.494816e-01	1.219670e+00
7.778843748189937e-06	-1.477037e-01	1.209655e+00
7.925328123189936e-06	-1.446754e-01	1.192570e+00
8.071812498189935e-06	-1.404225e-01	1.168156e+00
8.218296873189934e-06	-1.349809e-01	1.136072e+00
8.364781248189933e-06	-1.283966e-01	1.095914e+00
8.511265623189932e-06	-1.207254e-01	1.047242e+00
8.657749998189931e-06	-1.120323e-01	9.896139e-01
8.804234373189931e-06	-1.023908e-01	9.226109e-01
8.950718748189930e-06	-9.188253e-02	8.458782e-01
9.097203123189929e-06	-8.059646e-02	7.591563e-01
9.243687498189928e-06	-6.862813e-02	6.623147e-01
9.390171873189927e-06	-5.607886e-02	5.553821e-01
9.536656248189926e-06	-4.305486e-02	4.385740e-01
9.634312498189926e-06	-3.416278e-02	3.554153e-01
9.731968748189925e-06	-2.514211e-02	2.682309e-01
9.829624998189924e-06	-1.602681e-02	1.772464e-01
9.878453123189924e-06	-1.144439e-02	1.304124e-01
9.927281248189924e-06	-6.851197e-03	8.273397e-02
9.976109373189924e-06	-2.251554e-03	3.425243e-02
1.002493749818992e-05	2.350208e-03	-1.498812e-02
1.007376562318992e-05	6.949757e-03	-6.494074e-02
1.012259374818992e-05	1.154277e-02	-1.155557e-01
1.022024999818992e-05	2.069188e-02	-2.185602e-01
