time	V(g1)	I(R3)
0.000000000000000e+00	0.000000e+00	0.000000e+00
4.882812361904632e-13	3.067961e-09	3.067962e-15
9.765624723809263e-13	6.135923e-09	6.135923e-15
9.765624723809266e-12	6.135923e-08	6.135923e-14
1.855468697523761e-11	1.165825e-07	1.165825e-13
2.734374922666595e-11	1.718058e-07	1.718059e-13
3.613281147809429e-11	2.270292e-07	2.270292e-13
4.492187372952262e-11	2.822525e-07	2.822525e-13
5.371093598095097e-11	3.374758e-07	3.374758e-13
6.249999823237928e-11	3.926991e-07	3.926991e-13
4.999999858590343e-10	3.141593e-06	3.141592e-12
9.999999717180685e-10	6.283185e-06	6.283184e-12
1.999999943436137e-09	1.256637e-05	1.256636e-11
3.999999886872274e-09	2.513271e-05	2.513269e-11
7.999999773744548e-09	5.026527e-05	5.026508e-11
1.599999954748910e-08	1.005293e-04	1.005278e-10
7.168526721069874e-08	4.513138e-04	4.512216e-10
1.273705348739084e-07	8.004860e-04	8.003050e-10
1.830558025371180e-07	1.148046e-03	1.147778e-09
2.387410702003277e-07	1.493993e-03	1.493641e-09
2.944263378635373e-07	1.838328e-03	1.837893e-09
3.501116055267469e-07	2.181051e-03	2.180536e-09
4.057968731899564e-07	2.522161e-03	2.521567e-09
5.104285696185279e-07	3.158777e-03	3.158034e-09
6.150602660470994e-07	3.775343e-03	3.774455e-09
7.196919624756708e-07	4.371859e-03	4.370830e-09
8.243236589042423e-07	4.948323e-03	4.947159e-09
9.289553553328137e-07	5.504737e-03	5.503442e-09
1.033587051761385e-06	6.041100e-03	6.039678e-09
1.138218748189956e-06	6.557412e-03	6.555869e-09
1.312604908904242e-06	7.359897e-03	7.358165e-09
1.486991069618528e-06	8.056950e-03	8.055053e-09
1.661377230332814e-06	8.648571e-03	8.646535e-09
1.835763391047099e-06	9.134760e-03	9.132610e-09
2.010149551761386e-06	9.515518e-03	9.513279e-09
2.184535712475671e-06	9.790844e-03	9.788540e-09
2.358921873189956e-06	9.960739e-03	9.958395e-09
2.547258926761386e-06	9.984585e-03	9.982236e-09
2.735595980332815e-06	9.877907e-03	9.875583e-09
2.923933033904244e-06	9.640706e-03	9.638437e-09
3.112270087475673e-06	9.272980e-03	9.270797e-09
3.300607141047102e-06	8.774729e-03	8.772665e-09
3.488944194618531e-06	8.145955e-03	8.144038e-09
3.677281248189960e-06	7.386657e-03	7.384918e-09
3.788888391047102e-06	6.889196e-03	6.887575e-09
3.900495533904245e-06	6.364710e-03	6.363212e-09
4.012102676761387e-06	5.813198e-03	5.811830e-09
4.123709819618529e-06	5.234660e-03	5.233429e-09
4.235316962475672e-06	4.629098e-03	4.628009e-09
4.346924105332814e-06	3.996510e-03	3.995570e-09
4.458531248189956e-06	3.336896e-03	3.336111e-09
4.521310266047098e-06	2.961058e-03	2.960362e-09
4.584089283904241e-06	2.582102e-03	2.581494e-09
4.646868301761383e-06	2.200027e-03	2.199509e-09
4.709647319618526e-06	1.814834e-03	1.814407e-09
4.772426337475669e-06	1.426522e-03	1.426187e-09
4.835205355332811e-06	1.035092e-03	1.034849e-09
4.897984373189953e-06	6.405442e-04	6.403935e-10
5.044468748189953e-06	-2.793690e-04	-2.793033e-10
5.114223212475667e-06	-7.191437e-04	-7.189745e-10
5.183977676761380e-06	-1.155462e-03	-1.155190e-09
5.253732141047094e-06	-1.588323e-03	-1.587950e-09
5.323486605332808e-06	-2.017729e-03	-2.017254e-09
5.393241069618522e-06	-2.443677e-03	-2.443102e-09
5.462995533904235e-06	-2.866169e-03	-2.865495e-09
5.532749998189950e-06	-3.285205e-03	-3.284432e-09
5.658308033904234e-06	-4.029578e-03	-4.028630e-09
5.783866069618520e-06	-4.738513e-03	-4.737399e-09
5.909424105332805e-06	-5.412009e-03	-5.410736e-09
6.034982141047089e-06	-6.050067e-03	-6.048644e-09
6.160540176761375e-06	-6.652686e-03	-6.651121e-09
6.286098212475660e-06	-7.219867e-03	-7.218168e-09
6.411656248189944e-06	-7.751609e-03	-7.749785e-09
6.725551337475657e-06	-8.854680e-03	-8.852596e-09
7.039446426761369e-06	-9.586140e-03	-9.583884e-09
7.353341516047082e-06	-9.945989e-03	-9.943649e-09
7.667236605332796e-06	-9.934228e-03	-9.931890e-09
7.981131694618508e-06	-9.550856e-03	-9.548608e-09
8.295026783904221e-06	-8.795873e-03	-8.793803e-09
8.608921873189932e-06	-7.669279e-03	-7.667474e-09
8.734479908904217e-06	-7.129842e-03	-7.128164e-09
8.860037944618501e-06	-6.555623e-03	-6.554081e-09
8.985595980332786e-06	-5.946624e-03	-5.945225e-09
9.111154016047072e-06	-5.302843e-03	-5.301596e-09
9.236712051761357e-06	-4.624281e-03	-4.623193e-09
9.362270087475642e-06	-3.910938e-03	-3.910018e-09
9.487828123189926e-06	-3.162814e-03	-3.162070e-09
9.550607141047070e-06	-2.784746e-03	-2.784091e-09
9.613386158904211e-06	-2.403841e-03	-2.403275e-09
9.676165176761354e-06	-2.020097e-03	-2.019622e-09
9.738944194618496e-06	-1.633516e-03	-1.633132e-09
9.801723212475639e-06	-1.244098e-03	-1.243805e-09
9.864502230332781e-06	-8.518409e-04	-8.516404e-10
9.927281248189924e-06	-4.567464e-04	-4.566390e-10
1.022024999818992e-05	1.379459e-03	1.379134e-09
1.031093080176135e-05	1.945621e-03	1.945163e-09
1.040161160533278e-05	2.501065e-03	2.500477e-09
1.049229240890421e-05	3.045791e-03	3.045075e-09
1.058297321247563e-05	3.579799e-03	3.578957e-09
1.067365401604706e-05	4.103089e-03	4.102124e-09
1.076433481961849e-05	4.615661e-03	4.614575e-09
1.085501562318992e-05	5.117514e-03	5.116310e-09
1.100149999818992e-05	5.898710e-03	5.897322e-09
1.114798437318992e-05	6.616375e-03	6.614818e-09
1.129446874818992e-05	7.270510e-03	7.268799e-09
1.144095312318991e-05	7.861114e-03	7.859264e-09
1.158743749818991e-05	8.388187e-03	8.386213e-09
1.173392187318991e-05	8.851729e-03	8.849647e-09
1.188040624818991e-05	9.251741e-03	9.249565e-09
1.211757142676134e-05	9.707432e-03	9.705148e-09
1.235473660533277e-05	9.948655e-03	9.946314e-09
1.259190178390419e-05	9.975410e-03	9.973063e-09
1.282906696247562e-05	9.787698e-03	9.785394e-09
1.306623214104705e-05	9.385518e-03	9.383309e-09
1.330339731961848e-05	8.768870e-03	8.766806e-09
1.354056249818990e-05	7.937755e-03	7.935887e-09
1.365914508747562e-05	7.455048e-03	7.453293e-09
1.377772767676133e-05	6.938689e-03	6.937057e-09
1.389631026604704e-05	6.388679e-03	6.387176e-09
1.401489285533276e-05	5.805018e-03	5.803653e-09
1.413347544461847e-05	5.187705e-03	5.186485e-09
1.425205803390418e-05	4.536741e-03	4.535674e-09
1.437064062318990e-05	3.852126e-03	3.851219e-09
1.444039508747561e-05	3.442069e-03	3.441259e-09
1.451014955176133e-05	3.027418e-03	3.026706e-09
1.457990401604704e-05	2.608174e-03	2.607561e-09
1.464965848033275e-05	2.184336e-03	2.183822e-09
1.471941294461847e-05	1.755904e-03	1.755491e-09
1.478916740890418e-05	1.322879e-03	1.322568e-09
1.485892187318989e-05	8.852597e-04	8.850514e-10
1.490077455176132e-05	6.225937e-04	6.224472e-10
1.494262723033275e-05	3.599513e-04	3.598666e-10
1.498447990890418e-05	9.733230e-05	9.730940e-11
1.502633258747561e-05	-1.652632e-04	-1.652243e-10
1.506818526604704e-05	-4.278352e-04	-4.277346e-10
1.511003794461846e-05	-6.903838e-04	-6.902214e-10
1.515189062318989e-05	-9.529089e-04	-9.526847e-10
1.524257142676132e-05	-1.522673e-03	-1.522315e-09
1.533325223033275e-05	-2.083039e-03	-2.082549e-09
1.542393303390418e-05	-2.634007e-03	-2.633387e-09
1.551461383747561e-05	-3.175577e-03	-3.174829e-09
1.560529464104704e-05	-3.707748e-03	-3.706876e-09
1.569597544461848e-05	-4.230522e-03	-4.229527e-09
1.578665624818991e-05	-4.743898e-03	-4.742781e-09
1.593314062318991e-05	-5.546737e-03	-5.545431e-09
1.607962499818991e-05	-6.288455e-03	-6.286975e-09
1.622610937318992e-05	-6.969053e-03	-6.967413e-09
1.637259374818992e-05	-7.588530e-03	-7.586745e-09
1.651907812318993e-05	-8.146887e-03	-8.144971e-09
1.666556249818993e-05	-8.644124e-03	-8.642090e-09
1.681204687318993e-05	-9.080240e-03	-9.078104e-09
1.707013839104708e-05	-9.631012e-03	-9.628746e-09
1.732822990890424e-05	-9.929123e-03	-9.926787e-09
1.758632142676138e-05	-9.974573e-03	-9.972226e-09
1.784441294461854e-05	-9.767361e-03	-9.765063e-09
1.810250446247569e-05	-9.307489e-03	-9.305299e-09
1.836059598033284e-05	-8.594954e-03	-8.592932e-09
1.861868749818999e-05	-7.629759e-03	-7.627963e-09
1.873727008747570e-05	-7.119147e-03	-7.117471e-09
1.885585267676142e-05	-6.577068e-03	-6.575520e-09
1.897443526604714e-05	-6.003523e-03	-6.002110e-09
1.909301785533286e-05	-5.398511e-03	-5.397241e-09
1.921160044461858e-05	-4.762032e-03	-4.760912e-09
1.933018303390429e-05	-4.094087e-03	-4.093124e-09
1.944876562319001e-05	-3.394675e-03	-3.393877e-09
1.951852008747573e-05	-2.977239e-03	-2.976539e-09
1.958827455176144e-05	-2.556128e-03	-2.555527e-09
1.965802901604716e-05	-2.131341e-03	-2.130840e-09
1.972778348033288e-05	-1.702880e-03	-1.702479e-09
1.979753794461859e-05	-1.270743e-03	-1.270444e-09
1.986729240890431e-05	-8.349304e-04	-8.347340e-10
1.993704687319002e-05	-3.954430e-04	-3.953500e-10
2.023001562319003e-05	1.440205e-03	1.439866e-09
2.032069642676146e-05	2.005767e-03	2.005295e-09
2.041137723033290e-05	2.560425e-03	2.559822e-09
2.050205803390433e-05	3.104177e-03	3.103446e-09
2.059273883747576e-05	3.637024e-03	3.636168e-09
2.068341964104719e-05	4.158965e-03	4.157987e-09
2.077410044461862e-05	4.670002e-03	4.668903e-09
2.086478124819005e-05	5.170133e-03	5.168917e-09
2.101126562319005e-05	5.948119e-03	5.946719e-09
2.115774999819006e-05	6.662239e-03	6.660671e-09
2.130423437319006e-05	7.312493e-03	7.310772e-09
2.145071874819007e-05	7.898882e-03	7.897023e-09
2.159720312319007e-05	8.421405e-03	8.419424e-09
2.174368749819008e-05	8.880063e-03	8.877974e-09
2.189017187319008e-05	9.274855e-03	9.272673e-09
2.212733705176151e-05	9.721354e-03	9.719066e-09
2.236450223033295e-05	9.953563e-03	9.951222e-09
2.260166740890439e-05	9.971485e-03	9.969139e-09
2.283883258747582e-05	9.775118e-03	9.772818e-09
2.307599776604726e-05	9.364463e-03	9.362259e-09
2.331316294461869e-05	8.739519e-03	8.737462e-09
2.355032812319013e-05	7.900286e-03	7.898428e-09
2.366891071247584e-05	7.414026e-03	7.412282e-09
2.378749330176156e-05	6.894383e-03	6.892761e-09
2.390607589104728e-05	6.341358e-03	6.339866e-09
2.402465848033300e-05	5.754950e-03	5.753596e-09
2.414324106961872e-05	5.135159e-03	5.133951e-09
2.426182365890443e-05	4.481985e-03	4.480931e-09
2.438040624819015e-05	3.795430e-03	3.794537e-09
2.445016071247587e-05	3.384396e-03	3.383600e-09
2.451991517676158e-05	2.968883e-03	2.968184e-09
2.458966964104730e-05	2.548890e-03	2.548291e-09
2.465942410533302e-05	2.124418e-03	2.123919e-09
2.472917856961873e-05	1.695467e-03	1.695068e-09
2.479893303390445e-05	1.262036e-03	1.261739e-09
2.486868749819017e-05	8.241250e-04	8.239311e-10
2.501517187319017e-05	-9.532625e-05	-9.530382e-11
2.507795089104731e-05	-4.911036e-04	-4.909880e-10
2.514072990890446e-05	-8.845970e-04	-8.843889e-10
2.520350892676160e-05	-1.275806e-03	-1.275506e-09
2.526628794461875e-05	-1.664732e-03	-1.664340e-09
2.532906696247589e-05	-2.051374e-03	-2.050891e-09
2.539184598033304e-05	-2.435731e-03	-2.435158e-09
2.545462499819018e-05	-2.817805e-03	-2.817142e-09
2.557320758747590e-05	-3.533180e-03	-3.532349e-09
2.569179017676162e-05	-4.219895e-03	-4.218902e-09
2.581037276604733e-05	-4.877949e-03	-4.876801e-09
2.592895535533305e-05	-5.507342e-03	-5.506046e-09
2.604753794461877e-05	-6.108074e-03	-6.106637e-09
2.616612053390449e-05	-6.680146e-03	-6.678574e-09
2.628470312319021e-05	-7.223557e-03	-7.221857e-09
2.651489285533307e-05	-8.168397e-03	-8.166475e-09
2.674508258747593e-05	-8.915836e-03	-8.913738e-09
2.697527231961880e-05	-9.465873e-03	-9.463645e-09
2.720546205176166e-05	-9.818508e-03	-9.816198e-09
2.743565178390453e-05	-9.973741e-03	-9.971395e-09
2.766584151604739e-05	-9.931573e-03	-9.929236e-09
2.789603124819025e-05	-9.692003e-03	-9.689723e-09
2.805646651604740e-05	-9.381560e-03	-9.379353e-09
2.821690178390455e-05	-8.988334e-03	-8.986219e-09
2.837733705176169e-05	-8.512324e-03	-8.510322e-09
2.853777231961884e-05	-7.953532e-03	-7.951660e-09
2.869820758747599e-05	-7.311956e-03	-7.310236e-09
2.885864285533314e-05	-6.587597e-03	-6.586047e-09
2.901907812319028e-05	-5.780455e-03	-5.779095e-09
2.911673437319029e-05	-5.263961e-03	-5.262723e-09
2.921439062319029e-05	-4.732816e-03	-4.731703e-09
2.931204687319029e-05	-4.187020e-03	-4.186035e-09
2.940970312319030e-05	-3.626572e-03	-3.625719e-09
2.950735937319030e-05	-3.051473e-03	-3.050755e-09
2.960501562319030e-05	-2.461722e-03	-2.461143e-09
2.970267187319030e-05	-1.857320e-03	-1.856883e-09
2.974452455176173e-05	-1.597863e-03	-1.597487e-09
2.978637723033316e-05	-1.337753e-03	-1.337438e-09
2.982822990890459e-05	-1.076988e-03	-1.076735e-09
2.987008258747602e-05	-8.155696e-04	-8.153776e-10
2.991193526604745e-05	-5.534972e-04	-5.533669e-10
2.995378794461888e-05	-2.907709e-04	-2.907025e-10
2.999564062319031e-05	-2.739074e-05	-2.738429e-11
3.004446874819031e-05	2.800874e-04	2.800215e-10
3.009329687319032e-05	5.865836e-04	5.864456e-10
3.014212499819032e-05	8.920976e-04	8.918878e-10
3.019095312319032e-05	1.196630e-03	1.196348e-09
3.023978124819032e-05	1.500180e-03	1.499827e-09
3.028860937319032e-05	1.802748e-03	1.802323e-09
3.033743749819032e-05	2.104334e-03	2.103838e-09
3.044206919461890e-05	2.748509e-03	2.747862e-09
3.054670089104747e-05	3.374286e-03	3.373492e-09
3.065133258747605e-05	3.981663e-03	3.980726e-09
3.075596428390462e-05	4.570642e-03	4.569567e-09
3.086059598033319e-05	5.141222e-03	5.140013e-09
3.096522767676177e-05	5.693404e-03	5.692064e-09
3.106985937319034e-05	6.227186e-03	6.225721e-09
3.123727008747607e-05	7.030034e-03	7.028380e-09
3.140468080176178e-05	7.738667e-03	7.736846e-09
3.157209151604750e-05	8.353087e-03	8.351121e-09
3.173950223033322e-05	8.873292e-03	8.871205e-09
3.190691294461894e-05	9.299284e-03	9.297096e-09
3.207432365890465e-05	9.631062e-03	9.628796e-09
3.224173437319038e-05	9.868626e-03	9.866304e-09
3.244402231961895e-05	9.982505e-03	9.980157e-09
3.264631026604753e-05	9.944148e-03	9.941809e-09
3.284859821247611e-05	9.753554e-03	9.751260e-09
3.305088615890468e-05	9.410725e-03	9.408511e-09
3.325317410533326e-05	8.915659e-03	8.913562e-09
3.345546205176184e-05	8.268358e-03	8.266412e-09
3.365774999819042e-05	7.468820e-03	7.467062e-09
3.376935714104757e-05	6.977605e-03	6.975963e-09
3.388096428390471e-05	6.458868e-03	6.457347e-09
3.399257142676185e-05	5.912606e-03	5.911215e-09
3.410417856961900e-05	5.338822e-03	5.337565e-09
3.421578571247615e-05	4.737513e-03	4.736399e-09
3.432739285533329e-05	4.108682e-03	4.107715e-09
3.443899999819044e-05	3.452327e-03	3.451515e-09
3.450177901604759e-05	3.078046e-03	3.077322e-09
3.456455803390473e-05	2.700460e-03	2.699825e-09
3.462733705176187e-05	2.319570e-03	2.319024e-09
