time	V(n002)	I(R6)
0.000000000000000e+00	3.163680e-14	6.731233e-18
4.882812361904632e-13	1.167760e-07	2.484596e-11
9.765624723809263e-13	1.563316e-07	3.326205e-11
9.765624723809266e-12	7.160398e-08	1.523489e-11
1.855468697523761e-11	4.997736e-09	1.063347e-12
2.734374922666595e-11	-4.348712e-08	-9.252579e-12
3.613281147809429e-11	-7.385058e-08	-1.571289e-11
4.492187372952262e-11	-8.609265e-08	-1.831759e-11
5.371093598095097e-11	-8.021333e-08	-1.706667e-11
6.249999823237928e-11	-5.621263e-08	-1.196013e-11
4.999999858590343e-10	-4.514935e-06	-9.606246e-10
9.999999717180685e-10	-1.630003e-05	-3.468093e-09
1.999999943436137e-09	-5.387172e-05	-1.146207e-08
3.999999886872274e-09	-1.583319e-04	-3.368763e-08
7.999999773744548e-09	-4.085952e-04	-8.693515e-08
1.599999954748910e-08	-9.425680e-04	-2.005464e-07
7.168526721069874e-08	-4.710080e-03	-1.002145e-06
1.273705348739084e-07	-8.463572e-03	-1.800760e-06
1.830558025371180e-07	-1.220304e-02	-2.596392e-06
2.387410702003277e-07	-1.592850e-02	-3.389042e-06
2.944263378635373e-07	-1.963993e-02	-4.178708e-06
3.501116055267469e-07	-2.333734e-02	-4.965392e-06
4.057968731899564e-07	-2.702073e-02	-5.749092e-06
5.104285696185279e-07	-3.390667e-02	-7.214185e-06
6.150602660470994e-07	-4.058321e-02	-8.634725e-06
7.196919624756708e-07	-4.705035e-02	-1.001071e-05
8.243236589042423e-07	-5.330809e-02	-1.134215e-05
9.289553553328137e-07	-5.935644e-02	-1.262903e-05
1.033587051761385e-06	-6.519539e-02	-1.387136e-05
1.138218748189956e-06	-7.082495e-02	-1.506914e-05
1.312604908904242e-06	-7.959385e-02	-1.693486e-05
1.486991069618528e-06	-8.720413e-02	-1.855407e-05
1.661377230332814e-06	-9.365576e-02	-1.992676e-05
1.835763391047099e-06	-9.894877e-02	-2.105293e-05
2.010149551761386e-06	-1.030831e-01	-2.193258e-05
2.184535712475671e-06	-1.060589e-01	-2.256572e-05
2.358921873189956e-06	-1.078760e-01	-2.295234e-05
2.547258926761386e-06	-1.080453e-01	-2.298836e-05
2.735595980332815e-06	-1.067809e-01	-2.271934e-05
2.923933033904244e-06	-1.040828e-01	-2.214528e-05
3.112270087475673e-06	-9.995100e-02	-2.126617e-05
3.300607141047102e-06	-9.438550e-02	-2.008202e-05
3.488944194618531e-06	-8.738631e-02	-1.859283e-05
3.677281248189960e-06	-7.895341e-02	-1.679860e-05
3.788888391047102e-06	-7.345396e-02	-1.562850e-05
3.900495533904245e-06	-6.767408e-02	-1.439874e-05
4.012102676761387e-06	-6.161378e-02	-1.310932e-05
4.123709819618529e-06	-5.527306e-02	-1.176023e-05
4.235316962475672e-06	-4.865191e-02	-1.035147e-05
4.346924105332814e-06	-4.175034e-02	-8.883050e-06
4.458531248189956e-06	-3.456834e-02	-7.354965e-06
4.521310266047098e-06	-3.048682e-02	-6.486558e-06
4.584089283904241e-06	-2.637789e-02	-5.612316e-06
4.646868301761383e-06	-2.224154e-02	-4.732242e-06
4.709647319618526e-06	-1.807777e-02	-3.846334e-06
4.772426337475669e-06	-1.388659e-02	-2.954594e-06
4.835205355332811e-06	-9.667992e-03	-2.057020e-06
4.897984373189953e-06	-5.421977e-03	-1.153612e-06
5.044468748189953e-06	4.451773e-03	9.471858e-07
5.114223212475667e-06	9.159082e-03	1.948741e-06
5.183977676761380e-06	1.382183e-02	2.940815e-06
5.253732141047094e-06	1.844002e-02	3.923409e-06
5.323486605332808e-06	2.301365e-02	4.896522e-06
5.393241069618522e-06	2.754273e-02	5.860155e-06
5.462995533904235e-06	3.202724e-02	6.814307e-06
5.532749998189950e-06	3.646720e-02	7.758978e-06
5.658308033904234e-06	4.432997e-02	9.431909e-06
5.783866069618520e-06	5.180223e-02	1.102175e-05
5.909424105332805e-06	5.888396e-02	1.252850e-05
6.034982141047089e-06	6.557517e-02	1.395216e-05
6.160540176761375e-06	7.187587e-02	1.529274e-05
6.286098212475660e-06	7.778605e-02	1.655022e-05
6.411656248189944e-06	8.330570e-02	1.772462e-05
6.725551337475657e-06	9.468534e-02	2.014582e-05
7.039446426761369e-06	1.021919e-01	2.174296e-05
7.353341516047082e-06	1.058255e-01	2.251605e-05
7.667236605332796e-06	1.055859e-01	2.246509e-05
7.981131694618508e-06	1.014734e-01	2.159008e-05
8.295026783904221e-06	9.348774e-02	1.989101e-05
8.608921873189932e-06	8.162907e-02	1.736789e-05
8.734479908904217e-06	7.594883e-02	1.615933e-05
8.860037944618501e-06	6.989072e-02	1.487037e-05
8.985595980332786e-06	6.345471e-02	1.350100e-05
9.111154016047072e-06	5.664083e-02	1.205124e-05
9.236712051761357e-06	4.944907e-02	1.052108e-05
9.362270087475642e-06	4.187942e-02	8.910514e-06
9.487828123189926e-06	3.393188e-02	7.219550e-06
9.550607141047070e-06	2.990690e-02	6.363170e-06
9.613386158904211e-06	2.584737e-02	5.499440e-06
9.676165176761354e-06	2.175330e-02	4.628361e-06
9.738944194618496e-06	1.762468e-02	3.749932e-06
9.801723212475639e-06	1.346152e-02	2.864153e-06
9.864502230332781e-06	9.263822e-03	1.971026e-06
9.927281248189924e-06	5.031579e-03	1.070549e-06
1.022024999818992e-05	-1.469768e-02	-3.127166e-06
1.031093080176135e-05	-2.080175e-02	-4.425904e-06
1.040161160533278e-05	-2.679749e-02	-5.701593e-06
1.049229240890421e-05	-3.268489e-02	-6.954232e-06
1.058297321247563e-05	-3.846396e-02	-8.183822e-06
1.067365401604706e-05	-4.413470e-02	-9.390361e-06
1.076433481961849e-05	-4.969710e-02	-1.057385e-05
1.085501562318992e-05	-5.515117e-02	-1.173429e-05
1.100149999818992e-05	-6.366100e-02	-1.354489e-05
1.114798437318992e-05	-7.148094e-02	-1.520871e-05
1.129446874818992e-05	-7.861099e-02	-1.672574e-05
1.144095312318991e-05	-8.505115e-02	-1.809599e-05
1.158743749818991e-05	-9.080142e-02	-1.931945e-05
1.173392187318991e-05	-9.586180e-02	-2.039613e-05
1.188040624818991e-05	-1.002323e-01	-2.132602e-05
1.211757142676134e-05	-1.051651e-01	-2.237556e-05
1.235473660533277e-05	-1.077313e-01	-2.292155e-05
1.259190178390419e-05	-1.079307e-01	-2.296398e-05
1.282906696247562e-05	-1.057635e-01	-2.250287e-05
1.306623214104705e-05	-1.012295e-01	-2.153820e-05
1.330339731961848e-05	-9.432888e-02	-2.006998e-05
1.354056249818990e-05	-8.506154e-02	-1.809820e-05
1.365914508747562e-05	-7.970831e-02	-1.695921e-05
1.377772767676133e-05	-7.400208e-02	-1.574512e-05
1.389631026604704e-05	-6.794287e-02	-1.445593e-05
1.401489285533276e-05	-6.153068e-02	-1.309163e-05
1.413347544461847e-05	-5.476549e-02	-1.165223e-05
1.425205803390418e-05	-4.764732e-02	-1.013773e-05
1.437064062318990e-05	-4.017617e-02	-8.548121e-06
1.444039508747561e-05	-3.571400e-02	-7.598724e-06
1.451014955176133e-05	-3.120977e-02	-6.640376e-06
1.457990401604704e-05	-2.666346e-02	-5.673076e-06
1.464965848033275e-05	-2.207507e-02	-4.696824e-06
1.471941294461847e-05	-1.744462e-02	-3.711621e-06
1.478916740890418e-05	-1.277209e-02	-2.717466e-06
1.485892187318989e-05	-8.057486e-03	-1.714359e-06
1.490077455176132e-05	-5.231902e-03	-1.113171e-06
1.494262723033275e-05	-2.409452e-03	-5.126494e-07
1.498447990890418e-05	4.098625e-04	8.720479e-08
1.502633258747561e-05	3.226042e-03	6.863919e-07
1.506818526604704e-05	6.039086e-03	1.284912e-06
1.511003794461846e-05	8.848995e-03	1.882765e-06
1.515189062318989e-05	1.165577e-02	2.479951e-06
1.524257142676132e-05	1.773597e-02	3.773612e-06
1.533325223033275e-05	2.370405e-02	5.043414e-06
1.542393303390418e-05	2.955999e-02	6.289359e-06
1.551461383747561e-05	3.530380e-02	7.511446e-06
1.560529464104704e-05	4.093547e-02	8.709675e-06
1.569597544461848e-05	4.645502e-02	9.884047e-06
1.578665624818991e-05	5.186243e-02	1.103456e-05
1.593314062318991e-05	6.028627e-02	1.282687e-05
1.607962499818991e-05	6.805279e-02	1.447932e-05
